,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubcol.0.5,cubrow.0.6,cubcol.0.6,uhdhdsim,cubrow.0.5,cubcol.0.3,tone,cubcol.1.0,fft,noise,blur,staticness,cubrow.0,color_fulness,cubrow.1.0,blockiness,movement,contrast,saturation,temporal,cubcol.0,cubrow.0.3
0,400,47.9499,2.72685,31,0.0,0,116,133,8,125,7,0.9959,46.97536,0.0,0.0,2.35714,5.349,0.0,0.0,0.0,129.0,54.56419,3e-05,0.74,1.056,0.0,0.0,0.15196043132328563,0.1548263013959093,0.1541538097115786,92.09885358304065,0.24903640317096118,0.05552490693231948,0.7658360784313726,0.03777713402245591,65564.55293466001,0.545481912830848,19801.025584207775,615.8807909452161,0.10678370482397041,162.9999683602837,0.14816088121882295,2.716594511035951,0.0,88.70313976653483,33.481462643470294,0.0,0.029500853052591067,0.2177514618284887
1,401,47.9457,2.79635,31,4.06631,0,116,133,8,125,7,0.99419,46.95034,0.0,0.0,2.78571,5.37,2.27826,0.0,0.0,129.0,54.58187,2e-05,0.73,1.012,-1.0,0.0,0.14982836988333892,0.15274093688060458,0.15387735550189452,92.11299126628391,0.24708679528490016,0.0514967393078696,0.7658517647058823,0.029600782956872684,65558.72124696715,0.5454819128308467,19782.97069301404,615.9368451750784,0.1056648248189761,162.9734015564328,0.1453478984088955,2.6530325019086076,0.030140817901234566,91.2637752750601,33.40519978087625,3.0339151344348236,0.023976320765040846,0.21655916814113338
2,402,47.88,2.80954,31,4.15901,0,116,133,8,125,7,0.99374,46.86542,0.0,0.0,2.28571,5.379,2.3375,0.0,0.0,129.0,54.56076,4e-05,0.73,1.022,-1.0,0.0,0.14969847299342276,0.15229639651060586,0.1529665167310039,92.1275396081859,0.24612971398446887,0.05071243707800299,0.7655611764705883,0.029239461641076527,65467.44507835631,0.5454819128308466,19752.011513067853,615.7827573741658,0.10512066118817381,162.96738824586183,0.14510168114179461,2.3538665233845575,0.03747106481481482,91.1837224900363,33.36488700207369,3.0865511497879314,0.02296953206568666,0.21626385830175424
3,403,47.9106,2.88696,31,4.09344,0,116,133,8,125,7,0.99303,46.87706,0.0,0.0,2.53571,5.343,2.34889,0.0,0.0,129.0,54.58872,6e-05,0.73,1.031,-1.0,0.0,0.150632479510501,0.15247510437929546,0.15311367145962818,92.09302260375416,0.24583630114999275,0.04994911772581354,0.7658517647058823,0.0280790668285441,65498.54873418944,0.5454819128308473,19783.279588984096,615.8558880285517,0.10539053065738735,162.9694204226383,0.1454332693197968,2.5835625754686187,0.039303626543209874,89.40301163225135,33.40615524480372,3.104925802029915,0.022145346009003357,0.21622487162590462
4,404,47.8655,2.9192,31,4.15496,0,116,133,8,125,7,0.99278,46.8116,0.0,0.0,2.46429,5.362,2.41729,0.0,0.0,129.0,54.5716,5e-05,0.73,1.013,-1.0,0.0,0.15191009920295243,0.15293574346506614,0.1528446522985724,92.07872709202948,0.2454896177366058,0.04971168303645825,0.765717,0.02757361342173874,65513.659078675744,0.5454819128308467,19717.34559559984,615.8459580493319,0.10563479018006225,163.00947495068624,0.14481205922683954,2.318089516536769,0.0685763888888889,87.99934249437624,33.465663768627024,3.137321465212044,0.02172373402008362,0.21566235352109336
5,405,47.9373,3.02942,31,4.211,0,116,133,8,125,7,0.98869,46.86609,0.0,0.0,2.28571,5.349,2.44712,0.0,0.0,129.0,54.58939,3e-05,0.73,1.014,-1.0,0.0,0.153417187443121,0.15319253833888016,0.15305565422397951,92.05579423031224,0.24538957536931733,0.049594754899453766,0.7658517647058823,0.027443208733288805,65618.7297794941,0.5454819128308477,19788.441705729354,615.8896659134489,0.10546871621980386,163.014964364072,0.14440863553025898,2.664551084115559,0.07826967592592593,90.3707354105518,33.43223270369165,3.148950886558377,0.021407526470983398,0.21568551505839573
6,406,47.9019,3.14892,31,4.32876,0,116,133,8,125,7,0.99276,46.79208,0.0,0.0,2.39286,5.344,2.54314,0.0,0.0,129.0,54.55432,5e-05,0.72,1.041,-1.0,0.0,0.15441920150981842,0.1533295352165316,0.15276710220945997,92.08203937709007,0.24540643396552983,0.04935549426360608,0.7655462745098041,0.02668888841169909,65578.17742985424,0.5454819128308479,19801.014599392547,615.8464721673155,0.1057707114312024,163.02642308171758,0.14394535350369855,2.524120457851979,0.09620949074074074,90.82017154555162,33.44917033631125,3.2167051967084057,0.02109957264308838,0.2154596439304771
7,407,47.9489,3.20248,31,4.40147,0,116,133,8,125,7,0.99124,46.83729,0.0,0.0,2.57143,5.325,2.64823,0.0,0.0,129.0,54.55086,6e-05,0.73,1.02,-1.0,0.0,0.15542157322078157,0.15316998176442373,0.15276962665929653,92.04908668836401,0.2452534455945742,0.04880178212087132,0.7658141176470588,0.026398848058171855,65552.58085574834,0.5454819128308513,19788.466601376043,615.8483700404288,0.10572803141919837,163.00652601787058,0.14345913084424816,2.4556385897753215,0.09881365740740741,92.12362192979504,33.393412272135414,3.291972608457639,0.021011766762905157,0.21542090044046944
8,408,47.8957,3.10591,31,4.4128,0,116,133,8,125,7,0.99391,46.77351,0.0,0.0,2.25,5.357,2.69789,0.0,0.0,129.0,54.53097,5e-05,0.73,1.012,0.125,0.0,0.1554082376202586,0.1528579945765161,0.15256812624364036,92.05043274376534,0.24522364115932768,0.04866544408709897,0.7653309803921569,0.02632014953610921,65584.39093761858,0.5454819128308527,19771.7773389146,615.7916024710759,0.10567826509891427,163.017237337899,0.14276136537485937,2.5442943407799095,0.10522762345679013,90.80899540070536,33.47128258222415,3.3270435691092217,0.0208630007622449,0.21517863106792104
9,409,47.9541,2.94786,31,4.32421,0,116,133,8,125,7,0.9937,46.82515,0.0,0.0,2.21429,5.312,2.61055,0.0,0.0,129.0,54.5245,4e-05,0.73,1.044,-1.0,0.0,0.15523072008503289,0.15289820121912476,0.15261228916916292,92.03372107393668,0.2452653543777705,0.04856078469778224,0.7658517647058823,0.026449061017099974,65579.8353829672,0.5454819128308491,19822.415304483817,615.7880340730277,0.10578593246674554,163.03274995710714,0.14233607121239186,2.4174560842653423,0.0824170524691358,91.23491721389753,33.47639936282311,3.2863333150586853,0.020743605030265923,0.2149737340386152
