,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubcol.0.6,tone,color_fulness,uhdhdsim,cubcol.0.5,cubrow.0.3,contrast,fft,movement,cubrow.1.0,blockiness,temporal,cubrow.0.6,cubcol.0.3,staticness,cubrow.0.5,saturation,noise,cubcol.1.0,cubcol.0,blur,cubrow.0
0,400,66.2194,3.09348,31,0.0,0,106,131,7,125,5,0.9797,59.47778,0.0,0.0,4.10714,3.924,0.0,0.0,0.0,126.0,59.34177,0.00033,0.29,1.48,0.0,7.856652,0.2204933594229757,0.8548941176470589,161.4191468101551,89.80501675059408,0.22218827782678538,0.26374966683974965,93.95218301279931,69468.21574984523,0.0,0.10557699954778385,1.7895998388365928,0.0,0.14264539318501074,0.12905033423984696,540.0771476794979,0.1532053483013485,32.649889910662615,0.2079365304665436,0.008443363552501701,0.00668327953918525,60115.61301068839,0.10485965187178492
1,401,66.2332,3.01744,31,3.44643,0,106,131,7,125,5,0.98846,59.50111,0.0,0.0,4.5,3.898,2.61655,0.0,0.0,126.0,59.32467,0.00029,0.29,1.629,-1.0,7.898559,0.21994543506526945,0.8548941176470589,161.92108385456999,89.76845435575083,0.22216830061918677,0.2621956008004218,93.95141378377876,69561.86127766041,0.2554494598765432,0.10460964299572116,1.7948004538406708,2.272630108052054,0.13738913204320988,0.12404558890189313,540.4538385302105,0.15240103368209953,32.68165362322772,0.20793653046654373,0.006552698576360378,0.006016428393086633,59991.367142189374,0.10477426527391197
2,402,66.1991,3.0443,31,3.46204,0,106,131,7,125,5,0.98434,59.45213,0.0,0.0,4.17857,3.914,2.54756,0.0,0.0,125.0,59.31789,0.00035,0.29,1.61,-1.0,7.893943,0.22003509997635085,0.8546270588235295,161.4715163924655,89.78103445797598,0.22224570320052303,0.26219770688211863,93.94791554278517,69674.10049100778,0.24069251543209877,0.10649135771074222,1.9384286746217136,2.2625770170826125,0.13615196880702377,0.11846331040696396,540.2174527968767,0.15153771595865187,32.658657874590084,0.2079365304665419,0.006194595387571921,0.00568522923578098,59933.47273992393,0.10450831217033542
3,403,66.2342,3.10011,31,3.39602,0,106,131,7,125,5,0.99028,59.49638,0.0,0.0,4.07143,3.898,2.57376,0.0,0.0,125.0,59.3194,0.00032,0.29,1.542,-1.0,7.893066,0.21979803318715455,0.8546341176470589,162.2895190355543,89.74785342663762,0.22192828725167454,0.26171138602710164,93.99805060103056,69566.77739823335,0.2637924382716049,0.10813114018470445,1.9685471703550328,2.2986823377685606,0.13514768941815683,0.11557657906464662,540.4044522938257,0.15124127723054603,32.66838657708816,0.2117775714456032,0.005979722240851026,0.005414865245970316,60007.750193894404,0.10441922327614304
4,404,66.1895,3.12122,31,3.38954,0,106,131,7,125,5,0.98867,59.44759,0.0,0.0,3.60714,3.893,2.62035,0.0,0.0,126.0,59.29738,0.00029,0.28,1.424,-1.0,7.856215,0.21970579450663183,0.8543662745098041,161.91145392356486,89.76062856732267,0.22171757240759027,0.26140561619353125,94.13693431869102,69668.66767453306,0.27025462962962965,0.10791956868870557,1.7955229278182538,2.310435417495074,0.13499908591403,0.11528134029811639,540.3337593691649,0.15092635232671953,32.61339879918982,0.2079365304665416,0.005842354938344386,0.005302641822522973,60013.92879333177,0.10427364948833776
5,405,66.2511,3.14932,31,3.30155,0,106,131,7,125,5,0.98875,59.49591,0.0,0.0,4.14286,3.897,2.6398,0.0,0.0,126.0,59.33339,0.00032,0.28,1.427,-1.0,7.895838,0.21971195354965922,0.8548870588235296,162.23976470750577,89.77745007317168,0.22174587175230046,0.26122769015115543,90.99934977811606,69608.56491969914,0.2691936728395062,0.1079579802925283,1.8563374752355395,2.3162597689226545,0.13480865555562357,0.11527877519756215,540.4207186714724,0.15080705015261958,32.683068734628186,0.2079365304665417,0.005627627408848665,0.005261473916043853,60145.37904862179,0.10437123488357311
6,406,66.165,3.23507,31,3.4067,0,106,131,7,125,5,0.98684,59.4233,0.0,0.0,4.17857,3.893,2.66341,0.0,0.0,126.0,59.30477,0.00034,0.29,1.39,-1.0,7.996074,0.21975548801364175,0.8545964705882354,162.4422151770403,89.78137955940836,0.2217362242665727,0.2609609724045105,94.13317103660188,69644.0205839423,0.2865547839506173,0.10781304246500231,1.8371624471013195,2.3052995869733697,0.13451271152017996,0.11395483952007786,540.3293929382675,0.15058824408022156,32.769493950737846,0.20793653046654229,0.005584710362428012,0.005102272266561733,59937.99907363884,0.10442602239427842
7,407,66.1789,3.31368,31,3.44883,0,106,131,7,125,5,0.98763,59.4267,0.0,0.0,4.75,3.895,2.74118,0.0,0.0,126.0,59.33106,0.00026,0.29,1.461,-1.0,7.965285,0.21967166210655095,0.8549239411764691,162.82233360672475,89.80655582835765,0.22162665367051174,0.2610409429491248,94.16239863516627,69683.3411468094,0.3103298611111111,0.10688040833164295,1.9112390745293717,2.31980948419319,0.13442512816000154,0.11302883282815171,540.4003425660072,0.15073746927965967,32.784336231372976,0.20793653046654237,0.005518450544285775,0.005110670152868585,60078.33540100385,0.1042963167575207
8,408,66.1318,3.35468,31,3.32339,0,106,131,7,125,5,0.97986,59.38609,0.0,0.0,4.21429,3.891,2.80741,0.0,0.0,126.0,59.28652,0.00032,0.29,1.489,0.46168,8.00647,0.21950738261070976,0.854030980392157,161.91469382125612,89.8176178910397,0.22152775865188548,0.26081434299694517,94.19597407732459,69673.07856900488,0.33458719135802467,0.10583144468806084,1.9138972663434441,2.329681576678236,0.13439977866908606,0.11274478338391054,540.2757112619614,0.15076965018317726,32.80124334641445,0.20350127838007614,0.005570480661814718,0.005133163228091596,59961.43001316488,0.10430511948203683
9,409,66.1778,3.33852,31,3.37958,0,106,131,7,125,5,0.98274,59.43303,0.0,0.0,3.71429,3.893,2.8462,0.0,0.0,126.0,59.29624,0.00028,0.29,1.366,-1.0,7.980947,0.21949051781746373,0.8543286274509805,161.6283110265832,89.7912482072492,0.22164967833442786,0.2608804869342434,91.51577725484621,69660.36592798903,0.35223765432098764,0.1052567119982433,1.89032994019538,2.336569315558489,0.1342270201805724,0.11243879141019908,540.2311957418841,0.1507436256205055,32.82713883011429,0.20793653046654229,0.005512050424007453,0.005008046506319315,60073.23680886772,0.10423478204244574
