,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubcol.0.3,blockiness,cubcol.0.6,cubcol.0,cubcol.1.0,cubcol.0.5,saturation,contrast,cubrow.0,tone,color_fulness,uhdhdsim,cubrow.0.5,staticness,fft,blur,temporal,cubrow.0.6,movement,cubrow.0.3,noise,cubrow.1.0
0,200,49.0037,3.79336,24,0.0,0,115,133,6,125,5,0.97826,44.67654,0.0,0.0,3.64286,4.926,0.0,0.0,0.0,127.0,55.02777,0.00016,0.0,0.982,0.0,8.362335,0.0345417791206826,2.6353117434337494,0.15399419545958534,0.010953997865092276,0.008542923354905063,0.13477093607589422,33.93042500813802,88.43790740660874,0.10290969682510116,0.7680839215686275,161.71132704635795,92.8657706824026,0.25204248509527116,613.8272786307128,65115.634571169525,20981.1415515239,0.0,0.13835227866548128,0.0,0.22994970439060167,0.21399519748883536,0.10335361560339083
1,201,49.0159,4.02847,24,4.25643,0,115,133,6,125,5,0.98237,44.69958,0.0,0.0,3.07143,4.92,3.22271,0.0,0.0,127.0,55.02948,0.00015,0.0,0.94,-1.0,8.384327,0.02947503241454917,2.3322090149614163,0.15266634529206755,0.007429305753085472,0.006722043551540147,0.1316537806423846,33.933127697603204,89.91612353909541,0.10263736050311782,0.7680839215686275,161.60083624238206,92.8589221784326,0.24938791038516767,614.0610242406782,65085.691369468535,20960.294879627472,2.6128580579940195,0.13749699571511376,0.2459008487654321,0.22776133043979482,0.2139951974888353,0.09688171923124848
2,202,48.8778,4.26452,24,4.11574,0,115,133,6,125,5,0.99497,44.57916,0.0,0.0,3.46429,4.943,3.42892,0.0,0.0,127.0,54.98637,0.0001,0.0,0.986,-1.0,8.521988,0.028980058586891295,2.2222965787634674,0.15174875632127569,0.007101642271715529,0.006430236266645419,0.13669270919930085,33.90595801082658,90.90816393005103,0.10311747614325696,0.7675333333333333,161.75440109115053,92.81230484919412,0.24848074499407474,613.5008697562611,65065.17725398667,20773.715481681298,2.589633552347202,0.1364914148186161,0.27348572530864196,0.22576384933100815,0.2139951974888359,0.09484504652930306
3,203,48.7769,4.57966,24,4.11326,0,115,133,6,125,5,0.99604,44.47727,0.0,0.0,3.46429,4.909,3.63256,0.0,0.0,127.0,54.96922,0.00011,0.0,0.971,-1.0,8.451632,0.027872046485481545,2.4162756884575587,0.15168459224275319,0.006666694378671939,0.00630004978305704,0.14313534947691586,34.0336200101876,92.82448665180158,0.10298594248176605,0.7680988235294117,161.43226515914387,92.90278103174305,0.24852983250958474,613.5877851821284,64840.548265721096,20555.490308341843,2.5787314023713543,0.1351759757823766,0.2982735339506173,0.22339475742991896,0.21399519748883553,0.09424024342709345
4,204,48.5484,4.80571,24,4.43246,0,115,133,6,125,5,0.99147,44.2744,0.0,0.0,3.60714,4.965,3.90834,0.0,0.0,127.0,54.9052,0.0001,0.0,1.034,-1.0,8.453261,0.027684988779250325,2.3787437484324703,0.1515676386231185,0.0066240426827328305,0.006194248393828578,0.14694790122090884,33.92368514449508,92.71730093402002,0.10319623208281208,0.7681364705882353,161.6482656402273,92.96631336654114,0.24841032662521237,613.3174278530568,64750.2706451499,20342.071134173282,2.616596047889169,0.13437016940329696,0.33979552469135804,0.22128425267780896,0.2139951974888369,0.09331732151084758
5,205,48.4352,4.99878,24,4.5817,0,115,133,6,125,5,0.99434,44.16952,0.0,0.0,4.03571,4.993,4.10277,0.0,0.0,127.0,54.92347,0.00018,0.0,0.931,-1.0,8.426904,0.02722184923921776,2.324916300376297,0.1510939248325659,0.006520297550637689,0.006083830874991403,0.1476177336952704,33.895806771737554,93.02885911132987,0.10338049013258901,0.7698109803921569,161.74317037848772,92.9990403940049,0.24865254453793917,613.2402357050836,64802.45294120295,20222.085165887853,2.6867085397894908,0.13374907908091263,0.4324845679012346,0.21962845510929807,0.2139951974888362,0.09221168606108068
6,206,48.382,5.25764,24,4.72143,0,115,133,6,125,5,0.99759,44.12061,0.0,0.0,4.03571,4.975,4.27151,0.0,0.0,127.0,54.86184,0.00021,0.0,1.016,-1.0,8.423116,0.027205513656450804,2.189464693301914,0.15136707139400868,0.006493773714112715,0.006135001303524424,0.14615995437172488,33.94547676745756,93.11355006057522,0.10356918397332354,0.7703090196078431,161.6629622626425,93.01482845920616,0.24859149706269001,612.9919010004013,64749.22018993848,20164.79059648867,2.750416050645082,0.1334827530928584,0.5110435956790124,0.21834031497903586,0.2139951974888371,0.0908475009806238
7,207,48.4426,5.50356,24,5.81694,0,115,133,6,125,5,0.9821,44.18142,0.0,0.0,4.32143,5.023,4.49028,0.0,0.0,127.0,54.83826,0.00015,0.0,1.028,-1.0,8.372125,0.02699406505772185,2.7124181868687045,0.15117263095717826,0.006364580250524807,0.006069713562381908,0.1453445570616249,33.9599624445409,89.36289548170035,0.1036137005874064,0.7708823529411765,161.70492633455677,92.9904361166914,0.24881250401294233,612.8381055715527,64678.5718106622,20191.322679123852,2.8351359325741052,0.1329231865603325,0.5855999228395061,0.21717760856470297,0.21621282353206528,0.09508414768872914
8,208,48.5013,5.63644,24,5.43647,0,115,133,6,125,5,0.97739,44.24109,0.0,0.0,3.60714,5.022,4.70866,0.0,0.0,127.0,54.76141,0.00016,0.0,0.992,0.46901,8.468103,0.027179927892200577,2.573604204946635,0.15121596708947854,0.006552869802519764,0.006112693341082844,0.14329429454090614,33.98127746582031,90.41630348705876,0.10345361589029099,0.7714243137254901,161.41925245989003,92.90880102559072,0.24884907805373474,612.5579248674924,64748.030534474274,20220.153483723367,2.8371184491298567,0.13265489990197818,0.5832368827160493,0.2161789228152407,0.21399519748884424,0.09864692558910765
9,209,48.5033,5.69466,24,5.39047,0,115,133,6,125,5,0.98899,44.24877,0.0,0.0,3.53571,5.006,4.81756,0.0,0.0,128.0,54.72415,0.00015,0.0,1.036,-1.0,8.35621,0.027096040726591678,2.318650000936008,0.15119232794674642,0.006503641831194772,0.006009431601075827,0.14419212448489746,34.00799259138696,93.11847446757785,0.10362938283769196,0.7714101960784314,161.35774558350016,93.0209339065398,0.24898677456220122,612.3834758258005,64659.99084564765,20189.78780839042,2.8050120657571527,0.1326757759845498,0.5661651234567902,0.215347370841511,0.2139951974888387,0.10176129864626193
