,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubrow.1.0,staticness,cubrow.0,color_fulness,cubcol.0,fft,temporal,cubcol.0.3,blockiness,cubrow.0.3,uhdhdsim,cubcol.0.5,saturation,blur,noise,tone,cubcol.0.6,movement,cubrow.0.5,contrast,cubrow.0.6,cubcol.1.0
15,15,66.6193,12.4546,59,16.893,0,114,121,15,131,18,1.04595,62.73925,0.0,0.0,0.75,3.525,10.55343,0.0,0.0,125.0,58.33439,0.00042,0.4,2.047,-1.0,0.453184,0.2669897837829306,459.44604124439854,0.22235901404397007,145.90485285475776,0.07807800995255294,80020.9576286468,4.319071713404974,0.13648869527706334,1.8904235503685591,0.17639922324064491,83.03260455797533,0.25446295635459876,40.22538587782118,38624.57291576593,0.5575992468754293,0.8927317647058823,0.18234182319151282,4.785542052469136,0.21030298556689492,97.96922832731114,0.2178938886802567,0.12120483919768771
16,16,66.134,12.6761,59,17.6741,0,114,121,15,131,18,1.03794,62.2794,0.0,0.0,0.78571,3.541,10.69413,0.0,0.0,125.0,58.24865,0.00035,0.4,2.164,0.17876,0.440495,0.26590535553424194,458.2523230748272,0.22005489288514415,145.99348002237954,0.07802414122837488,79720.26651821974,4.3595714874889655,0.13609140338829284,2.0854247255600256,0.17672118734919312,83.14887406215828,0.2549446443317216,40.13461322548949,37927.758692521085,0.5571642541543906,0.8917619607843137,0.18005853362602517,5.5924961419753085,0.2104520355652009,98.10682777571698,0.2176692580211648,0.1211510294222604
17,17,65.8497,12.877,58,18.8812,0,114,121,15,131,18,1.0339,62.02974,0.0,0.0,0.53571,3.53,10.88753,0.0,0.0,125.0,58.18582,0.00026,0.4,2.176,-1.0,0.424738,0.2658083159418752,457.048236874315,0.21729393658479007,146.1451253340989,0.07800351008155705,79424.04208637353,4.418951191134569,0.13587099634703942,2.2136306618069588,0.17702472475901107,83.20218794720563,0.2534317504911897,40.229846342110335,37153.364191500885,0.5598168729186636,0.8902992156862746,0.1787709478146948,5.534047067901234,0.21050727349483883,97.6476220330663,0.21747830675014113,0.12127211028851204
18,18,66.2134,13.3925,59,18.252,0,114,121,15,131,18,1.0378,62.38438,0.0,0.0,0.25,3.511,11.05849,0.0,0.0,125.0,58.12244,0.00025,0.4,2.327,-1.0,0.445759,0.2660035840604635,455.868523346157,0.21580292833986128,146.20076347751137,0.07800245086084476,79485.4634019649,4.45246224130964,0.13628451755108548,2.8980998100801916,0.17720049040481342,83.0828236245118,0.2527549123910701,40.33816095046055,37348.3680205756,0.5575992468754324,0.8901556862745098,0.17830803277849105,5.5913869598765435,0.2106605072263986,96.23738002996583,0.21734470286147944,0.12124475517911444
19,19,66.6392,13.6935,59,19.32,0,114,121,15,131,18,1.03832,62.8181,0.0,0.0,0.53571,3.503,11.50453,0.0,0.0,125.0,58.05446,0.0003,0.4,2.264,-1.0,0.43322,0.26527963146099576,454.66125786105044,0.21580534855051245,146.27828725491972,0.07802925307964616,79310.1931060435,4.496095092152177,0.1359040082171926,2.7187097543138097,0.17773349951707754,83.01980874328908,0.2517954208993549,40.1796795880353,37512.98597559416,0.5598168729186612,0.8904235294117647,0.17650229142741272,5.640576774691358,0.21067986162384011,97.5031039521538,0.21719211153386103,0.12116540722822279
20,20,66.8361,13.9328,59,21.3124,0,114,121,15,131,18,1.01881,62.99859,0.0,0.0,1.03571,3.477,11.76111,0.0,0.0,125.0,57.97156,0.00023,0.41,2.228,-1.0,0.40595,0.2644391814212347,453.4719865650691,0.21457838572015764,146.39713595299264,0.07804101042443463,79243.95488406543,4.525908818142941,0.1357894327550854,2.110811806486718,0.17826297141690614,82.9447991929859,0.25142198709301516,40.300594000168786,37462.495011963416,0.5598168729186636,0.8904235294117647,0.17483370318052766,6.562885802469136,0.2107528033188251,97.55215154815367,0.21712869380711267,0.12108589604380797
21,21,66.8499,14.4575,59,22.1131,0,114,121,15,131,18,1.03435,62.99688,0.0,0.0,0.42857,3.467,11.96977,0.0,0.0,125.0,57.85658,0.00035,0.4,2.205,-1.0,0.48862,0.2637292042311963,452.2885463429292,0.21255632136234476,146.4072470186482,0.07803729184960015,79900.65167723646,4.570202923091102,0.13571942578051704,1.946995739049744,0.17864080785826303,82.84842014223513,0.25126437645489275,39.93950248058931,36927.891534762755,0.5598168729186603,0.889284705882353,0.1733143090227538,6.339940200617284,0.21074275829207934,97.12856647179493,0.2170345082256824,0.12102653103837176
22,22,67.0082,15.2786,59,19.914,0,114,121,15,131,18,1.02489,63.15187,0.0,0.0,1.07143,3.474,12.41292,0.0,0.0,125.0,57.74811,0.00032,0.4,2.421,-1.0,0.436947,0.26323374068111394,451.21598885917416,0.21137100020032762,146.461917296137,0.07803772880635339,79799.6802902371,4.614674078755493,0.1356562909636465,2.4434591827855097,0.17904036889401212,82.81973211688583,0.25095903573245243,39.99210743845245,36937.53896586928,0.5598168729186622,0.8878823529411765,0.17207756220102627,6.3724440586419755,0.21065185274605674,98.11540932356972,0.21714441074526358,0.12110126491117115
23,23,67.1374,16.7007,59,20.7395,0,115,121,15,131,18,1.03943,63.31738,0.0,0.0,0.67857,3.509,13.1154,0.0,0.0,125.0,57.72388,0.00032,0.41,2.452,-1.0,0.416875,0.2630460073378321,450.19142194578063,0.21015501084529364,146.55654226935752,0.07804756815530624,78849.55863836245,4.649117099187192,0.1361290202668061,2.0167411288602937,0.17928169796842067,82.78520259954746,0.24814989662494788,39.88506552613812,36756.35106262358,0.5598168729186658,0.8883839215686274,0.1712550860138114,5.909191743827161,0.21049836186047707,98.01381832207959,0.2171767822644182,0.12105283069200647
24,24,67.2697,16.4404,59,22.5834,0,115,121,15,131,18,1.0321,63.4743,0.0,0.0,1.42857,3.535,14.34235,0.0,0.0,125.0,57.79362,0.00043,0.41,2.38,0.17876,0.429421,0.2630727092328686,449.18840153956626,0.20839614776872542,146.76189609738475,0.07805956210032479,78429.44041526977,4.632808966186828,0.13602704169394492,1.9266119203331187,0.17940502704254901,82.80508098505408,0.2460264787353905,39.62439887906298,36899.19442564136,0.561440287854495,0.8893718039215686,0.1710610858026593,5.834297839506172,0.21040221934331296,96.1027800299355,0.21717475180713405,0.12104473844052244
25,25,66.499,14.5196,59,20.475,0,115,121,15,131,18,1.0333,62.7743,0.0,0.0,2.0,3.495,14.11481,0.0,0.0,125.0,57.73769,0.0004,0.4,2.319,-1.0,0.426843,0.2636923675424284,448.2594288931143,0.20628384491419102,146.7483434783524,0.07810777591245122,78628.47198701208,4.537733742803353,0.1358070433940569,2.143399928132591,0.17970136288421912,82.92605388240216,0.24343394251976438,39.736014472113716,35256.84730583401,0.5598168729186644,0.8889941176470588,0.17095724746253466,5.973668981481482,0.2103954254202512,95.79740609840533,0.21713179658656556,0.12112416067890006
26,26,65.6528,13.7956,58,20.0377,0,115,121,15,131,18,1.03307,62.03363,0.0,0.0,2.03571,3.507,12.46569,0.0,0.0,125.0,57.70214,0.00045,0.4,2.422,-1.0,0.463798,0.2627449159957204,447.3756440183882,0.20425144972564724,146.85928122165092,0.07813401014877054,78069.01142840702,4.455996236115524,0.1354371019534096,2.141163294689389,0.17994864766535953,82.95664370096736,0.24131032028865892,39.95314779399354,33284.80617775199,0.5598168729186616,0.8895490196078432,0.17015051321410654,5.946228780864198,0.21024356331085822,95.39795984754075,0.21720003215786762,0.12110019962876754
27,27,65.2993,13.9008,58,18.1782,0,115,121,15,131,18,1.03209,61.75763,0.0,0.0,1.75,3.5,11.84531,0.0,0.0,125.0,57.83672,0.00036,0.41,2.114,-1.0,0.428914,0.26207660684221196,446.47468919727913,0.20191945810763093,146.91451443439294,0.07812578970796501,77911.8557676342,4.440907120971882,0.13559454074565191,2.057130286084728,0.1801648337237168,82.99434754160445,0.23955945153447233,39.884598343460645,32282.727745967586,0.5620344989618928,0.8918678431372549,0.16945008710818615,6.4429494598765435,0.21022741895716213,95.41076154128665,0.21707870209868455,0.12102923311128742
28,28,65.1021,13.7234,58,19.1124,0,115,121,15,131,18,1.03272,61.62214,0.0,0.0,0.82143,3.481,11.93235,0.0,0.0,125.0,57.76141,0.00039,0.4,2.263,-1.0,0.431843,0.260907760102327,445.6057511938441,0.20011353077992244,147.10794590609268,0.07812300887834561,77548.14894498287,4.489099953210855,0.13652045925269088,2.0694878055649775,0.1803895823840505,82.98997717282381,0.23781187722375796,39.749485533914445,31653.333255733767,0.5598168729186654,0.8911964705882354,0.1693963707024268,7.163483796296297,0.21013838321698378,95.56070011495547,0.21695687333407032,0.12105254472965384
29,29,65.5942,13.8657,59,19.669,0,115,121,15,131,18,1.04393,62.13551,0.0,0.0,0.82143,3.473,11.78079,0.0,0.0,125.0,57.63941,0.00039,0.41,2.468,-1.0,0.441171,0.2604030684533071,444.81860965656665,0.20027655556065965,147.157876141291,0.07811593734814648,77194.39613330788,4.558397057299406,0.1374200292950448,2.798212868184017,0.18068564141743182,82.8863982975659,0.23569966222425828,39.54282313217352,31551.316845883382,0.5598168729186676,0.8913023529411765,0.1690895226763972,8.029176311728396,0.20998604846412522,96.16814703788921,0.2168077077561293,0.12102343241312875
30,30,65.8326,13.1371,59,18.8044,0,115,121,15,131,18,1.0531,62.35606,0.0,0.0,0.39286,3.449,11.90601,0.0,0.0,125.0,57.76057,0.00046,0.41,2.329,-1.0,0.414964,0.2602975228635213,444.08538024255085,0.19874298739346163,147.21492307092555,0.07811715548699036,77260.1927971605,4.60141276712343,0.137812363746177,2.860977029970088,0.18094412134350157,82.83375397897206,0.23317660780010152,39.70313008626302,32118.42630603566,0.5598168729186674,0.8939270980392156,0.16860133134760744,8.390480324074074,0.20994181189266414,95.99186474412839,0.2167669203357466,0.12104658508222449
31,31,65.9609,12.9137,59,17.2934,0,115,121,15,131,18,1.02796,62.47713,0.0,0.0,0.42857,3.46,11.28282,0.0,0.0,125.0,57.76398,0.00046,0.4,2.524,-1.0,0.386501,0.2601584897271487,443.4818049876668,0.19695751616659687,147.481150257754,0.07811533918293548,77461.54396878264,4.576750112198193,0.13898247907087669,2.763846613105877,0.18104665001300707,82.90000421294415,0.23084883642974352,39.696572951328605,32356.071847987052,0.5620344989618941,0.8947380392156863,0.16832018158162276,7.7252121913580245,0.20986739402211738,98.14276485625761,0.21675663923580565,0.12102772525738806
32,32,66.668,12.9068,60,17.1676,0,115,121,15,131,18,1.03057,63.14835,0.0,0.0,0.28571,3.44,11.09471,0.0,0.0,125.0,57.7274,0.00039,0.41,2.603,0.18377,0.384759,0.25945306165879867,443.02618273813147,0.1961124986603666,147.6325422978921,0.07812554661548425,77590.38778497429,4.547299146388873,0.140608142204575,2.807980224250426,0.18122451959086847,82.69726606874394,0.22888785911046458,39.61129497010031,33286.16636838207,0.5620344989618943,0.8959329411764706,0.16838331011665153,7.141830632716049,0.2097881126889988,98.10310585236778,0.21684182555603465,0.1210626642107498
33,33,66.7598,13.5149,60,18.1394,0,115,121,15,131,18,1.04356,63.20582,0.0,0.0,0.5,3.422,11.08924,0.0,0.0,125.0,57.73044,0.00042,0.4,2.356,-1.0,0.408079,0.25907855029911503,442.71549266813753,0.19557432965423288,147.91883942576044,0.07813442116184643,77823.72584430847,4.542204156806369,0.14274691673563436,2.7062071612929333,0.1814162716532903,82.69062350503889,0.2269403054967458,39.62765766661845,33825.52500843473,0.5620344989618989,0.8953823529411765,0.16849263010358073,6.904755015432099,0.20967633422547363,95.48529886670167,0.2169285631590514,0.12108999092814861
34,34,66.6501,13.8776,60,18.4207,0,115,121,15,131,18,1.0433,63.10257,0.0,0.0,0.53571,3.437,11.60516,0.0,0.0,125.0,57.62672,0.00048,0.4,2.682,-1.0,0.377385,0.25886677460999347,442.45645542499966,0.19579181644302865,147.97128938619227,0.07810329543391671,77813.75013999858,4.580644799290093,0.14373510445893453,2.942922394700526,0.18158091388570644,82.72139296226689,0.22504122272777577,39.69755516523196,33994.386566359026,0.5620344989618961,0.8926890196078432,0.16843697415025047,6.990788966049383,0.20956494873300938,95.4672614685297,0.21700698725750506,0.12112857474308758
35,35,66.2877,13.6248,59,19.1073,0,115,121,15,131,18,1.02692,62.75834,0.0,0.0,0.35714,3.417,11.91751,0.0,0.0,125.0,57.51571,0.00041,0.4,2.635,-1.0,0.374467,0.2583325124433106,442.2734289728624,0.19515896117087556,147.858241599,0.07810047749413176,77511.2040357631,4.6075453359282035,0.14426707272345088,2.903494854449185,0.1817924587011405,82.79303609801325,0.2233842376432248,39.86777204348717,33143.52871768707,0.5620344989618994,0.8895219607843138,0.16853169943521698,7.101176697530864,0.20950627317814657,96.62396217891559,0.21705670440647737,0.1211924634899251
36,36,65.4364,13.8532,59,19.0748,0,115,121,15,131,18,1.04222,62.02062,0.0,0.0,0.46429,3.454,11.70292,0.0,0.0,125.0,57.49595,0.00042,0.4,2.623,-1.0,0.388864,0.2583572615976314,442.09625959414234,0.19458987536410896,147.59972998111465,0.0780836414938366,77268.93183698776,4.669691686560352,0.14431192221555944,2.9108105105322792,0.18196191799394537,82.97888343870753,0.22173519248795331,39.82777630841291,32731.292501896492,0.5703107920274174,0.8878403921568627,0.16819422239689197,6.690200617283951,0.2094180446782495,95.41237427143423,0.2171413593334775,0.12125930740456009
37,37,64.7929,13.1355,59,18.6195,0,115,121,15,131,18,1.03948,61.444,0.0,0.0,0.35714,3.443,11.89989,0.0,0.0,125.0,57.44075,0.00039,0.4,2.277,-1.0,0.391279,0.2584587004849992,441.92373543222743,0.19330563754423427,147.53192801189118,0.07809161630635791,77391.72597385719,4.654693566337322,0.14459235736806686,2.434838034137606,0.18207199380115835,83.10079503704806,0.22021635084939797,39.9305086489077,32160.464816126463,0.5703107920274195,0.886155294117647,0.16800142186769051,6.098765432098766,0.2092367774231096,98.0449925468872,0.21721663791995433,0.12125687975832133
38,38,64.4766,12.6583,59,18.1157,0,115,121,15,131,18,1.04156,61.11574,0.0,0.0,0.46429,3.459,11.27982,0.0,0.0,125.0,57.38987,0.00041,0.4,2.51,-1.0,0.389902,0.25913914062360116,441.6863441609002,0.19178192176786776,147.44935523259892,0.07808691691942214,77257.10219877161,4.576569346045864,0.14484449743188313,2.2265084037987926,0.18210735881460036,83.16234234856928,0.21876942582572562,39.87757289556809,31803.582831002732,0.5703107920274202,0.8839678431372548,0.16714608604511505,5.545476466049383,0.20895519627913173,97.96706165601636,0.2171876244899224,0.12130575876804761
39,39,64.3562,12.4373,58,18.6715,0,115,121,15,131,18,1.0502,60.96994,0.0,0.0,0.28571,3.408,10.86955,0.0,0.0,125.0,57.45452,0.00049,0.4,2.763,-1.0,0.407861,0.2597275895472045,441.35307185573015,0.1905817855918,147.4249730862925,0.07810410858742768,77438.421777124,4.531866851726762,0.14525466618621585,2.0713736419991724,0.1822503840019765,83.13707997499398,0.2179079647803951,39.924303973162615,31907.37920501734,0.568687377091588,0.8832745098039216,0.16644186604038222,5.685426311728395,0.20872145741261133,95.58498893215811,0.21726982951519103,0.12132963302978081
40,40,64.6538,11.9082,58,18.5249,0,115,121,15,131,18,1.04751,61.23551,0.0,0.0,0.82143,3.42,10.67511,0.0,0.0,125.0,57.52552,0.00042,0.4,2.241,0.18068,0.434206,0.26023629440008905,440.9474657053212,0.18920329008809603,147.10328450835755,0.07810293328786728,77505.68511511762,4.484598396917588,0.14618235479272895,2.1701692910095223,0.1823674674917818,83.112568728024,0.21740811176126007,39.826261920693476,31983.86656763399,0.5680931659841918,0.8827090196078432,0.16615422796160326,5.959780092592593,0.20848469163011146,95.73440622349824,0.21732734850911578,0.12132797221297625
41,41,64.2568,12.2222,58,17.2758,0,115,121,15,131,18,1.04608,60.86689,0.0,0.0,0.64286,3.449,10.22694,0.0,0.0,125.0,57.40504,0.00052,0.4,2.017,-1.0,0.430251,0.26087475283262485,440.5579401029106,0.18782144783737587,147.3073365378293,0.07807897343772438,77191.28042985966,4.460713892248408,0.1469562065934934,2.502125288288555,0.18249867390491162,83.20026519171182,0.2170596997924035,39.65097818256896,31323.160139402775,0.5658755399409608,0.8816866666666667,0.16533371496823596,6.141059027777778,0.20819449134819035,95.61390492529347,0.21733044626448542,0.12137759683244383
42,42,63.8507,11.8943,58,19.79,0,115,121,15,131,18,1.03702,60.50288,0.0,0.0,0.39286,3.483,10.49541,0.0,0.0,125.0,57.39482,0.00053,0.4,2.079,-1.0,0.40815,0.2615161420929152,440.20462983668386,0.18653505878204188,147.5106612026422,0.07807154533266994,77433.91197592713,4.48235819759801,0.14763479557117173,2.4345022513770314,0.18265079998643222,83.3022154464814,0.21622418442204125,39.59378221299914,30951.380254440326,0.5626287100692962,0.8766674509803921,0.1645528987373491,6.19068287037037,0.20804548863648373,95.78963575067775,0.2173759408296504,0.12137868747671633
43,43,64.2348,11.7041,58,17.3621,0,115,121,15,131,18,1.0462,60.83866,0.0,0.0,0.39286,3.489,10.21378,0.0,0.0,125.0,57.48823,0.00039,0.4,2.126,-1.0,0.414929,0.2623880132491202,439.8171894645831,0.18531962654054757,147.34338691040435,0.07804556969227841,77353.2965392795,4.4630494194983745,0.14890145298994537,2.5305831824843845,0.1827753251434015,83.1821158206775,0.21548714523846643,39.59113829812886,31292.465520804195,0.5636579138977299,0.876155294117647,0.16388382409368382,6.201437114197531,0.2079156496264246,98.1210287998118,0.21740242145808447,0.12136270943707664
44,44,64.5546,12.4035,58,16.5457,0,115,121,15,130,18,1.03858,61.15302,0.0,0.0,0.17857,3.453,10.0516,0.0,0.0,125.0,57.45249,0.00042,0.4,2.362,-1.0,0.404826,0.26359584207015674,439.4239417674399,0.18409743077201754,147.76728278564852,0.07805249580727655,77264.83362769392,4.460701945945934,0.14986268677326664,2.6137885978482926,0.18294788572455717,83.21007379122068,0.2145134503172341,39.346301043475115,31264.214969765046,0.56262871006929,0.8747713725490196,0.16337227381505934,6.374180169753086,0.20783352683227,98.09071703494193,0.21744141119244467,0.12134813858971685
