,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,blur,cubcol.0.5,movement,uhdhdsim,cubcol.1.0,saturation,cubcol.0,temporal,cubcol.0.3,noise,cubrow.0.5,cubrow.0,cubrow.0.3,tone,cubrow.1.0,cubcol.0.6,contrast,staticness,fft,cubrow.0.6,color_fulness,blockiness
0,300,43.8677,23.1953,28,0.0,0,108,122,7,130,6,0.98834,43.06571,0.0,0.0,3.42857,8.817,0.0,0.0,0.0,125.0,37.10231,0.00044,0.32,1.728,0.0,2.419284,12330.582641956018,0.0599768258732545,0.0,96.23498559738336,0.14628708185641612,32.48062943823544,0.18591961395746556,0.0,0.09866546090404733,0.3232104222764836,0.10230252231160102,0.07001782187460585,0.1296820171433586,0.5339435294117647,0.09835769893044402,0.16631643257625497,89.8425624819891,323.6493071251548,63411.49695412725,0.10534936754591535,91.92900171968263,3.4939428502635006
1,301,43.9726,23.173,29,29.1557,0,108,122,7,130,6,0.98345,43.09145,0.0,0.0,3.64286,8.843,19.90939,0.0,0.0,125.0,37.10893,0.00042,0.32,1.661,-1.0,2.413733,12518.702241854751,0.06431960756451469,18.558015046296298,96.3964581649495,0.11440428986063714,32.51128811306423,0.15110909539437256,6.584324404811655,0.08263568559011136,0.3232104222764844,0.07598664890094099,0.049658923379131324,0.10108858827467648,0.5350235294117647,0.07957994126611945,0.14661263440377906,90.00916546041864,317.26510447166925,63354.32455175052,0.07605153010893113,92.608510963546,3.306013157851451
2,302,44.2423,23.1514,29,29.8469,0,108,122,7,130,6,0.98642,43.3087,0.0,0.0,3.35714,8.848,19.89024,0.0,0.0,125.0,37.23198,0.00043,0.32,1.655,-1.0,2.385036,12786.058489823114,0.06417489875521551,16.418788580246915,96.40723073543643,0.11686162382849129,32.67295272262008,0.14992127501872635,6.553494519171328,0.0762122426939942,0.32321042227648294,0.06958791847141811,0.04494694925598489,0.09320511368509198,0.5392278431372549,0.07420360764515108,0.14314913117500827,91.3454466238695,311.839028317811,63649.17187411181,0.06887310571615204,92.09762087988729,2.8403718129981197
3,303,44.3703,23.0864,29,29.5373,0,108,122,7,130,6,0.99136,43.39431,0.0,0.0,2.96429,8.824,19.86825,0.0,0.0,125.0,37.27163,0.00045,0.31,1.698,-1.0,2.442346,12890.409368278224,0.05953376511907492,14.400800540123457,96.40070908820654,0.11666465720356921,32.60295952690973,0.14696331298790308,6.546282368921483,0.0681644934907414,0.32099279623325233,0.06551824976743055,0.04246193196090261,0.08961239003182711,0.5421454901960785,0.06797730137197155,0.13777445234449834,91.80040377344011,306.5551729602594,63731.5539518091,0.06501197947804369,91.36800470214527,2.6004194035002732
4,304,44.3782,23.0528,29,27.2003,0,108,122,7,130,6,0.99125,43.38941,0.0,0.0,4.17857,8.751,19.81784,0.0,0.0,125.0,37.2682,0.00049,0.32,1.773,-1.0,2.412661,12844.489057777717,0.0551223625577802,12.865644290123457,96.45033722469789,0.11838516875444416,32.687807436342595,0.14231218287209754,6.538457329838226,0.06725367265247176,0.3232104222764796,0.06304520920065887,0.04049787981436344,0.08668365225559334,0.5447705882352941,0.06446411324583584,0.13090526318421475,89.04751783659181,301.8532255828594,63727.14882461876,0.06298131914806253,92.51990316095332,2.6573390751845407
5,305,44.4354,23.0241,29,28.6429,0,108,122,7,130,6,1.00186,43.48007,0.0,0.0,3.39286,8.712,19.79191,0.0,0.0,125.0,37.36865,0.00049,0.32,1.881,-1.0,2.370541,12832.355726039254,0.053146675012079245,11.680362654320987,96.39354773461228,0.11818423406482374,32.81585203571084,0.142957430062616,6.5453686348320845,0.06523768696416081,0.32321042227648406,0.061167435345386344,0.03917420658550158,0.08495553028718913,0.5479113725490197,0.061839221943275506,0.12403029853967185,92.44361482881445,297.84142354338456,63743.96872092446,0.06330378714147018,91.82364125308668,4.225733289019178
6,306,44.6784,22.8963,29,31.5011,0,108,122,7,130,6,0.99672,43.72679,0.0,0.0,3.89286,8.7,19.76349,0.0,0.0,125.0,37.40175,0.00052,0.32,1.774,-1.0,2.346183,13091.363422648908,0.05133018238224018,10.705343364197532,96.28465070298155,0.11485797090382323,32.672503624433354,0.14604113052191586,6.539321255254545,0.06373982599703724,0.32321042227648256,0.05973596523520933,0.03839061186798826,0.0839826293158195,0.549621568627451,0.05932957286482645,0.12041936419616295,91.49947602385618,294.0615799467698,63728.115131393395,0.06228516483375075,92.77039177129511,4.122026579600882
7,307,44.9746,22.8198,29,27.8458,0,108,122,7,130,6,0.99726,44.01302,0.0,0.0,3.14286,8.596,19.65201,0.0,0.0,125.0,37.40567,0.00048,0.32,1.846,-1.0,2.425351,13401.456512975288,0.050234689114376,9.71484375,96.0851894493012,0.11068495654184284,32.68418055404852,0.1449161799401469,6.5355847597599235,0.06281407461037497,0.32321042227648333,0.058363361230272345,0.03767442683915793,0.08352990780059077,0.5509392156862746,0.05774104817660407,0.11814742278672966,90.48058763533075,290.58162525567576,63938.49711701758,0.06023751413981361,93.58228723999228,3.89317255587423
8,308,45.1156,22.7621,29,26.9875,0,108,122,7,130,6,0.98951,44.15122,0.0,0.0,3.60714,8.57,19.58914,0.0,0.0,125.0,37.56129,0.00048,0.32,2.036,0.36471,2.353317,13480.063958359442,0.05079254916331999,8.904899691358025,95.92575189568335,0.11083839217071864,32.68135221504871,0.14804999810742792,6.524742349815928,0.06376226440802496,0.32321042227648406,0.05741646914709002,0.03720638271882955,0.08249826625751339,0.5541298039215687,0.056371936004942516,0.11314328212652762,85.72231235050147,287.50301278469226,64055.160300725576,0.058954038474222904,93.84973709165287,3.3307330267179505
9,309,45.2405,22.8006,29,28.9029,0,108,122,7,130,6,0.99759,44.26504,0.0,0.0,3.28571,8.513,19.5396,0.0,0.0,125.0,37.62084,0.00051,0.32,2.045,-1.0,2.346571,13590.872533277847,0.05959328751188357,8.341097608024691,95.85685687789734,0.10991078942357554,32.451624740788965,0.152066743107132,6.522230466526589,0.06477908313812764,0.32321042227648406,0.05650329653795961,0.03665450464141276,0.08187494058009948,0.555658431372549,0.0554285327956282,0.11340258795956969,92.37964576378258,284.45142432268347,63981.38031041183,0.05794344143877049,93.87116143553712,3.330521671029825
