,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,color_fulness,cubcol.0.5,cubrow.0,cubcol.0.3,cubrow.1.0,cubrow.0.6,cubcol.0,cubrow.0.3,blur,blockiness,cubcol.1.0,cubcol.0.6,fft,staticness,tone,temporal,uhdhdsim,saturation,noise,movement,contrast,cubrow.0.5
0,500,47.9519,3.87813,23,0.0,0,116,132,6,125,5,0.99816,43.28766,0.0,0.0,2.67857,5.093,0.0,0.0,0.0,128.0,54.26838,0.00021,0.0,1.117,0.0,9.582019,161.76684851829685,0.13035456433726453,0.1017675071386908,0.061878691835160746,0.1494803911024112,0.1417763864599925,0.009576772316373524,0.21230943694951346,20765.31014530554,2.2413892660941768,0.009225880699195995,0.15724407609295327,65719.27348295723,617.139661454715,0.7591098039215687,0.0,92.7279444701648,34.15901523166232,0.1996602374010168,0.0,92.37439159139458,0.2525669923808453
1,501,47.9502,3.76315,23,4.02429,0,116,132,6,125,5,0.98927,43.26989,0.0,0.0,3.32143,5.131,3.3046,0.0,0.0,128.0,54.2801,0.00026,0.0,1.008,-1.0,9.551777,161.81897081651954,0.12847323431808677,0.10062175937850912,0.05663009771022474,0.1443299984941163,0.13577381131852045,0.007429479716971476,0.21201893379620082,20809.8489118212,2.218547245449711,0.007552323770039539,0.1553770226806793,65816.78991387998,617.6961676712212,0.75644,2.0553317258015604,92.76732313268184,34.125494309413575,0.19581919642195555,0.49474344135802467,91.57583272395729,0.2505555510808767
2,502,47.8999,3.89328,23,4.22846,0,116,132,6,125,5,0.98092,43.22197,0.0,0.0,3.17857,5.099,3.20026,0.0,0.0,128.0,54.255,0.00019,0.0,0.923,-1.0,9.525481,161.79234651410368,0.13455194547651722,0.10019356611514833,0.05471248621970889,0.14229358711452167,0.13372730978423347,0.006808629390910923,0.21144835298590398,20742.63168414687,2.1929722819804343,0.006863095694474619,0.1551701544021654,65774.68950911767,617.4667498905486,0.7554121568627451,2.126828144267165,92.77359084474577,34.13932046772521,0.195819196421957,0.4877025462962963,90.21692723550109,0.24925804241054525
3,503,47.9729,4.2271,23,4.16688,0,116,132,6,125,5,0.98661,43.28262,0.0,0.0,3.07143,5.105,3.31609,0.0,0.0,128.0,54.27807,0.00022,0.0,0.959,-1.0,9.480449,161.70359531414658,0.13859751941928905,0.10045329858483787,0.053235156261577446,0.141864490745167,0.13302359346292725,0.006699539862826568,0.21153204432201042,20830.590662501367,2.1567145297390016,0.006689118557448902,0.15493123354330252,65711.111927778,617.7860484142367,0.754093725490196,2.2270372458823684,92.78775682850994,34.21601660457658,0.19581919642195486,0.53515625,91.62071148019119,0.24891468449460605
4,504,47.9446,4.18454,23,4.08505,0,116,132,6,125,5,0.98705,43.25895,0.0,0.0,2.89286,5.098,3.60271,0.0,0.0,128.0,54.26447,0.00022,0.0,0.954,-1.0,9.554904,161.70427832776483,0.13688894698203405,0.10085657813133947,0.05292159678325679,0.14118868972428195,0.1332849060015369,0.006426469919235266,0.21155111205789476,20795.79603220445,1.9521588227839173,0.00640040263653803,0.15504725602653283,65749.18614392976,617.7331535594403,0.7536494117647059,2.3100858408462206,92.75647706687445,34.20188771942516,0.19360157037872505,0.7972125771604939,88.69268064900253,0.24868164581439142
5,505,48.0044,4.0592,23,4.23581,0,116,132,6,125,5,0.99313,43.32145,0.0,0.0,2.75,5.1,3.57056,0.0,0.0,128.0,54.29863,0.00022,0.0,0.966,-1.0,9.483042,161.45652392323103,0.13326375292432724,0.10062510144395634,0.053478630228021275,0.14092277872273015,0.1334360123345253,0.006328641688011926,0.2114858123864877,20807.055950026916,2.1345202403404566,0.006442777697644707,0.15481559527698224,65727.02405984332,617.9663632646857,0.7535066666666667,2.3262613978333095,92.76818694615704,34.18336260760272,0.19966023740101593,0.7096354166666666,88.9111384402896,0.24832480087677367
6,506,47.9811,4.13363,23,4.37557,0,116,132,6,125,5,0.97872,43.30825,0.0,0.0,2.53571,5.103,3.45645,0.0,0.0,128.0,54.2863,0.00021,0.0,1.102,-1.0,9.462278,161.95991702927054,0.13027633362852953,0.10068159894748512,0.05393830095464084,0.14081385050449502,0.13266978149456596,0.006263740966327867,0.21120031077381177,20767.517722192133,2.1618958076524883,0.00623360723930005,0.15501668710788674,65689.96107294336,617.9230655415638,0.7529411764705882,2.350138789023937,92.76974561358684,34.15712653266059,0.1974426113577902,0.6415895061728395,89.6785664221008,0.24837244788575663
7,507,48.0536,4.08965,24,4.30128,0,116,132,6,125,5,0.97431,43.38519,0.0,0.0,2.75,5.156,3.52117,0.0,0.0,128.0,54.35049,0.00019,0.0,0.981,-1.0,9.548953,161.43976658166793,0.12960864633201213,0.10061136610868666,0.05382631962219815,0.14088842575388022,0.13229030001393105,0.006199718993191684,0.2110939236210779,20740.94353908031,2.084646845832095,0.006220208988639454,0.15475997009498269,65716.04134092631,618.0781194543513,0.7529411764705882,2.348172713261651,92.70794192930701,34.216079335153836,0.1996602374010121,0.679639274691358,87.73452055514298,0.24840685103513316
8,508,48.0662,4.12976,24,4.11767,0,116,132,6,125,5,0.97393,43.40474,0.0,0.0,2.82143,5.134,3.48256,0.0,0.0,128.0,54.33324,0.00019,0.0,0.994,0.50476,9.639249,161.77729390406594,0.1304717443832855,0.10055691994435983,0.054657102186255295,0.1409618994446379,0.13207124211733978,0.00618779354284293,0.21083891779835887,20737.647266613087,2.1974252762960607,0.006159298364033216,0.15450845962006282,65669.13649788307,618.1363626128775,0.7524203921568627,2.344020286198277,92.73117064911561,34.204948519483025,0.19966023740101432,0.7150848765432098,89.7146790686793,0.24848112975054182
9,509,48.1688,4.09488,24,4.0003,0,116,132,6,125,5,0.9802,43.49638,0.0,0.0,2.89286,5.151,3.52122,0.0,0.0,128.0,54.36667,0.00019,0.0,1.053,-1.0,9.554757,161.98568217708754,0.133206616521845,0.10047284764258085,0.05560367414332095,0.14101290538597183,0.1319321376364828,0.006130370420285464,0.21061758068772735,20872.6642914437,2.0908429650370164,0.0061565329684134,0.1543079153267336,65713.6163877873,618.3336305668464,0.7518400000000001,2.316632388280019,92.76008721570594,34.15626883801119,0.1974426113577895,0.6748167438271605,88.95519359866576,0.24863351153318167
10,510,48.1605,4.02581,24,3.77002,0,116,132,6,125,5,0.98038,43.49059,0.0,0.0,3.03571,5.112,3.48708,0.0,0.0,128.0,54.3752,0.00023,0.0,1.028,-1.0,9.485907,161.84307816475098,0.13568822368833533,0.1004336417965694,0.056765809774267866,0.14118647016270422,0.13179077761107671,0.006218448585360191,0.21041691960338826,20871.209013665914,1.9728025661399275,0.0060601545663905194,0.15415397569543982,65750.70459672018,618.3988808367129,0.7518400000000001,2.2784595580828135,92.74186586449372,34.27396835515529,0.19966023740101638,1.0894579475308641,91.06178957578369,0.24872925742989718
