,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,color_fulness,cubrow.0.6,saturation,cubcol.0,cubcol.1.0,cubcol.0.3,cubrow.0.3,staticness,movement,blockiness,contrast,cubcol.0.6,cubrow.0.5,tone,blur,noise,cubcol.0.5,fft,cubrow.1.0,cubrow.0,temporal,uhdhdsim
0,400,45.3235,29.2601,36,0.0,0,112,123,12,130,9,1.0038,47.50527,0.0,0.0,3.67857,8.287,0.0,0.0,0.0,126.0,44.12341,0.00015,1.34,1.61,0.0,0.0,89.5211109006932,0.1587063727563209,30.813752350983798,0.1717880507960975,0.06948720556062166,0.17184089451127876,0.11938655983008206,375.2145634601825,0.0,2.5047196960430833,88.28804770142698,0.07170052422855722,0.1938616368015944,0.7185109803921569,15250.142962099377,0.5002594065241587,0.18262357353129954,65241.61174505769,0.07491922976056617,0.08370873281042211,0.0,95.4562840102219
1,401,45.8597,29.6333,36,31.9494,0,112,123,12,130,9,1.01054,47.98965,0.0,0.0,3.03571,8.196,25.13136,0.0,0.0,126.0,44.36683,0.00015,1.34,1.757,-1.0,0.0,89.02222407178735,0.11347953086661203,30.80762133186246,0.1622668998293715,0.06514424661041648,0.15788292512811436,0.08945131795197142,364.94361503978485,23.233796296296298,2.7712892981488295,90.60977227749255,0.055387692176968505,0.13873312206440266,0.7209349411764705,15912.927110908146,0.5002594065241571,0.16956639538428198,65432.755910014734,0.05547188064458254,0.060568439642758855,7.4690684174595265,95.35642338830206
2,402,46.0838,29.782,36,32.9983,0,112,123,12,130,9,1.00519,48.23137,0.0,0.0,3.14286,8.2,25.44802,0.0,0.0,126.0,44.62632,0.00015,1.33,1.98,-1.0,0.0,88.79629386769541,0.10709882516859393,30.802738142602237,0.13555176159662316,0.06573260824078068,0.16426614824582098,0.0817806830183942,357.0189512078168,20.164014274691358,1.9157297870354528,86.61906633725948,0.053143758396622366,0.12537063653598707,0.7247761176470587,16193.950518331267,0.5002594065241593,0.16543281610608124,65166.909281233406,0.04949390776778828,0.05401233341084054,7.4594634657433145,95.35232481692206
3,403,46.207,31.3012,36,31.8397,0,112,123,12,130,9,0.99969,48.4127,0.0,0.0,3.28571,8.281,25.59074,0.0,0.0,126.0,44.93209,0.00015,1.32,1.889,-1.0,3e-06,89.14649326872845,0.10235481108790292,30.741012384862078,0.12230364359869629,0.06651133681194765,0.16341032209765602,0.07822431979925858,350.1178568693874,17.926359953703702,1.8250043311067912,90.48060356030065,0.053142697436413366,0.11942183925019627,0.72826,16281.529071475787,0.5024770325673903,0.16382214564531886,65067.10200824113,0.04626897734310905,0.05089753049383199,7.461113136358347,95.36336940559978
4,404,46.2311,32.3917,37,33.8761,0,112,123,12,130,9,0.9999,48.54155,0.0,0.0,4.17857,8.494,26.94029,0.0,0.0,126.0,45.43972,0.00012,1.32,1.827,-1.0,0.0,88.77584584688576,0.10040576265126966,30.668755802107444,0.1153664382150679,0.0675148057301567,0.16317218603283973,0.07515902238896009,344.0213623636177,16.649257330246915,1.8388860912054423,88.51203553293725,0.06206850753887092,0.11492465236784646,0.7434294117647059,16126.386054747485,0.5024770325673891,0.1718663654410315,65044.30689512289,0.044816777102197114,0.048900890005812034,7.48706506324854,95.37198279774223
5,405,46.1584,32.138,37,35.8577,0,113,123,12,130,9,1.0033,48.49334,0.0,0.0,3.5,8.553,27.84667,0.0,0.0,126.0,46.37747,0.00012,1.33,1.903,-1.0,0.0,88.22685851269779,0.09726191517892187,30.38802460093557,0.11633113478856483,0.06757898341295891,0.16063127509512687,0.07335686409510744,338.4745269846363,15.763406635802468,1.6750885111851157,86.64100430851626,0.09201099599960666,0.10972108373121552,0.7732314509803904,15885.898364596107,0.49863599158832733,0.17082200911684792,65101.01601387658,0.0454943865358348,0.048035442217719555,7.510728694653493,95.40049033723776
6,406,45.99,31.7637,37,32.8093,0,114,123,12,130,9,0.99794,48.29764,0.0,0.0,3.42857,8.505,27.61321,0.0,0.0,126.0,47.32415,0.00018,1.33,1.808,-1.0,0.0,88.49908844370265,0.09614816537652723,30.30242825731819,0.12727251259192726,0.06437012357274448,0.16460205561753818,0.0721982487467652,333.479446314696,14.340374228395062,2.5558962915895256,89.97194730088587,0.0978909287112515,0.1054018865941912,0.7912218235294116,15449.482101157944,0.49641836554510405,0.1705028540551701,64962.39529066916,0.04646548429147675,0.047053711114717296,7.505996702431569,95.43479434659272
7,407,45.9693,31.6926,37,32.8461,0,114,123,12,130,9,0.9974,48.27469,0.0,0.0,5.25,8.651,27.29851,0.0,0.0,126.0,48.05199,0.00011,1.32,1.816,-1.0,0.0,88.78118066049083,0.09462431986071167,30.077112645278742,0.12955740635473284,0.06278471716256198,0.17026545295740378,0.07123117918869928,328.8946974136561,13.295042438271604,1.736635100312634,88.44493720239672,0.11398605630496617,0.10268152864888844,0.8025078431372549,15314.119403050045,0.4964183655450971,0.17438215806166762,64946.008136148885,0.0478148201712004,0.04609707051514766,7.492492491630533,95.43503325087279
8,408,46.027,31.5138,37,35.7257,0,115,123,12,131,9,1.0023,48.35035,0.0,0.0,3.60714,8.718,27.23807,0.0,0.0,126.0,48.64084,0.00012,1.33,1.609,0.12577,5e-06,88.05151009589116,0.0932846163930392,30.052335762683256,0.1331701034615353,0.06211456710288875,0.16843271231407483,0.07042162679326021,324.8128443652086,12.892746913580247,1.7416718049490516,86.71138866970188,0.1225153742526372,0.10026241468320758,0.8068321568627451,15389.416998191242,0.5002594065241587,0.18041339607636503,65092.25735826137,0.04865265981592212,0.04552394132934643,7.484316678359843,95.41977852191303
9,409,46.3298,30.9439,37,35.3696,0,115,123,12,131,9,0.99811,48.59354,0.0,0.0,2.60714,8.6,27.0855,0.0,0.0,126.0,49.42511,0.00014,1.34,1.719,-1.0,0.000178,88.17681371949891,0.09087240038238399,29.92033009470245,0.13606618257280775,0.06119272715749876,0.16443042862820334,0.06974559931118196,321.18594478695076,12.334056712962964,1.7284777529729167,85.86384636774216,0.13815549791977924,0.09870105957771927,0.8130819607843138,15711.881251746447,0.4964183655450951,0.18495912901528455,64796.24261863321,0.04888869939587085,0.04526257479034989,7.499522093398514,95.37752404228526
