,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubrow.0,cubrow.0.5,blur,cubcol.0.6,cubrow.0.3,cubcol.0.5,cubcol.1.0,cubcol.0,tone,temporal,blockiness,uhdhdsim,saturation,staticness,cubrow.0.6,movement,contrast,cubcol.0.3,color_fulness,cubrow.1.0,fft,noise
0,300,66.0724,5.73989,37,0.0,0,107,131,10,125,8,0.98164,61.71063,0.0,0.0,2.75,4.054,0.0,0.0,0.0,127.0,59.10431,8e-05,0.72,1.234,0.0,0.0,0.11252953519528415,0.1627791336973823,60594.3697342464,0.22377516963922228,0.2775160005057259,0.22291163308899895,0.03607240136962219,0.025526752928056676,0.8577223529411766,0.0,1.8614972072285039,90.03469668944416,32.58205517427421,546.5367274848041,0.15286443290212318,0.0,93.4062122358963,0.12498913429804076,158.7070326588956,0.13038103390713462,69071.06095156865,0.5273059117639675
1,301,66.1892,5.86263,37,5.48273,0,107,131,10,125,8,0.98091,61.83311,0.0,0.0,3.46429,4.059,4.89869,0.0,0.0,127.0,59.15435,0.0001,0.71,1.198,-1.0,0.0,0.11115600851295855,0.1612116503195526,60941.12793139905,0.2217445682928576,0.2750393675031271,0.22160086729002512,0.0282109837079184,0.0210016048937819,0.8579745098039215,3.760908537989378,1.5761539259026973,90.02028922460784,32.51093358169367,546.6562796537397,0.14639622671827984,1.0502989969135803,92.32157779007422,0.10586062576468235,158.9550026469228,0.12881800648204858,69140.57841003778,0.5273059117639645
2,302,66.1283,5.92737,37,5.74052,0,107,131,10,125,8,0.98621,61.77435,0.0,0.0,3.14286,4.05,5.00373,0.0,0.0,127.0,59.10717,9e-05,0.72,1.202,-1.0,0.0,0.10983457439114006,0.16024389283545404,60804.32616971283,0.2215428857844261,0.27382481310186446,0.22134630956509516,0.027256508875634553,0.01983326773953272,0.8574545098039217,3.8443557562425927,2.0674901889278154,90.02282486764574,32.59207172158324,546.1207130952215,0.14595388521631458,1.1440489969135803,93.68383490487714,0.10315941037090778,158.05171616278272,0.12645401050601113,69188.0819870328,0.5273059117639641
3,303,66.1065,5.92193,37,5.88979,0,107,131,10,125,8,0.98882,61.73947,0.0,0.0,3.67857,4.054,5.0589,0.0,0.0,127.0,59.16333,9e-05,0.72,1.245,-1.0,0.0,0.1100243477092467,0.16068069665260426,60893.8793052716,0.22158835032675578,0.27317932382685806,0.2211953927337419,0.02627144602889814,0.01927484901343204,0.85828,3.8954918522355215,1.728794583712381,90.06983240944578,32.53321386266638,546.0529520712769,0.1456716234142002,1.212818287037037,90.9989954506905,0.10279313023604852,158.57140775720728,0.1235953468163648,69138.77986713291,0.5273059117639641
4,304,66.1043,5.71787,37,6.0619,0,107,131,10,125,8,0.98172,61.75599,0.0,0.0,3.28571,4.05,5.05239,0.0,0.0,127.0,59.15415,0.00012,0.71,1.196,-1.0,0.0,0.10993070022029588,0.16072806848135682,60891.16403163577,0.22218996050407858,0.27300694470954384,0.22078708161530328,0.025448736899055746,0.018873008798568902,0.8577223529411766,3.93797865174832,1.7390338900550653,90.08940260278868,32.577034844292534,545.7922461902899,0.14508706334332175,1.2769097222222223,91.69230714543001,0.1012413421700805,158.90605809950003,0.12205723359204489,69138.7361881651,0.5273059117639693
5,305,66.1696,5.58539,37,5.83115,0,107,131,10,125,8,0.98334,61.8223,0.0,0.0,2.89286,4.065,4.87939,0.0,0.0,127.0,59.19463,0.00012,0.71,1.195,-1.0,0.0,0.11015707394941532,0.16067959521936162,61043.87467421162,0.22206268860106038,0.27361206136357297,0.22071189561269114,0.025043444181392472,0.018591397054443664,0.857944705882353,3.914066623694878,1.7813771981295203,90.0995799166011,32.46071257414641,545.7881245697762,0.14462394433549647,1.1584683641975309,89.61946204021976,0.1021373302561207,158.6337948607631,0.12115795541061275,69112.64250123121,0.5273059117639659
6,306,66.1069,5.38176,37,5.61215,0,107,131,10,125,8,0.98951,61.7571,0.0,0.0,3.0,4.065,4.75918,0.0,0.0,127.0,59.17147,9e-05,0.72,1.228,-1.0,0.0,0.11002606459325609,0.16035483966815695,61000.14524625742,0.2220914329732127,0.2739223535671024,0.22087150006586265,0.024639052940781236,0.01836668792770222,0.8577145098039217,3.88834069383554,1.999720951562988,90.11096322448068,32.47806954089506,545.6395016872603,0.14367292484276092,1.068287037037037,93.36658552966064,0.10402455828207109,158.18870627224385,0.12039399661489333,69122.08818678845,0.5273059117639655
7,307,66.2049,5.23624,37,5.53352,0,108,131,10,125,8,0.98532,61.85981,0.0,0.0,3.78571,4.063,4.58573,0.0,0.0,127.0,59.22345,0.00014,0.72,1.2,-1.0,0.0,0.11012235245856329,0.16030317116716694,61185.686332168654,0.22217234457049154,0.27453580021329266,0.22075374985523627,0.024579428893999455,0.018107426118520766,0.85828,3.872787496434726,1.9031627331683576,90.08359520323494,32.595331262659144,545.5989724721882,0.1429397092549141,1.017698688271605,93.4523331890441,0.10539928075810114,158.8735349999454,0.12036274160673516,69210.21695717885,0.5295235378071971
8,308,66.2297,5.19396,37,5.31065,0,108,131,10,125,8,0.99375,61.88376,0.0,0.0,3.07143,4.074,4.45867,0.0,0.0,126.0,59.22812,6e-05,0.71,1.204,0.125,0.0,0.11006212844175943,0.16053043019403346,61109.22478574887,0.22205539858474907,0.2750433765173512,0.22082985289303864,0.024090306765191062,0.017835577620663224,0.8577145098039217,3.8517394968366916,1.6907413388201458,90.08198504810571,32.44877228913484,545.5286145285612,0.142106281680969,0.8880690586419753,89.98322973666623,0.10709629430623278,159.03779831272314,0.12052972660746966,69102.41239914704,0.5273059117639675
9,309,66.2861,5.15939,37,5.53061,0,108,131,10,125,8,0.98361,61.94581,0.0,0.0,3.10714,4.07,4.42695,0.0,0.0,127.0,59.27243,9e-05,0.71,1.211,-1.0,0.0,0.11005154215729529,0.16071391882369807,61216.559302712056,0.22214455727004376,0.2757333297016337,0.22076298825603966,0.024150276459545733,0.017553470386372887,0.85828,3.8462262842131936,1.7706058027546736,90.06311278027155,32.527368427794656,545.5402657609826,0.14165355293702572,0.8184317129629629,88.2401446778164,0.1090085902734436,157.73402840479918,0.12022717819441796,69165.99487856266,0.5273059117639621
