,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,contrast,staticness,uhdhdsim,blockiness,temporal,tone,cubcol.1.0,fft,cubcol.0,cubrow.0,cubrow.1.0,noise,cubrow.0.5,blur,cubrow.0.3,saturation,cubcol.0.3,color_fulness,movement,cubcol.0.5,cubcol.0.6,cubrow.0.6
0,400,48.5106,1.9524,25,0.0,0,115,133,6,125,5,0.99306,44.56008,0.0,0.0,3.71429,5.105,0.0,0.0,0.0,128.0,54.50626,0.00011,0.0,0.938,0.0,8.282836,89.45079723272231,610.9903071841096,92.91783974778389,2.6592246315802988,0.0,0.7641325490196078,0.009300753520358957,64901.83751341827,0.00861880721511129,0.10248206360894498,0.1264705023289597,0.22227149055436102,0.24785851841619255,19940.334421239084,0.21677581719457698,33.78378861038773,0.037001448408778365,161.72310715791127,0.0,0.1470740678507767,0.15329191111741253,0.1374259563055302
1,401,48.4859,2.01842,25,3.09714,0,116,133,6,125,5,0.99755,44.52562,0.0,0.0,3.46429,5.107,1.61445,0.0,0.0,128.0,54.52243,0.00015,0.0,1.009,-1.0,8.307385,88.72346642531852,611.4557785227393,92.93777896841979,2.6671700434146297,2.038048018274898,0.7638349607843138,0.0075096762435907976,64982.772273816816,0.007328126764100436,0.10217907604223256,0.12450743981188678,0.22227149055436102,0.24662182865744567,19886.99258843445,0.21567098393892492,33.69595977406443,0.03556272368740142,161.84132594521182,0.03284143518518518,0.1456969387378574,0.15318024959427548,0.1360400984944889
2,402,48.4397,2.00774,25,3.04564,0,116,133,6,125,5,0.98892,44.46467,0.0,0.0,3.64286,5.112,1.66871,0.0,0.0,128.0,54.50306,0.00013,0.0,0.952,-1.0,8.292068,86.25630248777338,611.0955454219096,92.95238955467636,2.344707931036934,2.091136466912437,0.7641325490196078,0.0069116779423781,64943.5084750074,0.006643395533230486,0.1017601652250568,0.12375986356269925,0.2222714905543606,0.2457390175891853,19854.24211033949,0.21541966610630442,33.63730894489053,0.03483453260484381,162.08272376443242,0.041184413580246916,0.14563039484053575,0.15258060863338246,0.13652389107077537
3,403,48.4701,2.09447,25,3.09139,0,116,133,6,125,5,0.98899,44.49205,0.0,0.0,3.14286,5.099,1.66075,0.0,0.0,128.0,54.53307,0.00016,0.0,0.953,-1.0,8.268681,88.88680001481336,611.3102009167051,92.93743526934495,2.382833300604499,2.091054250085447,0.7638796078431372,0.0065794228783971065,64919.19781177075,0.006414806378372849,0.1018933283450179,0.12445632945936283,0.2222714905543618,0.2454213167926821,19875.921954081816,0.21550046075156531,33.690321934076,0.03462007476030287,161.8890108239057,0.043547453703703706,0.14604328375577438,0.1530526844607813,0.13680111370041076
4,404,48.448,2.12163,25,3.11893,0,115,133,6,125,5,0.98831,44.448,0.0,0.0,3.42857,5.104,1.73879,0.0,0.0,128.0,54.51753,0.00011,0.0,0.951,-1.0,8.291507,92.35054705919306,611.2214611728945,92.91829540005118,2.0398387127368314,2.1146596942363995,0.7641325490196078,0.006555041303770515,64961.43386106307,0.00651816464968635,0.10207383251629358,0.1237599150175272,0.22227149055436088,0.2451531112513982,19837.43229156163,0.21538457550180148,33.76275427547502,0.03434260943483575,161.77065569301615,0.07093942901234568,0.14720735127957804,0.1527541333196194,0.13736365606195186
5,405,48.5342,2.22068,25,3.26117,0,116,133,6,125,5,0.98486,44.51529,0.0,0.0,3.71429,5.064,1.76247,0.0,0.0,128.0,54.53366,0.00015,0.0,1.036,-1.0,8.265623,91.12213213275784,611.3055676154488,92.88301351637804,2.5310277762814968,2.114245814759092,0.7641325490196078,0.006459703932422334,65021.33623267224,0.006363666240469026,0.10188459640374965,0.12407665704757065,0.22227149055436035,0.24503787316686984,19941.461466039327,0.2156393600164331,33.73489643614969,0.03424707251562232,161.631776023293,0.08058449074074074,0.14894264355364661,0.1529485746627534,0.13759441179386353
6,406,48.4814,2.33403,25,3.37843,0,116,133,6,125,5,0.99128,44.45224,0.0,0.0,3.71429,5.063,1.8507,0.0,0.0,128.0,54.49989,0.00014,0.0,1.021,-1.0,8.368284,88.86644125170972,611.2074229190007,92.92286610590453,2.361771179562075,2.1676384113016187,0.7641325490196078,0.006319333790846556,64969.72697209757,0.006268027389592187,0.10214355364399917,0.12381356019951809,0.22005386451113076,0.24515959123605938,19927.20205246702,0.21560625373880973,33.74883731794946,0.03415854832339347,161.6406122251519,0.09972993827160494,0.15041020249316617,0.15240109726792758,0.13776516075476195
7,407,48.5461,2.38763,25,3.34289,0,116,133,6,125,5,0.99072,44.5043,0.0,0.0,3.78571,5.061,1.95249,0.0,0.0,128.0,54.49773,0.00013,0.0,0.984,-1.0,8.266271,88.80104390660075,611.2541191279392,92.90578342564038,2.5108369333607636,2.244356670279019,0.7635670588235295,0.0062512356614208954,64901.85887773061,0.006183891296084349,0.10209534632110072,0.12383238724162304,0.22227149055435977,0.2451572672485415,19942.82948687416,0.2156220687935394,33.66943566593123,0.03364526379741382,161.962576954708,0.10054976851851852,0.15180423702825102,0.15210320061435137,0.13751028201162033
8,408,48.5015,2.2801,25,3.51931,0,115,133,6,125,5,0.99265,44.45523,0.0,0.0,4.39286,5.099,2.00109,0.0,0.0,128.0,54.47607,0.00014,0.0,0.954,0.47994,8.2231,88.8817902297325,611.160447490968,92.91077333494326,2.5172405094824795,2.279649891220845,0.7641325490196078,0.00612572233074388,64964.09187317444,0.00612260027457836,0.10211792520704184,0.12317696313485735,0.22005386451112194,0.24517718967513066,19916.27382329241,0.21556958285855632,33.763959719810956,0.03367079419327432,161.78718492302903,0.1076388888888889,0.1519012976234689,0.15156722294295036,0.1374293515248244
9,409,48.5383,2.12456,25,3.39809,0,116,133,6,125,5,0.99388,44.49327,0.0,0.0,4.0,5.073,1.90188,0.0,0.0,128.0,54.46912,0.00012,0.0,0.993,-1.0,8.111704,90.66898373301744,611.1945776576476,92.90394975692661,2.252298217705222,2.2368957459941003,0.763618431372549,0.006206392018615691,64936.48222454525,0.006149373375542798,0.10214458277276547,0.12307870684464944,0.2222714905543615,0.24522123192600753,19956.977862654086,0.21542928516141674,33.757438188717686,0.03372739807359249,161.88340419347287,0.08646797839506173,0.15169839486192566,0.15138493642858875,0.13755827216305497
