,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,color_fulness,cubrow.0.3,tone,movement,cubcol.0,temporal,contrast,cubrow.1.0,cubrow.0,blockiness,saturation,cubrow.0.5,staticness,fft,uhdhdsim,blur,cubcol.1.0,cubcol.0.3,cubcol.0.6,cubcol.0.5,cubrow.0.6,noise
0,200,67.2416,8.46406,32,0.0,0,106,131,8,125,6,0.98706,60.73769,0.0,0.0,4.07143,4.002,0.0,0.0,0.0,126.0,59.86653,0.00022,0.3,1.389,0.0,6.794157,159.96688381639586,0.27401584307819576,0.8568137254901962,0.0,0.007821041117689522,0.0,92.60032044153365,0.10935875993080608,0.10622146238094793,1.861435037437365,31.418771437656734,0.15744785733493946,536.8886966009002,68931.68294158952,90.20356850975774,60578.007631587,0.008414467785362402,0.08206385530768816,0.21894859929218186,0.22167865218129967,0.1488119721019468,0.22227149055436182
1,201,67.2701,7.79483,32,5.84752,0,106,131,8,125,6,0.9864,60.772,0.0,0.0,3.92857,4.013,7.25496,0.0,0.0,126.0,59.95986,0.00022,0.3,1.483,-1.0,6.71223,161.72353904177348,0.272179701845481,0.8571490196078433,1.2065007716049383,0.006336544221926888,2.654501845465982,93.45397910567999,0.10869624867375002,0.10593804744546464,1.8548475603661074,31.551735772026912,0.15526361483791276,536.5795868369026,68825.49260229111,90.20809967890231,60569.462779123285,0.006793754469683243,0.0689709398223972,0.2182829291779287,0.22207673915234832,0.14720736845925764,0.22227149055437098
2,202,67.2908,6.93471,32,5.46577,0,106,131,8,125,6,0.9864,60.78799,0.0,0.0,4.14286,3.989,6.67774,0.0,0.0,126.0,59.93559,0.00019,0.29,1.335,-1.0,6.784823,160.07169536467492,0.2713123999032241,0.8571490196078433,0.8742283950617284,0.006023123597558552,2.579031071297534,91.55205654592557,0.10612451486054174,0.10555061736807725,1.8649865393287608,31.443712210949553,0.15451351112598255,535.396036364533,68894.4122715614,90.20465029277466,60698.173623555835,0.006346280706711477,0.06551211121427374,0.218046534403387,0.2211975330893291,0.14618955962187824,0.22227149055436188
3,203,67.3054,6.36917,32,5.31141,0,106,131,8,125,6,0.98196,60.80937,0.0,0.0,3.64286,3.987,5.9373,0.0,0.0,126.0,59.84446,0.00023,0.3,1.506,-1.0,6.664157,161.33850046524552,0.2703123996083155,0.856270980392157,0.6334394290123457,0.0057068519212236345,2.5141514340086144,92.43578391100088,0.10371130510309327,0.10547536944219957,1.8181828326495133,31.65136530369888,0.15430074107097244,534.7744957920228,68908.34238664771,90.1630826811184,60552.38293610043,0.006094539242388161,0.06337489664066599,0.21767554774983142,0.22104662834482736,0.14608296824173825,0.22448911659758955
4,204,67.2973,5.74671,32,4.88682,0,106,131,8,125,6,0.98021,60.8012,0.0,0.0,4.07143,3.986,5.45038,0.0,0.0,126.0,59.72158,0.00022,0.29,1.42,-1.0,6.749568,160.0916915403799,0.26992458774840816,0.8554823529411766,0.4783950617283951,0.005589159568007187,2.448219937872725,93.64927197877007,0.10270919617408023,0.10517567910520324,1.9471074679968725,31.506347091109667,0.1539252083323496,533.9018409009558,68902.93651596409,90.17598395505212,60487.785770693175,0.0058642415781004695,0.06189467417626374,0.21751333470193243,0.22098242998303458,0.14574508915176304,0.22227149055436338
5,205,67.3826,4.76554,32,4.7945,0,106,131,8,125,6,0.98613,60.89758,0.0,0.0,3.75,3.982,4.91894,0.0,0.0,126.0,59.69654,0.00021,0.29,1.577,-1.0,6.618889,161.21399567633293,0.26974077534614893,0.8560031372549021,0.3779417438271605,0.005647739745458464,2.4009108501226417,93.33813427299174,0.10304762239341274,0.10515068650936775,1.8553310476039768,31.696476877471547,0.15374168604179564,533.3277825052796,69017.42852843906,90.1443970208045,60637.070527968805,0.005822925680985295,0.0612531782140257,0.2173460554004682,0.22096133155743647,0.14591286352655164,0.22448911659759244
6,206,67.3466,3.56578,32,4.30711,0,106,131,8,125,6,0.98718,60.86668,0.0,0.0,4.07143,3.999,4.06524,0.0,0.0,126.0,59.63683,0.00023,0.29,1.432,-1.0,6.615088,160.70250829291626,0.26960868107067704,0.8547015686274511,0.3005883487654321,0.0055483999002172825,2.337272324192941,93.90490487676898,0.10280966728306493,0.10508889719050665,1.8486430884847616,31.671110553505983,0.1537431861610001,532.667488824481,68989.2629963438,90.14085821508245,60559.26882460319,0.005801391627549871,0.06158466537951802,0.21697889418767027,0.22094778721561917,0.14615045870028984,0.22448911659759152
7,207,67.4449,2.84807,32,4.29698,0,106,131,8,125,6,0.98263,60.95441,0.0,0.0,4.5,3.988,3.02721,0.0,0.0,126.0,59.6862,0.00021,0.29,1.439,-1.0,6.585852,161.27650606578771,0.26960020896936937,0.8554227450980394,0.22501929012345678,0.00557690052430733,2.310164820291743,93.33593644790862,0.1025630158260241,0.10504095074145268,1.9008550296774636,31.73649823224103,0.1534718026335713,532.3041409459337,69009.94948854673,90.1553511320377,60772.00608629264,0.005823516467629444,0.06193808479478273,0.2171452663866292,0.22104228128708311,0.14671246286901307,0.22448911659759233
8,208,67.4529,2.72628,32,4.07617,0,106,131,8,125,6,0.98033,60.97442,0.0,0.0,3.67857,3.995,2.39932,0.0,0.0,126.0,59.69248,0.00022,0.29,1.538,0.43634,6.571277,160.96853766794072,0.26979005508726794,0.8543286274509805,0.18933256172839505,0.0056229146471741915,2.2553752023201685,93.01712776881965,0.10278093023888436,0.10505541282189099,1.938646206240988,31.66295463656202,0.15339979243703095,531.8897624064226,69035.89285436392,90.12651906331611,60774.20620584493,0.005861295994146855,0.06399261812678078,0.21810694343816092,0.2208930655165492,0.14692695170703118,0.22448911659759233
9,209,67.5183,2.71859,33,3.96141,0,106,131,8,125,6,0.97607,61.02663,0.0,0.0,4.25,3.994,2.29266,0.0,0.0,126.0,59.76476,0.00018,0.29,1.345,-1.0,6.530348,160.72388609224518,0.269628598536405,0.8554227450980394,0.17433449074074073,0.005608437949149028,2.225620304132923,93.73377346928949,0.10317752730076937,0.10526606445309085,2.000911291879064,31.683582070433065,0.1533781838204324,531.6946061895859,69002.46927122648,90.12612909811116,60859.922540757834,0.005817299626328164,0.06703604126032249,0.21951498395680394,0.22098567965642804,0.14739756629386935,0.2244891165975922
