,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,temporal,noise,cubrow.0.5,color_fulness,staticness,movement,cubcol.0,cubrow.0.3,blockiness,saturation,cubrow.0.6,cubrow.1.0,cubcol.0.3,tone,cubcol.0.5,blur,cubcol.1.0,contrast,cubcol.0.6,uhdhdsim,fft,cubrow.0
0,0,48.2629,2.78103,24,0.0,0,115,133,6,125,5,0.98829,43.98315,0.0,0.0,3.82143,5.008,0.0,0.0,0.0,126.0,54.94916,9e-05,0.0,1.051,0.0,8.339949,0.0,0.21621282353206672,0.25265365519954386,162.20094519035752,608.6239300697703,0.0,0.008171610389743535,0.21843901316156855,2.2502704771649933,33.79683619369695,0.13442944851889269,0.18386846151475394,0.03187450503594341,0.7742305882352942,0.13018158368467203,20864.856119892134,0.009907727662164481,87.70008811581882,0.12649080507972846,93.00061949598641,65522.527518165596,0.10458083914748496
1,1,47.3515,2.77031,24,5.38012,0,115,133,6,125,5,0.98206,43.21007,0.0,0.0,4.32143,5.218,2.33921,0.0,0.0,127.0,54.97609,0.00014,0.0,1.001,-1.0,8.275586,2.345099131590304,0.21621282353206736,0.24715077344507308,161.69569313826753,609.0667666959354,0.15625,0.007579092967347887,0.21261691215728373,2.0085334611948045,33.845018363293306,0.12860042087670312,0.17419294216712236,0.027737555246571736,0.7736949019607843,0.13121993852046415,19027.242120990373,0.0074801412705592105,88.81604873208155,0.12421205683943665,93.36517761847473,64998.83453554373,0.1034786550350628
2,2,46.3509,2.90377,23,4.88325,0,115,133,6,125,5,0.98253,42.34417,0.0,0.0,3.53571,5.393,2.32859,0.0,0.0,127.0,54.91732,0.0001,0.0,1.043,-1.0,8.281458,2.383361492700348,0.21621282353206703,0.2433682039245128,161.82268857001947,608.6299933808491,0.13773148148148148,0.006951951325488656,0.20847012335448267,1.6619350013335261,33.78294297206549,0.1261762542404668,0.17252731127342855,0.02772791595790121,0.7725560784313726,0.13373952047970086,17581.62649108344,0.007596509302696133,91.48937001519437,0.12243731947336745,93.59749929051915,64785.23407962684,0.10051771461375751
3,3,47.1587,2.89499,24,4.79918,0,115,133,6,125,5,0.98117,43.04895,0.0,0.0,3.57143,5.235,2.44769,0.0,0.0,127.0,54.96751,8e-05,0.0,1.005,-1.0,8.341503,2.411494538498443,0.21621282353206742,0.24339535503620932,161.47903941020078,608.8441091590371,0.16671489197530864,0.007069224540431553,0.2076446549816752,2.2227673320803625,33.859777568299094,0.12494740961920203,0.17407934978856918,0.027442309489058906,0.7728019607843137,0.13941079005657245,19038.888016187295,0.006888625784472448,89.75979918798546,0.12280556101840451,93.42150411964717,65317.19980214848,0.10036248678248842
4,4,48.6638,2.82494,24,5.95095,0,115,133,6,125,5,0.9847,44.35721,0.0,0.0,3.03571,4.979,2.44097,0.0,0.0,127.0,54.97359,0.00013,0.0,1.042,-1.0,8.338464,2.422597355104403,0.21621282353206808,0.24392010849835913,161.5472539704637,608.69913685306,0.1857156635802469,0.006530948701720796,0.2082180277450274,2.685706424772512,33.86758648907697,0.12578657359462797,0.17542006981630817,0.027416468742929495,0.7730917647058825,0.14030677753791979,21218.4857696973,0.0067588908355433255,89.08813382918377,0.12354909677621163,92.98918044599316,65642.72933941484,0.10147107784908568
5,5,47.7836,2.90578,24,5.31841,0,115,133,6,125,5,0.98602,43.62563,0.0,0.0,3.82143,5.179,2.38378,0.0,0.0,127.0,54.97293,0.00011,0.0,1.021,-1.0,8.251579,2.4257730063833143,0.21621282353206686,0.24357269220822086,161.449653453484,608.7971313969393,0.1437596450617284,0.006539254554078045,0.20887176129761129,2.66267884031932,33.82001900378568,0.12531994840605168,0.17582540657916726,0.027145475580761316,0.7725560784313726,0.14009668820681748,19576.509921955265,0.006683559895443205,88.64146361324003,0.123809873404454,93.23778672200903,65166.73761747658,0.10185508986925582
6,6,47.2508,2.99666,24,4.26974,0,115,133,6,125,5,0.99519,43.17571,0.0,0.0,4.10714,5.267,2.45153,0.0,0.0,127.0,54.94153,0.00012,0.0,0.963,-1.0,8.276112,2.3867055389124374,0.21621282353206894,0.24285602051455876,161.53166380306402,608.7392870825375,0.19241898148148148,0.006465561476185366,0.20813506685803976,2.7504219373674488,33.916484503098474,0.1251527338429435,0.1757019799632224,0.02704417220724391,0.7725490196078433,0.1396493630572931,18757.495118998177,0.006515444102675119,86.6175136952316,0.12344409357783562,93.28954766965302,65106.06796879034,0.10176968089692706
7,7,47.8819,3.05501,24,4.89856,0,115,133,6,125,5,0.98868,43.7034,0.0,0.0,4.0,5.125,2.53174,0.0,0.0,127.0,54.97337,0.00015,0.0,0.944,-1.0,8.254271,2.4001263871685414,0.21621282353206764,0.24314046265935552,161.6656173292562,608.8009145083864,0.22984182098765432,0.0063502897755944,0.20859019694294995,2.8930082668530193,33.76758490668403,0.12459494531393031,0.17506973177199123,0.02683613391800451,0.7714925490196078,0.14009845899542533,20049.6015146412,0.00651940112266012,92.32622778078843,0.1234201608951442,93.27565627589931,65396.95349565476,0.10148617135559371
8,8,49.0718,3.24011,24,5.51462,0,115,133,6,125,5,0.98353,44.73306,0.0,0.0,3.14286,4.992,2.5805,0.0,0.0,127.0,54.99009,0.00013,0.0,1.023,0.4811,8.229762,2.411253616020431,0.2162128235320675,0.24386565257673484,161.7658654839478,608.7632563710432,0.22280092592592593,0.006201412402567416,0.20944950816492242,2.606601327393589,33.86194733042776,0.12438192579556151,0.17437570483156692,0.026482263505839904,0.7725560784313726,0.14090797579424658,21794.144312071083,0.006517787915511799,90.54535306279253,0.12377798463248522,92.96426475132978,65646.5613372483,0.10202403107575045
9,9,48.2222,3.24829,24,5.507,0,115,133,6,125,5,0.98977,44.01793,0.0,0.0,4.10714,5.13,2.74718,0.0,0.0,127.0,54.99909,0.00012,0.0,0.961,-1.0,8.353527,2.459719346674188,0.2162128235320675,0.2436392115487889,161.53668934403242,608.7926455883626,0.28192515432098764,0.006157711984545022,0.2093928958525899,2.562139589897152,33.77163055796682,0.12403414809279469,0.17297298527028146,0.02638252443973957,0.77144,0.14208440859583882,20041.935044902573,0.006532937913087779,89.16769968877477,0.12473534263829539,93.18846391893084,65179.85827246371,0.10232886359989904
