,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,fft,cubcol.0.3,contrast,tone,blockiness,cubrow.0.3,temporal,uhdhdsim,cubrow.0.6,saturation,cubcol.0,color_fulness,cubcol.1.0,blur,cubrow.1.0,cubrow.0.5,cubrow.0,noise,staticness,cubcol.0.6,cubcol.0.5,movement
0,500,48.1012,4.57152,31,0.0,0,117,133,8,125,7,0.99445,47.07231,0.0,0.0,2.14286,5.422,0.0,0.0,0.0,129.0,54.39487,6e-05,0.73,1.032,0.0,0.0,65624.79281542766,0.07604168040142825,89.8657854646759,0.7585443137254901,2.377196898785893,0.21548627897558872,0.0,92.10481894816382,0.16239100102104037,33.91886826503424,0.030586359562169273,162.79809252514693,0.03724989054360101,19870.565030861515,0.17098018136536397,0.24760748075799863,0.11042353930484658,0.5454819128308485,623.0316857044439,0.15529840870834608,0.14762332567688624,0.0
1,501,48.0507,4.5931,32,5.00539,0,117,133,9,125,7,0.99266,47.0029,0.0,0.0,3.0,5.403,3.89063,0.0,0.0,129.0,54.40286,5e-05,0.73,1.027,-1.0,0.0,65669.05388742663,0.07063604522254785,91.82295061732076,0.7585678431372549,2.2910660398232987,0.2140754569415267,3.360041750036091,92.08633290913733,0.15679696280884534,33.89676600326727,0.024200102415906522,162.80172416968617,0.030168956536728873,19936.72814945621,0.1640011003129495,0.24633918565007543,0.1074678065375029,0.5454819128308482,623.2008142910129,0.15402234366502468,0.14539019052502278,0.5173611111111112
2,502,47.9805,4.72848,32,5.38284,0,117,133,9,125,7,0.98427,46.90406,0.0,0.0,2.14286,5.417,3.90513,0.0,0.0,129.0,54.37889,7e-05,0.73,1.053,-1.0,0.0,65655.58598938605,0.0690969564518999,89.40060246048728,0.757778431372549,2.342914425061823,0.21340012917943,3.5249121900819125,92.103105470283,0.15572729723155554,33.909349794741026,0.022910827081821364,162.76217585510992,0.028508479341852487,19860.6965765416,0.15998691317336525,0.24525020467568026,0.10712453819165554,0.5454819128308497,623.1732759212707,0.15366124436234208,0.1488657611655887,0.5076678240740741
3,503,48.0143,4.98083,32,5.21972,0,117,133,9,125,7,0.99003,46.90298,0.0,0.0,2.10714,5.46,4.02645,0.0,0.0,129.0,54.39825,7e-05,0.73,1.038,-1.0,0.0,65676.81685740782,0.06741123157382604,88.18390031822855,0.757778431372549,2.187691509351167,0.21353508573472754,3.616129547964869,92.06036779296693,0.15461016874517494,33.97107216163918,0.022381174610014792,162.79760121378024,0.027002449615728116,19882.603544823603,0.15955151692127306,0.24472479176052514,0.10646221005796991,0.5454819128308536,623.3515399002498,0.15372874689723265,0.15163355840715498,0.5575810185185185
4,504,48.0257,4.88595,32,5.17612,0,117,133,9,125,7,0.99169,46.91043,0.0,0.0,2.10714,5.393,4.24189,0.0,0.0,129.0,54.38793,6e-05,0.73,1.031,-1.0,0.0,65643.03493760581,0.06701154865634129,86.40710588399476,0.7571682352941176,2.132649675703301,0.2133580079375352,3.6371564074497935,92.05894397124204,0.15428547563968315,33.96083332579813,0.021770736417144484,162.8115618839579,0.026539779006930806,19877.887905042153,0.15925040156473222,0.244580489679177,0.10681918700998208,0.5476995388740782,623.3984821569983,0.15368125037222774,0.15062346542879812,0.8165509259259259
5,505,48.0868,4.73409,32,5.33788,0,117,133,9,125,7,0.99247,46.98377,0.0,0.0,2.07143,5.413,4.16449,0.0,0.0,129.0,54.42105,7e-05,0.73,1.03,-1.0,0.0,65597.15104916782,0.06771499885525574,91.35920811588734,0.7563407843137254,2.597081533976459,0.21333536155090746,3.583053952107614,92.02559482299353,0.15429742339686414,33.933251274956596,0.021218768659387065,162.7857727825644,0.025865090663907835,19832.769073205836,0.15939544611225667,0.24467408459605797,0.10659846956641307,0.5454819128308565,623.5358946277267,0.15358508150615663,0.14751904145690517,0.7344714506172839
6,506,48.0868,4.78947,32,5.34956,0,117,133,9,125,7,0.98576,46.99627,0.0,0.0,2.17857,5.43,4.02834,0.0,0.0,129.0,54.41174,5e-05,0.73,1.024,-1.0,0.0,65598.96338744402,0.06847506347917917,90.0724064005884,0.7552933333333333,2.5182788296143306,0.213033099320313,3.5679953419295356,92.02978284181555,0.1538326871352583,33.92906358506945,0.02082175227510975,162.75624497590292,0.025986428887780254,19828.302629349517,0.15924364958955137,0.24451910003342647,0.10647822775721544,0.54548191283085,623.568320953377,0.15348097311206163,0.14464521468548708,0.6733217592592593
7,507,48.187,4.7321,32,5.41626,0,117,133,9,125,7,0.98267,47.11185,0.0,0.0,2.42857,5.414,4.07928,0.0,0.0,129.0,54.47681,6e-05,0.73,1.001,-1.0,0.0,65527.432543599236,0.06864539193050603,92.3756074494875,0.755753725490196,2.6201146194618024,0.21287205989224403,3.552441806067177,92.00853843292364,0.1532185783013377,33.9631221441575,0.02067138448777592,162.74546046547766,0.02567406410006412,19831.008202284353,0.15923747844771077,0.2444499002338357,0.10626586223495858,0.5454819128308507,623.6668727245242,0.15330356747619556,0.14325375643806337,0.7153742283950617
8,508,48.2005,4.75324,32,5.16536,0,117,133,9,125,7,0.97905,47.13659,0.0,0.0,2.25,5.454,4.02836,0.0,0.0,129.0,54.46211,3e-05,0.73,1.029,0.125,0.0,65540.01417293567,0.06932517120807492,90.04475752495766,0.7551882352941176,2.3718416302261582,0.21259633167342634,3.531579748979959,92.03929840181324,0.1531166554545249,33.96570822633343,0.02035622092378762,162.76372528377698,0.025440336895984562,19856.08424927929,0.15924019579726303,0.24457829895305688,0.10609737816751447,0.5499171649172983,623.7607010585209,0.15320329800079538,0.14361627323878629,0.7574266975308642
9,509,48.3007,4.73373,32,4.97974,0,117,133,9,125,7,0.98403,47.22461,0.0,0.0,2.07143,5.455,4.04921,0.0,0.0,129.0,54.49798,4e-05,0.73,1.018,-1.0,0.0,65551.09060952933,0.07019776439926438,91.42538326480084,0.7552019607843137,2.2131625148533836,0.21232951902854816,3.4783983728842127,92.07463029559905,0.15327788158592248,33.929435824170525,0.02037185512462559,162.67690759105778,0.02534706545366233,19941.277613698785,0.15937620536499608,0.24470950453674348,0.10608243591485687,0.5454819128308528,623.9121773718724,0.15312349368752487,0.14566543786626152,0.7145543981481481
