,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,contrast,cubcol.0,cubcol.0.5,cubcol.0.6,fft,cubrow.0.5,temporal,cubrow.0,noise,movement,saturation,cubcol.1.0,cubrow.1.0,tone,cubrow.0.6,color_fulness,cubrow.0.3,uhdhdsim,blur,cubcol.0.3,staticness,blockiness
10,10,46.1225,3.06352,21,4.87151,0,115,133,5,125,5,1.00192,41.21947,0.0,0.0,2.39286,5.153,2.41731,0.0,0.0,127.0,54.84468,0.00021,0.29,0.978,-1.0,9.660045,88.68186519568513,0.006042397750689993,0.12692092060464655,0.12112569057286413,66763.83010159513,0.24877418661656767,1.9790895452810469,0.10131128737258713,0.18532527731319792,0.5516975308641975,33.73747178065924,0.006058027115169794,0.16754344744593988,0.768470980392157,0.11315050059820918,161.58893292579938,0.20204947990232533,92.78046884768645,20317.835287740752,0.010111742958050157,606.70966662253,2.060983696459301
11,11,47.0222,3.28983,21,5.40248,0,115,133,5,125,5,1.00206,41.98155,0.0,0.0,2.42857,5.019,2.59581,0.0,0.0,127.0,54.88583,0.00014,0.29,1.011,-1.0,9.60179,89.64130609924617,0.005950643150737716,0.12769888244591035,0.12281369823758294,67386.46436246729,0.2489714266349371,1.977997989912201,0.10110644867191056,0.1853252773131978,0.6284722222222222,33.697419154791184,0.005957056480272754,0.16695752603845262,0.7686345098039217,0.11300570125198767,161.4754892629885,0.20239083083319528,92.49177240973465,22145.712460548057,0.010038453621734538,606.720333537445,2.1625590760955338
12,12,48.5067,3.18747,22,6.05477,0,115,133,5,125,5,1.0011,43.2747,0.0,0.0,2.17857,4.848,2.78962,0.0,0.0,127.0,54.92136,0.00016,0.29,0.968,-1.0,9.551367,89.28822444688122,0.006025492507059812,0.12766278843356837,0.12466295017080375,67792.38311506332,0.24974324630417488,2.057086751398146,0.10139583163759537,0.18532527731320314,0.6691261574074074,33.768818231276526,0.005983890210263927,0.16610166358915435,0.7691552941176472,0.11281126715375309,161.614820038483,0.20350739664736328,92.0470210239811,24318.961804269024,0.010029350626574274,606.6064857048282,2.191520158141055
13,13,47.617,3.53473,22,5.73709,0,115,133,5,125,5,0.98754,42.52615,0.0,0.0,2.60714,4.966,2.70403,0.0,0.0,127.0,54.95591,0.00017,0.3,0.975,-1.0,9.633631,90.67698617564318,0.005972367975689181,0.1281559686470261,0.12673522371205934,66953.81131652722,0.24963143584984648,1.9931999641192604,0.10173697905523664,0.18532527731319634,0.5481770833333334,33.75562484176071,0.005991352530885441,0.1648411171264707,0.7686423529411766,0.11296912357263462,160.97509395100914,0.2043379665866074,92.41402753620002,22457.811310768102,0.010067500624935196,606.5549626179167,2.1580040675309964
14,14,46.8381,3.9004,21,4.88292,0,115,133,5,125,5,0.9941,41.85391,0.0,0.0,2.53571,5.104,3.0023,0.0,0.0,127.0,54.95088,0.00022,0.29,0.966,-1.0,9.658039,88.49274330259084,0.00599063357647065,0.12886968713227623,0.1282880421875909,66600.02299179453,0.24953084106243203,1.9830930837992315,0.10169134076289028,0.18532527731319814,0.5336612654320988,33.7567138671875,0.0059514721407449254,0.16371262498700076,0.7688576470588235,0.11256309956750514,160.95275408160558,0.20425734863365785,92.55105984814377,21238.56695115432,0.01006357154094869,606.3943236976085,2.1092699010415226
15,15,47.4863,3.73178,21,5.00885,0,115,133,5,125,5,0.99082,42.39978,0.0,0.0,2.53571,4.961,3.32289,0.0,0.0,127.0,55.00708,0.00028,0.29,1.041,-1.0,9.655171,91.55837670471726,0.005987607884464258,0.13092569917735444,0.12938297871415835,66934.94602379142,0.24948849998413056,1.9937450010902669,0.1016032665653041,0.1831076512699693,0.8967978395061729,33.72749761887538,0.006009132118646001,0.1630036578106445,0.7686423529411766,0.11244802869263736,161.13516190490938,0.20454698517178763,92.38593015752146,22418.84293357583,0.010050825653529152,606.3174344910175,2.2570750155922665
16,16,48.3327,3.78679,22,5.23448,0,115,133,5,125,5,0.97887,43.14276,0.0,0.0,2.35714,4.889,3.17317,0.0,0.0,127.0,55.05177,0.00024,0.29,0.96,0.49897,9.61682,90.35152396685974,0.006000220705443668,0.13185194228563202,0.13062185025148196,67199.5876487107,0.24994219763386635,1.9402166753151004,0.1017796762792171,0.18532527731320073,0.8988233024691358,33.734210167402104,0.005997387670631694,0.1620523414124644,0.7694082352941177,0.11266171310802302,161.10904455294454,0.20517653322576063,92.15683309879536,23579.611283934824,0.0100599227280388,606.183958430707,2.2117780162741347
17,17,47.7014,3.76903,22,5.0707,0,115,133,5,125,5,0.96976,42.61469,0.0,0.0,2.5,4.945,3.22785,0.0,0.0,127.0,55.0959,0.00022,0.29,1.015,-1.0,9.627686,92.53995076464453,0.005980871601630774,0.13263875667062425,0.13181827160420112,66681.82482646091,0.2499569641115262,1.9389709669032764,0.10192806704207051,0.18532527731319928,0.8371913580246914,33.650533040364586,0.005986906009091783,0.1611154689580078,0.7686617843137256,0.11245269835349385,161.58098003002,0.2053351568241139,92.35158412522117,22215.670405090434,0.010123841478012484,606.1424330611297,2.3756009210362303
18,18,47.0781,3.43608,21,4.51988,0,115,133,5,125,5,0.98083,42.08408,0.0,0.0,2.53571,5.068,3.20401,0.0,0.0,127.0,55.10958,0.00024,0.29,0.94,-1.0,9.60619,88.88183186111279,0.005973295644588301,0.13323106494322395,0.13262138458833772,66530.28784864116,0.2500107952480058,1.870997485511988,0.10186019660034454,0.185325277313201,0.7733410493827161,33.68779782895689,0.0059205094903680535,0.15918315780815342,0.7689250980392157,0.11219415364925325,161.36716083963992,0.20539313965433473,92.51525206384441,21290.798128703165,0.010187192112633654,606.0352561011289,2.230324016795861
19,19,47.702,3.26129,22,4.94575,0,116,133,5,125,5,0.99146,42.5982,0.0,0.0,2.57143,4.92,2.92017,0.0,0.0,127.0,55.17854,0.00019,0.29,0.999,-1.0,9.576912,90.51620695929387,0.0059423385998967375,0.1329095979861254,0.13346876288533285,66925.81199325225,0.2502860307919873,1.8091130373738078,0.10187045471499147,0.18310765126996661,0.6474729938271605,33.613657445083426,0.005884418891925688,0.15645084015972455,0.7687474509803922,0.11239313029837453,161.72834391115876,0.2057551665979484,92.32678527880752,22501.394652687224,0.010148934830532773,606.0152649434895,2.165519872267447
20,20,48.5563,2.82839,22,4.73361,0,115,133,5,125,5,0.99294,43.34273,0.0,0.0,2.67857,4.875,2.7635,0.0,0.0,127.0,55.21492,0.00025,0.29,0.972,-1.0,9.688519,93.1423915833461,0.005951107422204964,0.13274372522493122,0.1343171842854378,67274.53497426702,0.2507627014876005,1.81130636870654,0.10185348869351807,0.18443396065209958,0.90234375,33.73461480788243,0.005870989813499986,0.1544397806758967,0.769207843137255,0.11234165047040945,161.7254614344099,0.20604404291600592,92.06926325773333,23905.64971257105,0.010131582351716328,605.9499709567497,2.322604528724961
21,21,48.2167,2.27717,22,4.11043,0,116,133,5,125,5,0.99927,43.06913,0.0,0.0,2.53571,4.905,2.3915,0.0,0.0,127.0,55.199,0.00021,0.29,0.999,-1.0,9.648956,88.65233257779312,0.005883456419915969,0.1331059826607891,0.13505468328909156,67065.06360313327,0.2509043205634937,1.7987024501332138,0.10203242882317659,0.1831076512699704,0.7430555555555556,33.67307950243538,0.005822060540984429,0.15263250037472778,0.7674886274509805,0.11245385209093758,161.50579731345707,0.2063466177176116,92.20618232420631,23057.15689608972,0.010115783270520557,605.9532252222043,2.3065877704678033
22,22,47.7623,2.16944,22,3.86059,0,116,133,5,125,5,0.9945,42.68149,0.0,0.0,2.67857,4.863,1.9035,0.0,0.0,127.0,55.18122,0.00029,0.29,0.955,-1.0,9.517297,89.96658382505261,0.005848904198664504,0.13368149660456655,0.13572298678045894,67028.93762026189,0.2510828031413534,1.7770178406874253,0.10201291093086011,0.18532527731320114,0.6245659722222222,33.65886132511092,0.00585416376795171,0.15105119930203065,0.7674886274509805,0.11248598990934089,161.61812286679987,0.20650523420364095,92.27510145397723,22385.01994974066,0.010091788489377404,605.9051087807578,2.4116992527183845
23,23,48.1729,1.96495,22,4.24869,0,116,133,5,125,5,0.99024,43.02082,0.0,0.0,2.64286,4.907,1.81005,0.0,0.0,127.0,55.19454,0.00022,0.29,1.023,-1.0,9.609372,90.4878781414722,0.005873009358958117,0.13424776112873843,0.1362924141607848,67415.44102475578,0.25132079469119883,1.754878607249837,0.10207133062814046,0.1792666102909076,0.5651041666666666,33.745532565646705,0.005826048176706895,0.14971266575289832,0.7674886274509805,0.11241857825192984,161.28341777007654,0.20681728760768858,92.18221817923285,23302.61132711378,0.010087955437498063,605.9162849187985,2.385154484704515
24,24,49.0204,2.05716,22,4.5759,0,116,133,5,125,5,0.98598,43.75529,0.0,0.0,2.53571,4.798,1.62709,0.0,0.0,127.0,55.16886,0.00018,0.29,0.983,0.50231,9.603214,91.03173777443779,0.0058700718246782815,0.13451227024101622,0.13692202706526005,67638.77024259476,0.2517822082197345,1.762003357558471,0.10226037597042348,0.17926661029090862,0.5277777777777778,33.70117771478347,0.005838109770336209,0.14843135421788228,0.7675262745098039,0.11275951574798421,161.57118267366957,0.2072118843147212,91.96708549681088,24598.567629219706,0.010057231096163272,605.8831302941084,2.4759528096750842
25,25,48.3521,2.03481,22,4.89997,0,116,133,5,125,5,0.98674,43.18515,0.0,0.0,3.17857,4.873,1.71216,0.0,0.0,127.0,55.15787,0.00025,0.29,1.027,-1.0,9.602962,87.68078112942545,0.005833127107363665,0.1348042993841246,0.1376145914033373,67183.61581561039,0.25194177534637807,1.82850202532997,0.10239527633310118,0.1853252773131999,0.7044270833333334,33.764666145230514,0.00585751913872915,0.14750189581753323,0.767258431372549,0.11315894362179181,161.21670640116366,0.20747205289926288,92.18111571727447,23239.868381557615,0.010065593072829417,605.9128079677042,2.4259169985016187
26,26,47.6851,2.17432,22,4.31106,0,116,133,5,125,5,0.99161,42.5921,0.0,0.0,2.57143,4.938,1.6882,0.0,0.0,127.0,55.12338,0.00017,0.29,0.967,-1.0,9.579229,90.70118925140099,0.005832867637335995,0.1352510684582558,0.13822811937066434,67036.98194220253,0.2519779129677795,1.8020808356508773,0.10229770493282121,0.1853252773131974,0.8121141975308642,33.76833390600888,0.005828640025932766,0.14745980449972684,0.7674886274509805,0.11337052997309356,161.0518579097826,0.20755480952032063,92.31577840135509,22245.51783671804,0.010086273770361392,605.8974997575492,2.653041737934332
27,27,48.2634,1.85304,22,5.04785,0,116,133,5,125,5,0.99861,43.06192,0.0,0.0,2.57143,4.906,1.81519,0.0,0.0,127.0,55.14406,0.00019,0.29,0.92,-1.0,9.614256,91.56438947811925,0.0057939383989541295,0.13540300017940265,0.13877369669904885,67515.13468030348,0.25227742574602857,1.836464865484906,0.10232829857556196,0.1770489842476813,0.9657118055555556,33.74852498372396,0.005834146727454072,0.14820793594433235,0.7675262745098039,0.11363895208867208,161.45713047305185,0.2077584506027435,92.16527583305295,23542.360935441553,0.010099677620688629,605.9144155744121,2.4742933207492372
28,28,49.1471,1.91945,22,4.2936,0,116,133,5,125,5,0.99757,43.84046,0.0,0.0,3.03571,4.807,1.52798,0.0,0.0,127.0,55.17128,0.00017,0.29,0.985,-1.0,9.556922,93.42900631816363,0.0058318613175774685,0.1358237660584317,0.1393551924522547,67667.65017427101,0.252725754786708,1.7144724642762033,0.10243109706327691,0.1831076512699649,1.0520833333333333,33.71593258704668,0.005828710823983184,0.14844897244953661,0.7691929411764706,0.11414180359435327,161.40741321274695,0.20810545547712428,91.95382629212568,24920.850565843095,0.010098728082405382,605.9063704192164,2.374864502144049
29,29,48.6429,1.63536,22,4.08121,0,116,133,5,125,5,0.99388,43.41917,0.0,0.0,2.92857,4.841,1.59698,0.0,0.0,127.0,55.1748,0.0002,0.29,0.896,-1.0,9.595739,88.94509219476012,0.005889648148233834,0.13658504446192474,0.1397883779635075,67307.83193263497,0.2529539147320517,1.7611321962460174,0.10256470013828753,0.18148423633414182,1.0188078703703705,33.77237578968943,0.0058244442328481685,0.1483735286730637,0.7691929411764706,0.11460795356421408,161.750347561388,0.20841545910499057,92.12030117894949,23740.287870838845,0.010108177791514399,605.9410390098591,2.422885346994982
30,30,48.0919,1.75837,22,3.46168,0,116,133,5,125,5,0.99387,42.94294,0.0,0.0,2.64286,4.885,1.33402,0.0,0.0,127.0,55.172,0.00019,0.29,1.02,-1.0,9.394284,90.44548449769968,0.005876052812654763,0.13726950103845661,0.1402370909146482,67236.16149288962,0.25310945345936464,1.6510181654089358,0.10266021643913106,0.1875429033564305,1.1457368827160495,33.81033061463155,0.005787745057349229,0.14869776361111467,0.7691929411764706,0.11499913314934275,161.46625539805078,0.20851318987572548,92.19839018278324,22964.707294843047,0.010136037068047284,605.9470386713157,2.5388545422009274
31,31,48.4411,1.81431,22,3.80038,0,116,133,5,125,5,0.99368,43.22403,0.0,0.0,3.03571,4.847,1.44734,0.0,0.0,127.0,55.19929,0.00016,0.29,0.954,-1.0,9.614429,91.43108322985432,0.005861364878265916,0.13779388202694648,0.14063968616139863,67367.09954147815,0.25334052896298453,1.663237454017466,0.10265450295460728,0.17704898424767967,1.1186342592592593,33.82125025619695,0.005816922848269823,0.14923530989242376,0.7691929411764706,0.11527369453158304,161.61146130571495,0.20873644692211743,92.12095992335838,23767.486429016575,0.010156158694142148,605.9816654985524,2.3587998196329156
32,32,49.1678,1.91819,22,3.81694,0,116,133,5,125,5,0.99058,43.86021,0.0,0.0,2.67857,4.791,1.49658,0.0,0.0,127.0,55.21792,0.00021,0.29,0.988,0.5144,9.637143,89.77193432156815,0.005841319966737582,0.1381869745454658,0.1410151737497985,67629.32943714032,0.25360053974075514,1.6894047415926232,0.10277609280436159,0.17926661029090674,1.0032310956790123,33.90545673134886,0.005801863466745333,0.1492864934092228,0.7692078431372549,0.11550864921646223,161.31322983980874,0.20905988933049313,91.95465515931973,24880.759229260988,0.010142154585193727,605.989146777369,2.2018073024294074
33,33,48.6467,2.12635,22,4.35915,0,116,133,5,125,5,0.98827,43.42911,0.0,0.0,2.53571,4.832,1.59237,0.0,0.0,127.0,55.22829,0.00019,0.3,1.036,-1.0,9.539529,89.91777410993112,0.005826092933933095,0.13851305529485308,0.14139508008775875,67277.17991462925,0.2537651127149259,1.716875474235951,0.10289770407933835,0.18310765126997067,0.8004436728395061,33.81422895266686,0.00577938272197673,0.1487529188802963,0.7686274509803922,0.1157185663349461,161.5423636333968,0.20928841725660127,92.15101715785167,23709.402126883877,0.010116588232577333,606.041900602069,2.491351088983553
34,34,47.8735,2.41042,22,4.42203,0,116,133,5,125,5,0.98697,42.75821,0.0,0.0,2.5,4.93,1.76985,0.0,0.0,127.0,55.19192,0.00022,0.29,1.005,-1.0,9.597828,90.08102756746771,0.0058021546853962245,0.13875083008886496,0.14171303221019926,67101.84120279369,0.2538111230549362,1.7197572805970809,0.10288375732135008,0.17926661029090632,0.6879822530864198,33.83269528989439,0.005810343107465612,0.14741578900937694,0.7686274509803922,0.11594695363997085,161.7424070280205,0.20932368339142113,92.29669070552862,22644.68362819591,0.010129068316778856,606.0574730129224,2.4490701374009873
35,35,48.4075,2.40219,22,4.92353,0,116,133,5,125,5,0.98343,43.17596,0.0,0.0,2.60714,4.903,2.02169,0.0,0.0,127.0,55.25257,0.00023,0.29,0.998,-1.0,9.664193,90.59426549790481,0.005836410514310299,0.13874261864846327,0.14204719453333323,67382.39556547464,0.2539519686729704,1.8144811880365923,0.10293029190710327,0.17483135820445472,0.6577449845679012,33.82627906328366,0.005785202192433083,0.14638066765109456,0.7686274509803922,0.11628713204113811,161.47232320029144,0.2094881399659809,92.1517222366769,23745.043267560213,0.01009908158529074,606.1137327975644,2.3651254000768724
36,36,49.0984,2.45264,22,4.14499,0,116,133,5,125,5,0.97775,43.76972,0.0,0.0,2.64286,4.88,2.01931,0.0,0.0,127.0,55.25507,0.00022,0.29,1.009,-1.0,9.64018,88.74833349241162,0.005797147579912709,0.13882655616762948,0.14252250360359292,67669.83714237915,0.25414727900201384,1.822878747401027,0.10304564111101716,0.17320794326861663,0.5594135802469136,33.77224712607301,0.005796838319382037,0.14534808354023565,0.7691929411764706,0.11673566234868327,161.4993108171013,0.20970546183614136,91.96324914625438,24865.161758906266,0.010076898146772009,606.1589577580326,2.347098014739843
37,37,48.6132,2.58517,22,4.37279,0,116,133,5,125,5,0.97354,43.36126,0.0,0.0,2.57143,4.853,2.06297,0.0,0.0,127.0,55.2725,0.00022,0.29,0.994,-1.0,9.718333,89.12499195229856,0.005839296131614255,0.1392281767791065,0.1428888667041274,67255.344048647,0.2542775697788954,1.884729045540202,0.10309219401437625,0.1748313582044451,0.6380690586419753,33.781101368091726,0.0057947373549335065,0.14432302187395907,0.7686274509803922,0.11697325719439342,161.49265696529613,0.20987100153678084,92.15727202387203,23766.971631677185,0.010059171919644954,606.2357622395016,2.34809756924938
38,38,47.9311,2.54114,22,4.32219,0,116,133,5,125,5,0.97468,42.77422,0.0,0.0,2.60714,4.929,2.17513,0.0,0.0,127.0,55.23128,0.0002,0.29,0.976,-1.0,9.57765,90.07851011921602,0.005795745658448228,0.13967574865451307,0.1432565490489378,67177.38715515271,0.2543442286970686,1.9782358516161165,0.10307702405183912,0.17926661029090574,0.9311824845679012,33.79714702088156,0.005799274111216441,0.1434692510637882,0.7686274509803922,0.11711341494304066,161.53398361755552,0.2097857650939067,92.32514172343664,22730.538256108008,0.010051065118039404,606.2958429028542,2.3971289966907925
39,39,48.2634,2.60969,22,3.97034,0,116,133,5,125,5,0.98589,43.04286,0.0,0.0,2.85714,4.906,2.1363,0.0,0.0,127.0,55.24679,0.00029,0.29,0.948,-1.0,9.594036,91.96984859174907,0.005817854403501391,0.13960066224521664,0.14352684393535,67404.62825385724,0.25445492058925306,1.921024509446733,0.10306314739505808,0.17704898424767332,1.1877411265432098,33.76283019266011,0.0057747896984955945,0.14243685172543483,0.7680541176470588,0.11731531263777967,161.3791229698615,0.20981247008413476,92.18387415018653,23531.94222993108,0.01002502351681505,606.382172016779,2.3072145599551734
40,40,48.98,2.59888,22,4.65128,0,116,133,5,125,5,0.98433,43.6589,0.0,0.0,2.89286,4.818,2.20085,0.0,0.0,127.0,55.24853,0.00022,0.29,0.981,0.51646,9.558042,84.23058039828771,0.005800141580709613,0.13936879182047557,0.14377200299772813,67573.4926362636,0.25466609397735,1.933706669266952,0.10314562948621207,0.1831076512699654,1.442949459876543,33.70429239155334,0.0057846544814299196,0.14144487118879415,0.7680541176470588,0.11759909381318345,161.25813499115964,0.20997492143083019,92.00873441979397,24684.705805992264,0.01001480252296033,606.4462424719756,2.3336146949532783
41,41,48.4158,2.70009,22,4.84845,0,116,133,5,125,5,0.97909,43.20409,0.0,0.0,3.10714,4.829,2.1884,0.0,0.0,127.0,55.25567,0.0002,0.29,0.979,-1.0,9.61094,88.97643804370101,0.005818186797941652,0.13905414789891135,0.14399665586239666,67153.59057008656,0.2547783082891688,1.8880227197734296,0.10318467819121983,0.1792666102909071,1.6381172839506173,33.75856055742429,0.005786573002097778,0.14031740436222875,0.7669529411764706,0.11786925914464229,161.374193656382,0.21004251909785,92.1708670050863,23385.29246036659,0.010019327321101716,606.5313814580403,2.3778426774657526
42,42,47.7455,2.8227,22,4.4546,0,116,133,5,125,5,0.98938,42.62768,0.0,0.0,3.21429,4.921,2.27756,0.0,0.0,127.0,55.21553,0.00017,0.29,1.059,-1.0,9.645686,89.99418328672351,0.005815166747358589,0.13904419420682912,0.14417950307234015,66999.53537043318,0.2547619736461376,1.9275027071204829,0.10315137210401992,0.17926661029090527,1.8579282407407407,33.75979670771846,0.005783211434442309,0.1392203251668819,0.7652713725490197,0.11806320552741094,161.36759693090005,0.21000506841496552,92.31045286810406,22322.426681561443,0.010018712198805764,606.5932167857931,2.51331177418037
43,43,48.1876,2.89444,22,4.41386,0,116,133,5,125,5,0.99673,42.97715,0.0,0.0,2.42857,4.908,2.38304,0.0,0.0,127.0,55.24776,0.00022,0.29,1.064,-1.0,9.596452,89.15693964643124,0.005803058798442832,0.13913710643415764,0.14430647568893787,67144.29584857347,0.25485200378760064,1.9188089376479178,0.10313895329607943,0.17704898424768026,2.097559799382716,33.76669386875482,0.0057809762024302325,0.1381629380591015,0.7647058823529411,0.11828193176315828,161.02500436708164,0.21001490214964816,92.1642622527545,23315.46426985788,0.009998456153052789,606.6745183633684,2.46801237933484
44,44,48.9279,3.06286,22,4.33309,0,116,132,5,125,5,0.99895,43.62835,0.0,0.0,2.5,4.803,2.44559,0.0,0.0,127.0,55.23324,0.00019,0.29,1.013,-1.0,9.666866,88.51681078159783,0.005801466669368495,0.1391860976264086,0.14453607362665918,67393.97794505976,0.2549601417907541,1.9247535967440124,0.10319102456690629,0.17483135820445564,2.1960358796296298,33.58441595383632,0.005789724078069722,0.1371395295795727,0.7641325490196078,0.11848822624271114,161.53821201976157,0.21011871521139486,91.95555529603263,24451.7323566929,0.009979377046111196,606.7338263724797,2.3080736789830443
