,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubrow.1.0,cubcol.0.5,cubrow.0.3,uhdhdsim,cubrow.0.6,temporal,noise,cubcol.0.6,fft,cubcol.0,cubrow.0.5,blur,contrast,color_fulness,cubcol.0.3,blockiness,staticness,saturation,tone,cubcol.1.0,movement,cubrow.0
0,400,46.6324,28.7548,31,0.0,0,111,123,8,130,7,0.99607,45.45774,0.0,0.0,4.21429,8.307,0.0,0.0,0.0,125.0,43.99673,0.00013,0.31,2.701,0.0,2.798823,0.06518752479170352,0.1717886133460533,0.11472843916991031,96.15039863896891,0.15017994980234925,0.0,0.32099279623325255,0.06738615734895137,64297.63724529031,0.16478298140432204,0.18783163902390274,14500.344644966814,87.4682391396245,94.40443307014512,0.16260566590987705,2.7128320660135716,370.79650063267906,31.730991504810476,0.7197156862745098,0.055405251633678244,0.0,0.06801966028076356
1,401,47.1846,29.142,31,34.3156,0,111,123,8,130,7,1.01171,45.96538,0.0,0.0,2.60714,8.196,24.68687,0.0,0.0,125.0,44.24101,0.00018,0.3,2.39,-1.0,2.825404,0.04807623243792119,0.16224965535808067,0.08701187444124733,96.03914063405637,0.10837970116080144,6.747804605543847,0.3232104222764813,0.05415223051557535,64485.23731097299,0.1572838627844861,0.13567075523243105,15155.4099624707,90.16373215280876,93.87273578697514,0.14869381100035992,2.331493297198161,362.2177657989103,31.719364119164737,0.7213909803921569,0.0558956794257248,21.88165509259259,0.047511073926202005
2,402,47.4182,29.2946,31,35.1213,0,111,123,8,130,7,1.00439,46.22613,0.0,0.0,3.78571,8.259,25.01323,0.0,0.0,125.0,44.50247,0.00022,0.31,2.427,-1.0,2.897922,0.04202277975199064,0.15715558847296457,0.07956344746795113,96.03572231315098,0.1028944656331314,6.739971187820784,0.32321042227647706,0.05132139133966196,64237.90770957999,0.13092488900707744,0.12259617596277426,15432.047530977316,87.71558652430514,93.67535961166436,0.1544106050972141,2.1208850896767215,355.1414952756051,31.71654877839265,0.7237192156862745,0.05506917411352101,19.439284336419753,0.04250545996414621
3,403,47.5455,30.8327,31,34.212,0,111,123,8,130,7,0.99397,46.40094,0.0,0.0,3.35714,8.304,25.15831,0.0,0.0,125.0,44.809,0.00014,0.3,2.798,-1.0,2.829594,0.039552273748357986,0.15586716372847564,0.07637149843885202,96.04901766020888,0.09812435019684969,6.7567061189936695,0.32321042227648217,0.051442355371733896,64143.15301311872,0.11830600261803814,0.11653954075649973,15523.975746943945,91.23580504832996,93.98145779503285,0.15293511712783728,1.9508903809400995,348.6840853463309,31.59581445764612,0.7307003921568628,0.056226540694733956,17.451340663580247,0.039715624047047315
4,404,47.5956,31.9415,32,36.293,0,112,123,8,130,7,0.9998,46.54213,0.0,0.0,4.35714,8.606,26.52685,0.0,0.0,125.0,45.31865,0.00018,0.3,2.706,-1.0,2.831438,0.038184092513622946,0.16304851986347688,0.07325721878026233,96.0542729720882,0.09700112990163173,6.793041700255451,0.3232104222764841,0.059232094660564345,64191.22219679253,0.11154923654830323,0.11222772481702296,15382.157925539106,91.3266166450483,93.2188586518062,0.15302754530024396,1.8520725750103646,342.87033229080316,31.538564422984184,0.7459619607843138,0.05748029504401372,16.296682098765434,0.03812224908904989
5,405,47.5289,31.6857,32,38.3673,0,112,123,8,130,7,1.00459,46.51381,0.0,0.0,3.82143,8.667,27.4485,0.0,0.0,125.0,46.26555,0.00013,0.3,2.9,-1.0,2.78426,0.038735233589078356,0.16238923449000342,0.07173167694856523,96.07210699986447,0.0946186860889263,6.828325923322894,0.3232104222764851,0.08669322475188417,64229.53802920604,0.11176570056029728,0.10686918493314028,15161.07178558379,90.65708601944488,93.2342764650066,0.15035454993096603,2.2759332963414236,337.5356464448538,31.247386225947626,0.7724864705882332,0.058679643089631806,15.475212191358025,0.03702991036960291
6,406,47.3595,31.2998,32,35.2923,0,113,123,8,130,7,0.99656,46.33223,0.0,0.0,3.71429,8.513,27.21351,0.0,0.0,125.0,47.22332,0.00021,0.3,2.583,-1.0,2.743281,0.03978930593615747,0.1617657453717878,0.07060680350004338,96.10411001636251,0.0936220475591824,6.825303206212797,0.323210422276484,0.09154437054725748,64066.94865106998,0.1220217397694076,0.10271495577621904,14735.154660683826,92.47771541105709,93.30695201288691,0.15420941974597283,2.1275127075550038,332.69796046264906,31.154755957332657,0.7913541176470589,0.05534350893023095,14.130931712962964,0.0363127562225754
7,407,47.3261,31.2359,32,35.0128,0,113,123,8,130,7,0.99488,46.2985,0.0,0.0,6.21429,8.523,26.89249,0.0,0.0,125.0,47.95581,0.00012,0.3,2.388,-1.0,2.772758,0.040891846030414604,0.16559829351296376,0.06987449605236977,96.10084354531743,0.09176286956247798,6.806257109059232,0.32321042227648394,0.1077707928155049,64105.56778672397,0.1253250570942722,0.09998149784304249,14586.568166833322,91.8076164983436,93.68744193971058,0.16063979106571813,2.7829046971655846,328.2052582115254,30.924282309449747,0.7996356862745098,0.054003186686430595,13.116994598765432,0.03594592283900126
8,408,47.3633,31.042,32,38.1144,0,114,123,8,130,7,1.0001,46.37361,0.0,0.0,4.32143,8.548,26.83824,0.0,0.0,125.0,48.54713,0.0002,0.3,3.081,0.38915,2.763266,0.04115090551672209,0.1713013274580771,0.0690227176676725,96.0715026680191,0.09041793245373303,6.808188419755962,0.32321042227648406,0.11532799879835548,64193.08849643196,0.12897124868675625,0.0977197030943088,14650.10553687265,88.17239862207457,92.93766507968262,0.1590950462633238,1.6252041479948134,324.2146740851983,30.91141670132861,0.8072329411764706,0.05341369336592089,12.773341049382717,0.03523609893612258
9,409,47.6107,30.4671,32,37.4894,0,115,123,8,130,7,0.98955,46.59564,0.0,0.0,5.96429,8.516,26.67352,0.0,0.0,125.0,49.33341,0.0002,0.31,2.709,-1.0,2.641355,0.041570239518553216,0.17552693674798303,0.0684909347484968,96.0409817159889,0.08802609516776544,6.838609603411381,0.32321042227648467,0.13111178085274855,63944.436107000234,0.1317378593090104,0.09613074589204597,14891.058879450462,87.2752117177803,93.07421494538808,0.15495311671805287,2.434457274366615,320.66420688920135,30.77150245949074,0.8135364705882354,0.05263758014208494,12.196711033950617,0.03504551290097639
