,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,blockiness,cubcol.0.5,color_fulness,blur,cubrow.0.5,temporal,uhdhdsim,cubcol.0.6,cubrow.0,contrast,staticness,cubrow.0.6,movement,noise,fft,cubcol.1.0,cubrow.1.0,cubcol.0.3,tone,cubcol.0,saturation,cubrow.0.3
0,200,64.2032,13.1865,60,0.0,0,116,121,15,130,19,1.0448,60.62973,0.0,0.0,0.21429,3.916,0.0,0.0,0.0,125.0,58.25257,0.00057,0.43,2.097,0.0,0.255286,3.052266435443589,0.267180592174072,149.46321246934457,36204.89937393714,0.23632298445174071,0.0,84.30121529343089,0.24113369973074866,0.353195649709735,96.45559919896694,503.21383756083145,0.23406151238736495,0.0,0.6155332983341053,76824.00643709514,0.12976072882887776,0.2859867777710254,0.19212780926490697,0.8983952941176472,0.08441543421594173,39.914314175829475,0.21866833457651605
1,201,64.5928,13.0563,60,20.3762,0,116,121,15,130,19,1.04609,60.97401,0.0,0.0,0.46429,3.896,11.33062,0.0,0.0,125.0,58.25162,0.00046,0.43,2.088,-1.0,0.275795,2.7233721018831547,0.2451756236477445,149.21080204611258,36619.88541284287,0.23046820227054618,4.621545482338016,84.20405396978603,0.22163452729388047,0.30417342384409063,98.32597236700992,498.4588105569366,0.22902196093240298,6.206934799382716,0.6155332983341086,77054.2374718557,0.12902199866255037,0.2681241444952671,0.16731237211953404,0.8991376470588236,0.0828509541744935,39.80412989486883,0.21068700542571156
2,202,63.3876,13.6682,59,20.4647,0,115,121,15,130,19,1.03036,59.90906,0.0,0.0,0.57143,3.908,11.22605,0.0,0.0,125.0,58.29499,0.00042,0.42,2.337,-1.0,0.279708,2.754825194312679,0.2294832050206356,149.00117019826365,33964.70680667675,0.22879891595229043,4.631136444601748,84.42493388038336,0.20946178392434178,0.2889495430990575,96.04184361789953,494.42666660754696,0.2285821331262671,5.637538580246914,0.6155332983341067,76470.47365277022,0.12778003631367021,0.2664104981573143,0.1591272341714656,0.8993380392156863,0.0829738454907719,39.9175740936656,0.20904214765779314
3,203,63.6399,14.2072,59,20.1383,0,115,121,15,130,19,1.02991,60.13329,0.0,0.0,0.71429,3.934,11.75499,0.0,0.0,125.0,58.32937,0.00033,0.43,2.209,-1.0,0.275829,2.8860881390735633,0.221087423205666,148.90593146703506,34475.40379247677,0.22838528389539453,4.6609451533162485,84.45513140664458,0.2020710486914272,0.2840091158104958,93.64840664684122,490.5602128188784,0.2283495370622311,5.384211033950617,0.6161275094415047,76540.75220697152,0.12712766226916455,0.2624487820528516,0.1540019793481017,0.8989766470588234,0.0823355629200967,39.84909660433546,0.20873794337510965
4,204,64.3626,13.9352,60,21.5112,0,115,121,15,131,19,1.02975,60.79133,0.0,0.0,0.82143,3.916,12.22185,0.0,0.0,125.0,58.23235,0.00038,0.42,2.004,-1.0,0.271196,2.53558200831961,0.22415494589993162,148.62470857865338,35964.8762511459,0.22832758773843376,4.694022536788089,84.25439706787438,0.19864602485800978,0.2750638866382271,95.95456336822753,487.1450776087575,0.22852987733205699,5.096739969135802,0.6215919653563949,76924.65900871319,0.12707316582933573,0.25504980552629947,0.15245489405964852,0.8976180392156863,0.08194612548479942,39.58217931676794,0.2091903073262324
5,205,63.7534,14.7788,59,21.4381,0,115,121,15,130,19,1.02904,60.23397,0.0,0.0,0.64286,3.922,11.97374,0.0,0.0,125.0,58.29364,0.00041,0.43,2.081,-1.0,0.268607,2.7884365547620624,0.22336388137131946,148.6612570431372,34685.972187892876,0.22793729799469592,4.648578224994056,84.42759133992311,0.19730625125925924,0.2699700361698035,96.51905661431297,484.0105845811514,0.2287618057844385,4.566599151234568,0.6155332983341076,76925.30599063872,0.12713603986309321,0.2539911138801644,0.1505928704077219,0.8980215686274511,0.08183528539301511,39.84222393271364,0.20982379060264253
6,206,64.1947,14.3798,60,21.7458,0,115,121,15,131,19,1.03774,60.63053,0.0,0.0,0.25,3.928,12.70644,0.0,0.0,125.0,58.37828,0.00056,0.43,2.071,-1.0,0.2757,2.266510264946215,0.22019683960692416,148.41687974988307,35688.21382644534,0.22789246374719038,4.613850180730442,84.38920954386931,0.19592955720603067,0.26792500978834183,96.21478029494837,481.17533452416797,0.2292536599764229,4.256944444444445,0.6215919653563944,77074.3378513303,0.12721345862531844,0.2539451791019103,0.14854363884207405,0.9006458823529413,0.08177611812125905,39.96117881492332,0.21049544559312083
7,207,65.5449,15.1076,61,21.2159,0,115,121,15,131,19,1.03265,61.82558,0.0,0.0,0.67857,3.894,12.3561,0.0,0.0,125.0,58.26748,0.00056,0.43,1.978,-1.0,0.272949,2.675358767457373,0.21922302916441022,148.29567695323664,38947.95161374905,0.22802045161737286,4.536772390476938,84.20933278471104,0.19290832776715058,0.27264987153402426,96.07238234410164,478.8294785657558,0.22944702758039223,3.6847993827160495,0.6238095913996275,77776.6596786628,0.12725871945064657,0.2541640786819964,0.14943445135666497,0.8992592156862745,0.0816215947779104,40.08607256854022,0.2107852843915784
8,208,65.9968,17.6072,61,21.5218,0,115,121,15,131,19,1.03734,62.25415,0.0,0.0,0.46429,3.92,12.98138,0.0,0.0,125.0,58.25539,0.00041,0.43,1.888,0.1758,0.256906,2.2806606105634146,0.21688521176131637,148.1597080607396,39825.19685713853,0.2276391467031799,4.565225259278306,84.20154474218018,0.19117354337746878,0.27287572658609616,97.61625951497639,476.82118118589386,0.22975853869143464,3.574315200617284,0.6298682584219156,77743.10092547326,0.12759968672466265,0.2574345741356416,0.14899086496729302,0.8988023529411765,0.08167497321841546,40.06093927077305,0.21051362765178508
9,209,67.0525,18.1146,62,22.6961,0,115,121,15,131,19,1.02874,63.24387,0.0,0.0,0.57143,3.953,15.13176,0.0,0.0,125.0,58.29929,0.00043,0.43,2.181,-1.0,0.267617,2.848727323269659,0.2177839557910891,148.16588348966772,42325.18063138708,0.2275084378716861,4.652542610834163,84.15279239324721,0.19116222048098258,0.2676632159726842,95.80722291371309,474.8637628708593,0.2299660904009077,3.8002989969135803,0.6298682584219236,77997.57409345455,0.1278182529723728,0.2562612557687846,0.1491271341094006,0.8995070588235294,0.0816546366898638,39.94120129243827,0.21038226868937346
