,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,movement,noise,tone,cubcol.0,temporal,color_fulness,saturation,cubrow.0.5,cubcol.0.5,cubrow.0.3,uhdhdsim,fft,cubcol.1.0,staticness,cubrow.1.0,contrast,cubcol.0.3,cubcol.0.6,blockiness,cubrow.0.6,cubrow.0,blur
23,423,47.0582,1.34716,22,2.62309,0,115,133,5,125,5,1.0007,42.10614,0.0,0.0,2.39286,5.001,1.25084,0.0,0.0,128.0,54.22735,0.00017,0.3,0.913,-1.0,9.564395,0.6481481481481481,0.19138394433549186,0.7616552941176471,0.005934332949763852,1.6813525428823042,161.6872155245989,33.7370985996576,0.2514864785006216,0.137320020837913,0.21083538059058485,92.42077961902928,66865.21992576488,0.005754534741399716,608.3534094391786,0.10657993011307935,90.45430826571572,0.011401824134013794,0.15275235647550028,2.161882549754853,0.1288657941634029,0.10108495243685295,21524.9549768256
24,424,46.9965,1.3378,21,2.47437,0,115,133,5,125,5,0.99833,42.04738,0.0,0.0,2.57143,5.034,1.07432,0.0,0.0,128.0,54.20844,0.00017,0.3,1.004,0.51543,9.570404,0.5048707561728395,0.1913839443354927,0.7614011764705884,0.005924680426232718,1.5767889849584882,161.74697784177778,33.662603307653356,0.2514704277369267,0.1374061708368469,0.21082784667941598,92.44223864552157,66833.02856139209,0.005776902655152553,608.2553008937441,0.10630242574701518,88.6614717112427,0.011432846055950926,0.1527110793657965,2.136624789815637,0.1288250959125657,0.10110632445993131,21411.0764698902
25,425,47.023,1.47297,22,2.4954,0,115,133,5,125,5,0.99714,42.07465,0.0,0.0,2.57143,4.996,1.06398,0.0,0.0,128.0,54.21765,0.00015,0.3,0.931,-1.0,9.631129,0.4991319444444444,0.1913839443354921,0.7614023529411764,0.005927479917928224,1.5385122675584955,161.79073406733758,33.69038579493393,0.2515917924289308,0.13743195883999293,0.2108096095490133,92.42021284791736,66862.85577083888,0.00575859094000004,608.1885832460378,0.10612566608345077,93.1901190135131,0.01146942383493927,0.1526817431584449,2.100174140545634,0.12879020332667568,0.1011165571179807,21490.158096026466
26,426,46.9294,1.48614,21,2.72465,0,115,133,5,125,5,0.99592,41.98665,0.0,0.0,2.60714,5.03,1.19092,0.0,0.0,128.0,54.20208,0.0002,0.29,1.182,-1.0,9.567134,0.25245949074074076,0.191383944335493,0.7616313725490197,0.0058916313956134,1.5880227218536442,161.60655372987853,33.747528452932094,0.25161530502881546,0.13722940068332182,0.2107057507709397,92.3936175086994,66868.3068381994,0.005752509762181677,608.0920983390182,0.10600964417408053,92.69074380480794,0.011474511499301175,0.152651780779817,2.08651635023978,0.12881453644097204,0.10112494271117245,21388.40783948687
27,427,46.9239,1.54826,21,2.86509,0,115,133,5,125,5,0.98873,41.98725,0.0,0.0,2.46429,5.05,1.20339,0.0,0.0,128.0,54.22949,0.00019,0.29,1.017,-1.0,9.639785,0.15248842592592593,0.19138394433549336,0.7613647058823529,0.005930414802794425,1.5954598771671464,161.61547196085684,33.80039940351322,0.25171781326147186,0.13666797204320555,0.21065944212846557,92.37625780701345,66923.59195078934,0.0057114299247412355,608.0563695987286,0.10602706721939022,93.22622155873461,0.011453808206128737,0.15267279479548135,2.094730132908757,0.1289277127639155,0.10106705916748836,21413.016547044077
28,428,46.8914,1.67643,21,2.60038,0,115,133,5,125,5,0.98591,41.95238,0.0,0.0,2.46429,5.064,1.25436,0.0,0.0,128.0,54.20306,0.00016,0.3,1.049,-1.0,9.539611,0.13797260802469136,0.1913839443354942,0.7613498039215687,0.005974467893879314,1.6314143149982074,162.03091444382824,33.64138341833044,0.25176204061005125,0.1360312523691042,0.21066430312948292,92.38070557396486,66856.10128318542,0.00572269549381996,607.9814782291293,0.10597559042934977,93.21931100187489,0.011430649650328459,0.15273048621731355,2.2528565803317115,0.12890530987084314,0.10105838555721604,21404.36204474825
29,429,46.9803,1.82398,21,2.72421,0,115,133,5,125,5,0.98812,42.03018,0.0,0.0,2.14286,4.954,1.3719,0.0,0.0,128.0,54.2424,0.00021,0.3,1.109,-1.0,9.554272,0.16459297839506173,0.19138394433549202,0.7613498039215687,0.00595396350954491,1.7202137425959745,161.8196679826935,33.68932578004436,0.25182948206404443,0.13537689356480698,0.21064806947258116,92.36185290824692,66827.19898673172,0.005740225409594405,607.9547838419435,0.10603419449506366,92.51722651042971,0.011422836452227763,0.15280755259816212,2.21288775152272,0.12899884475674808,0.10104704310260071,21469.734532728377
30,430,46.9197,2.14253,21,2.81473,0,115,133,5,125,5,0.97909,41.97893,0.0,0.0,2.42857,5.022,1.50183,0.0,0.0,128.0,54.22303,0.0002,0.3,0.967,-1.0,9.567788,0.21392746913580246,0.1913839443354931,0.7613498039215687,0.005956878846456066,1.7940475943612348,162.0334029184882,33.66663030930507,0.25181663939649473,0.13478730383020177,0.21061873742527,92.40059027069515,66747.9905160867,0.005708872788038867,607.9037061199807,0.10611304376486588,91.09566385432872,0.011455121806905453,0.15288189604553795,2.2492449943547794,0.12912452173691524,0.10105143345037565,21399.73774495272
31,431,46.9568,2.42584,21,2.98777,0,115,133,5,125,5,0.98119,42.00192,0.0,0.0,1.92857,4.962,1.78172,0.0,0.0,128.0,54.26865,0.00019,0.29,1.056,-1.0,9.550462,0.30941358024691357,0.19138394433549288,0.7613498039215687,0.005940360373220127,1.9244194133417232,161.77066902325205,33.68976301028405,0.25177888786263625,0.13435044239887667,0.2107004226038676,92.38902879930731,66865.4482084564,0.0057045111397505555,607.9062581845823,0.10611916823116144,91.71296649241252,0.011488413150820791,0.15275855045413572,2.186307220678872,0.12903879685477496,0.10106866865178085,21420.692467201545
32,432,46.9258,2.18672,21,3.13584,0,115,133,5,125,5,0.98479,41.97071,0.0,0.0,2.57143,5.017,2.03336,0.0,0.0,128.0,54.25381,0.00022,0.3,0.989,0.51106,9.578701,0.41333912037037035,0.19138394433549244,0.7613498039215687,0.005917156951581432,2.0209087026163997,161.63353721394412,33.65602545090663,0.2517681056123013,0.13405834833332178,0.2106717181023111,92.37736599329118,67006.06098471183,0.005701789564564309,607.8876336351169,0.10610836222904284,88.36442558816151,0.011470520011834722,0.15269716136714087,1.979324140755077,0.1290102311108656,0.1010722796789163,21337.620238825977
33,433,46.9792,1.99182,21,3.05229,0,115,133,5,125,5,0.98482,42.02176,0.0,0.0,2.71429,4.962,1.82711,0.0,0.0,128.0,54.27619,0.00017,0.29,1.04,-1.0,9.591717,0.4500868055555556,0.19138394433549186,0.7613498039215687,0.005917382180806108,1.9424943925325953,161.70250817621977,33.70410363468123,0.25174478005773654,0.13394544781152656,0.2107376969332255,92.38801319071337,66947.16291949878,0.005701829824527955,607.8888768497751,0.10624025280810123,90.80159143969155,0.011505682705077158,0.15261942514748117,2.1052721570665196,0.12906975896081266,0.10101290608366682,21374.03270058009
34,434,46.9638,1.93251,21,2.74099,0,115,133,5,125,5,0.98644,42.01034,0.0,0.0,2.14286,4.957,1.65114,0.0,0.0,128.0,54.26875,0.0002,0.29,1.054,-1.0,9.604942,0.5603780864197531,0.191383944335492,0.7613498039215687,0.005923093120291699,1.860128610204697,161.5339183855505,33.76187378683208,0.2517803787963838,0.13381432926054485,0.21085086264665184,92.40325413990402,66827.80732215926,0.005694481196731248,607.8694316462213,0.10637570575431782,88.61301916991648,0.011492685758129763,0.15261198961644615,2.152909422682962,0.12901159287464858,0.10102380810157306,21361.83053225256
35,435,47.0377,1.9774,22,2.75174,0,115,133,5,125,5,0.98886,42.08383,0.0,0.0,1.89286,4.964,1.60363,0.0,0.0,128.0,54.29968,0.00019,0.29,0.956,-1.0,9.739814,0.6934799382716049,0.1913839443354922,0.7613498039215687,0.005911930376139115,1.8588798208945103,161.80558856540642,33.662666791751064,0.25183170193394167,0.13380128159070084,0.21091596131331844,92.34976379402384,66878.25485626617,0.005690681105799187,607.889716790785,0.1065627584686622,91.34005923810034,0.011517382367470817,0.15252340303104217,2.253859188411879,0.12891958688552846,0.10102223886095009,21505.25268074363
36,436,46.9946,2.11619,22,2.95754,0,115,133,5,125,5,0.99052,42.03883,0.0,0.0,2.03571,4.963,1.63728,0.0,0.0,128.0,54.27858,0.00022,0.29,0.933,-1.0,9.679576,0.8561921296296297,0.19138394433549233,0.7613498039215687,0.0058868749871220085,1.8380028304053804,161.8645161900046,33.63382410120081,0.2518518104371444,0.13392375063538917,0.21097055620086866,92.37186546459876,66768.53227808548,0.0057227342170234575,607.8758370459797,0.10653496869134081,88.71898305277946,0.011529802154451058,0.152488167077399,2.1009716490531,0.1288456554804177,0.10103663373483386,21425.762773548162
37,437,46.9726,1.89756,22,2.93382,0,115,133,5,125,5,0.99169,42.02531,0.0,0.0,2.35714,4.955,1.76292,0.0,0.0,128.0,54.30326,0.00018,0.29,0.939,-1.0,9.627657,1.0774016203703705,0.19138394433549233,0.7613498039215687,0.005891219490708874,1.8729929244009351,161.5768524273018,33.71327925317081,0.2518469472962952,0.13415979727461197,0.21101712326080535,92.41715035739529,66826.33696052451,0.005700407372690908,607.8883994744522,0.10645609532842877,88.43604207138998,0.011518978565371592,0.15245941189440868,2.1256044995598975,0.128907410384554,0.10105883428705892,21362.45577931885
38,438,46.979,1.64445,22,2.76743,0,115,133,5,125,5,1.00302,42.03465,0.0,0.0,2.42857,4.989,1.56876,0.0,0.0,128.0,54.28921,0.00022,0.29,1.054,-1.0,9.589538,1.2704475308641976,0.19138394433549252,0.7613050980392158,0.005885419005504097,1.8012501642092322,161.799260626316,33.66304826147763,0.2517838147425451,0.1346565204777361,0.21104941516804326,92.39213735840993,66776.34489913078,0.005777883794031561,607.8719187112328,0.106385387294881,88.4913276144801,0.011512951222537576,0.1524533999772037,2.251951575998806,0.1289220086262348,0.10106778710770666,21354.80425905897
39,439,46.9944,1.50773,22,2.74344,0,116,133,5,125,5,0.99777,42.04984,0.0,0.0,2.42857,5.0,1.34371,0.0,0.0,128.0,54.3041,0.0002,0.29,0.932,-1.0,9.55198,1.3676697530864197,0.19138394433549263,0.7613498039215687,0.005865337879467129,1.6935273303589875,161.77027156933588,33.64389697416329,0.251846749429408,0.1349784593395346,0.21109585022391572,92.42889342224531,66772.90375734234,0.005735031085158419,607.8784952920017,0.10635550866216928,88.47197303852464,0.011518788176409634,0.15246175117573127,2.162258273072571,0.12890395577898045,0.10108480175437996,21390.820767696838
40,440,47.0223,1.50391,22,2.52353,0,115,133,5,125,5,1.00042,42.07595,0.0,0.0,2.28571,5.01,1.21914,0.0,0.0,128.0,54.29895,0.00018,0.29,1.01,0.5126,9.54118,1.4969618055555556,0.1913839443354931,0.7613498039215687,0.005870574761427789,1.6397977901849585,161.7484529975353,33.721770298333816,0.25187869538530966,0.13533179768596423,0.21113443850570496,92.39965101953457,66854.86677028268,0.005756386130666871,607.8679528426647,0.10623296078225065,89.63427319506461,0.011520172293950998,0.1524542793806013,2.0890611528111713,0.12882247056273052,0.10106744932345196,21442.206874914027
41,441,47.0259,1.46517,22,2.6171,0,116,133,5,125,5,0.99784,42.08464,0.0,0.0,2.03571,5.021,1.21932,0.0,0.0,128.0,54.31162,0.00017,0.29,0.934,-1.0,9.613307,1.4977334104938271,0.19138394433549322,0.7613498039215687,0.005826640399262114,1.6438643187335595,161.9119984565724,33.57816813904562,0.2519078219431951,0.13557677426776632,0.21115378778764982,92.39691300265832,66837.09631816414,0.005768874357613902,607.8717164881801,0.10616314970398132,89.64571859209012,0.011514291043463142,0.1524368089274433,2.145952716828356,0.12868363579368497,0.10110046213763109,21458.228605129778
42,442,47.0155,1.47784,22,2.65166,0,116,133,5,125,5,0.99552,42.07427,0.0,0.0,1.89286,5.082,1.18011,0.0,0.0,128.0,54.29741,0.00017,0.29,0.994,-1.0,9.576998,1.4564043209876543,0.19138394433549313,0.7607843137254902,0.00583761541528393,1.6209135167731883,161.8292313911324,33.63459551775897,0.25186674664916286,0.13569609788207598,0.21113240656288937,92.40242175488928,66827.1071400882,0.005781279046756711,607.8562216416368,0.10612536144514398,89.72761752647943,0.01149273233848452,0.15238452888335496,2.113519169371346,0.12859267428590032,0.10111386552807798,21428.23065189611
43,443,47.0585,1.45299,22,2.54341,0,116,133,5,125,5,0.99438,42.11319,0.0,0.0,2.32143,5.024,1.19098,0.0,0.0,128.0,54.31194,0.0002,0.29,0.966,-1.0,9.64166,1.3777488425925926,0.19138394433549347,0.7607843137254902,0.005861859801414963,1.6290485042084493,161.88230389811827,33.57049786603009,0.2518473303165785,0.13580895788264197,0.21116376334952774,92.40305871810642,66891.80673773518,0.005775316267379797,607.8634455033368,0.10598899525330713,87.61453680558199,0.011493455576070143,0.15236807235801975,2.0566134902754745,0.12848974202382157,0.10115073812041234,21467.05460637643
44,444,46.9748,1.39691,22,2.73369,0,116,133,5,125,5,0.99707,42.03594,0.0,0.0,2.32143,5.069,1.16541,0.0,0.0,128.0,54.29182,0.00022,0.29,1.023,-1.0,9.593914,1.1930941358024691,0.19138394433549247,0.7607843137254902,0.005839020947334746,1.6180087618412522,162.18333870783766,33.56750996907552,0.25182917703177116,0.1358481780524051,0.21116563529082816,92.42851082528924,66835.64886542178,0.005766829781405815,607.8492829330226,0.10592268005219678,90.98087903774648,0.01147008431579885,0.15236175699469837,2.03411083434948,0.12849038429419654,0.10112860700758879,21379.629324415542
