,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,color_fulness,cubrow.1.0,saturation,movement,noise,cubrow.0,contrast,temporal,tone,uhdhdsim,cubcol.0.6,cubcol.0.5,blockiness,cubrow.0.5,cubrow.0.6,cubcol.0,blur,cubcol.1.0,staticness,cubrow.0.3,fft,cubcol.0.3
0,500,57.8434,13.6777,35,0.0,0,123,127,2,127,2,0.99754,56.48443,0.0,0.0,9.67857,8.77,0.0,0.0,0.0,132.0,57.52419,0.0,0.31,6.598,0.0,2.10481,162.4953138891055,0.19675048171183168,14.538319340458623,0.0,0.27577028992657726,0.07214671254936675,86.37464442506399,0.0,0.8327415686274511,97.35685871450602,0.1711569386852989,0.20687981801308689,1.9518406116854305,0.20814739132693685,0.09162811770875114,0.21416064122839304,25650.738929411473,0.2135407328648187,264.3251925920339,0.11319225330210246,64143.81359066096,0.2189877137763278
1,501,57.7738,13.4394,35,14.9422,0,123,127,2,127,2,1.00305,56.43015,0.0,0.0,9.89286,8.797,11.79654,0.0,0.0,132.0,57.50501,0.0,0.31,5.889,-1.0,2.077779,163.0694532696145,0.2002553100152235,14.621212617850599,8.629918981481481,0.27798791596979583,0.06459594542633666,93.81211080422698,5.1793357124314605,0.8330094117647059,97.33380307061772,0.16051140748215842,0.19524590739197906,1.5752277696180788,0.20009028643053114,0.08818423118211188,0.20326226301244266,25649.450414568804,0.19511395021607209,263.65431941163064,0.11106718911919476,64112.69638376288,0.20495698092802417
2,502,57.7769,13.583,35,13.9865,0,123,127,2,127,2,1.00089,56.41459,0.0,0.0,9.53571,8.727,11.59157,0.0,0.0,132.0,57.51707,0.0,0.31,6.437,-1.0,2.159428,162.86978299125084,0.2064065047828617,14.539361835997783,8.650945216049383,0.27798791596979394,0.0662360830928346,86.90719632681653,5.16517857714487,0.8332772549019608,97.33174344058955,0.1539124031351981,0.19224068862103563,2.1263229563058776,0.20066047682592275,0.08635316129946984,0.19424372674855608,25502.052019389383,0.1859767333202461,263.06592223822025,0.11512792650610856,64031.6976748564,0.19896263313162926
3,503,57.7158,13.5361,35,14.7173,0,123,127,2,127,2,1.00024,56.3538,0.0,0.0,11.85714,8.789,11.71771,0.0,0.0,131.0,57.4848,0.0,0.31,5.804,-1.0,2.009284,163.0997702151982,0.21101725224455276,14.56354268391927,8.261525848765432,0.2779879159697947,0.07050095670253995,86.80483875914952,5.164610723835354,0.8329647058823528,97.34001569994533,0.15022184738822844,0.1903154221680173,2.1506866830003584,0.19884236290689614,0.08627480945192202,0.18886397042033118,25486.493578299425,0.18179319058062943,262.4233053365611,0.11901484867012715,63981.0073543222,0.1936137499350859
4,504,57.7271,13.6984,35,15.094,0,123,127,2,127,2,1.00376,56.34777,0.0,0.0,13.42857,8.751,11.67596,0.0,0.0,131.0,57.48231,0.0,0.31,5.648,-1.0,2.158644,163.20124209413237,0.21270295159467173,14.588370429144964,7.7593557098765435,0.27798791596978994,0.07533353038456322,87.04663275895054,5.176725293156135,0.8332772549019608,97.34899706258975,0.14811229100868992,0.1874283443564111,1.704828209784728,0.19722112715942947,0.08791797004391955,0.1833884486672622,25561.860274482824,0.1813182250213107,261.70878077208823,0.11700854818763863,63935.68421539539,0.19106559076877347
5,505,57.6868,13.3698,35,14.6165,0,123,127,2,127,2,0.99853,56.30132,0.0,0.0,13.28571,8.722,11.81266,0.0,0.0,131.0,57.47981,0.0,0.31,5.645,-1.0,2.177838,163.23306506574232,0.213305330844083,14.548600938585068,7.360146604938271,0.27355266388334215,0.08116916945811409,93.53925302481096,5.181653424777285,0.8335827450980392,97.35534480949607,0.14876438920622717,0.18729884755693488,2.0719857726192203,0.19614524047844986,0.08962957301749745,0.17899932217221515,25455.42350386225,0.18027377130981295,260.9239141274666,0.11392707697016687,63960.982729201765,0.19059639603640563
6,506,57.6287,13.7289,35,14.9446,0,123,127,2,127,2,0.99585,56.22931,0.0,0.0,13.32143,8.759,11.53001,0.0,0.0,132.0,57.45937,0.0,0.31,5.666,-1.0,2.206504,163.21758436837743,0.21427933357415624,14.515332634066358,6.837866512345679,0.27355266388334404,0.08425171312080208,91.0105705975971,5.14622257299792,0.8329647058823528,97.37682212601877,0.148462129043779,0.1884775560890526,2.096117913717571,0.1957518186020864,0.09218109611325842,0.1774560567708989,25329.95977314332,0.17856550150765665,260.1843958589157,0.11261351144976314,63981.196893328844,0.19149619576376053
7,507,57.7549,13.3838,35,15.4457,0,123,127,2,127,2,1.0002,56.30974,0.0,0.0,12.14286,8.71,11.84162,0.0,0.0,132.0,57.46152,0.0,0.31,5.879,-1.0,2.246183,163.00751357215978,0.2143960860228939,14.517583776403356,6.760416666666667,0.27355266388334015,0.08624157952663764,90.87697127290133,5.177669657783678,0.8330094117647059,97.36506826455951,0.14956364587544932,0.18824920455256808,2.055051938217884,0.1938087544292811,0.09365274757674737,0.17714035046649027,25675.7011350414,0.17567063427827342,259.4279885561969,0.11179794799776278,63971.241160028505,0.19184475131989598
8,508,57.6791,13.6686,35,15.3874,0,123,127,2,127,2,0.99825,56.27037,0.0,0.0,10.92857,8.735,11.54789,0.0,0.0,132.0,57.48288,0.0,0.31,5.768,0.46219,2.262352,163.3240189366828,0.21414160890996733,14.545507172007618,6.3359375,0.27355266388334026,0.08629206942364971,93.57146001891327,5.150190478643153,0.8335301960784313,97.36322396138652,0.15064035474393042,0.18872532920030208,1.7722259662001298,0.19210809815931296,0.09434425396191087,0.1768541194602042,25493.76365354082,0.1759503663999948,258.6370325450518,0.11150722341970137,64044.532079995166,0.19326286153796438
9,509,57.6479,13.8898,35,15.2188,0,123,127,2,127,2,0.99377,56.20234,0.0,0.0,9.57143,8.767,11.79338,0.0,0.0,132.0,57.47664,0.0,0.31,7.137,-1.0,2.276423,163.30119293956227,0.2139690395693388,14.605493239414544,6.300347222222222,0.27355266388333704,0.08616828194728231,93.63546925501525,5.162847226114237,0.8330470588235295,97.40067881363088,0.15114689901666065,0.18722154269423238,1.8200860239362284,0.19051226895860804,0.09611400900210225,0.17691541669297134,25472.36994905479,0.17457287559007725,257.8566286210453,0.11121597785809784,63920.03198819666,0.19248702426160155
