,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,blockiness,staticness,noise,cubrow.0.3,cubcol.0.3,cubrow.0.5,saturation,cubrow.1.0,cubcol.0.5,cubcol.0,contrast,blur,cubrow.0.6,movement,tone,temporal,uhdhdsim,cubrow.0,fft,cubcol.1.0,cubcol.0.6,color_fulness
0,0,66.5984,3.2588,31,0.0,0,105,132,7,125,6,0.99455,60.19021,0.0,0.0,4.85714,3.978,0.0,0.0,0.0,126.0,58.33896,0.0002,0.29,1.426,0.0,7.468713,1.9978240338282374,533.6885959992763,0.2222714905543587,0.27388121715777386,0.05232339437345476,0.15473830859642448,33.17645150643808,0.13048148933120082,0.22088471631311538,0.008244353436076506,93.91513294908738,59256.53277835599,0.1465496618678492,0.0,0.8548949019607844,0.0,90.20192877116342,0.10688309274622829,68642.62158953091,0.008607080756767506,0.22524260033341312,161.26871589116428
1,1,66.6001,3.24015,31,4.27614,0,105,131,7,125,6,0.99013,60.17712,0.0,0.0,4.60714,3.99,2.75965,0.0,0.0,126.0,58.3938,0.00022,0.29,1.42,-1.0,7.420202,2.0479819048637444,533.7206740552165,0.22227149055436027,0.27190422333823,0.04448624664279022,0.15357634246700996,33.26607447494695,0.1243819300621663,0.22216761014948258,0.006097721995754591,93.64478489235051,59265.33068928231,0.14591292434826547,0.34211033950617287,0.8554674509803922,2.3328835200800997,90.2246098269486,0.1064818754185226,68633.84911920413,0.006804978593511588,0.22462578685722134,162.01446350860454
2,2,66.6019,3.29543,31,3.83521,0,105,132,7,125,6,0.98917,60.1724,0.0,0.0,4.82143,3.973,2.74408,0.0,0.0,126.0,58.38895,0.00022,0.29,1.567,-1.0,7.444584,1.9273942304730936,533.1596579840799,0.2200538645111302,0.2711542279779109,0.04189032476189193,0.15325075147252445,33.158539383499715,0.12074917687939993,0.22197390915464696,0.005848331262548822,93.94793096216296,59341.41759980467,0.14570092396990247,0.36940586419753085,0.8548870588235296,2.3363771551619297,90.22749120553354,0.10652422329521939,68659.89255280366,0.00624455545011353,0.22474061470297207,161.77952305500526
3,3,66.6219,3.4177,31,3.84466,0,105,132,7,125,6,0.99123,60.187,0.0,0.0,4.85714,3.976,2.79057,0.0,0.0,126.0,58.45449,0.00021,0.29,1.467,-1.0,7.373225,1.9776572606033997,533.0124220765479,0.2222714905543605,0.27100234900198544,0.041659044952654295,0.15277286937227386,33.22987535264757,0.11981281970649217,0.22152168097433006,0.005862093761609048,93.26110522449348,59399.40807040709,0.14574856496330876,0.36260609567901236,0.856673725490196,2.3582931509140566,90.21330413232278,0.10667113895887527,68593.45715630715,0.006092441030278918,0.22477129390251036,162.14743783722082
4,4,66.5992,3.46169,31,3.92168,0,105,132,7,125,6,0.99005,60.16856,0.0,0.0,4.14286,3.968,2.8977,0.0,0.0,126.0,58.45653,0.00021,0.29,1.431,-1.0,7.496503,1.876141975568229,532.6108938203192,0.22227149055435866,0.27114999844097887,0.040241592071264536,0.15262776114817656,33.14946115752797,0.11927341722227734,0.2212535862968362,0.005722210116735159,93.27466168471344,59270.82414679592,0.14574926163133414,0.3857542438271605,0.8559092156862621,2.389153597521817,90.19346366319567,0.1064199577406798,68726.1296607178,0.005951350666804965,0.2248143500047431,161.98205551833433
5,5,66.6651,3.19573,31,3.97255,0,105,132,7,125,6,0.98885,60.22332,0.0,0.0,4.78571,3.974,2.93225,0.0,0.0,126.0,58.5297,0.00016,0.29,1.497,-1.0,7.384646,2.3051331213262998,532.357998272475,0.22227149055436055,0.2708159383322624,0.03948571857965716,0.1526420489289604,33.19779779881607,0.1185352174955924,0.2211540469356955,0.005440979071449383,93.49263238334564,59486.09096924991,0.14559107943608943,0.37408371913580246,0.8568066666666668,2.437582962606294,90.20511981654954,0.1063117631090333,68705.69136300431,0.005905904343968609,0.22456481373474138,162.2229993874414
6,6,66.6537,3.03348,31,3.92203,0,105,132,7,125,6,0.98484,60.20493,0.0,0.0,3.21429,3.99,2.70535,0.0,0.0,126.0,58.54362,0.00025,0.29,1.503,-1.0,7.39486,1.9203904583001339,531.9826260256721,0.22227149055436027,0.2706860183393944,0.038556451882241785,0.1524559752555465,33.26622649769725,0.1183913811317655,0.22093706932484353,0.00536419209739157,91.55469172444303,59426.854835736995,0.14602718061338002,0.29171489197530864,0.8565686274509805,2.409124699106217,90.21633930107967,0.10614464192967726,68756.0692260365,0.00584639932738713,0.2244444491537162,162.85378978318488
7,7,66.6606,3.03552,31,3.96313,0,105,131,7,125,6,0.97884,60.19646,0.0,0.0,4.57143,4.003,2.56326,0.0,0.0,126.0,58.59344,0.00019,0.29,1.438,-1.0,7.378464,2.0221009493586433,531.7822396816138,0.22227149055435894,0.27042041476335515,0.03771012302884875,0.15268839454626384,33.15054396641107,0.11803093034160105,0.22088372857711175,0.005317674083798624,90.61960034212424,59481.15855896634,0.1458537288605131,0.23794367283950618,0.8565082352941178,2.3651827977819955,90.20837517735319,0.10606156550687307,68709.68438957373,0.005792515126678733,0.22421061846287801,162.63743834692872
8,8,66.6521,3.08063,31,4.14651,0,105,131,7,125,6,0.98756,60.20197,0.0,0.0,4.35714,3.989,2.56748,0.0,0.0,126.0,58.62655,0.00018,0.29,1.527,0.43853,7.370452,1.820159179691844,531.4632704167435,0.22005386451113,0.2702438211272434,0.037023257649783294,0.15269790829620183,33.20414018042294,0.11793027590780424,0.2210044945568451,0.005298685874253149,93.8327515813769,59271.073306184204,0.14614763025607858,0.21793016975308643,0.8556976470588236,2.342155870761463,90.21676480165675,0.10600815474698055,68710.14094980525,0.0057739080678308515,0.22424122901048982,162.20020224853658
9,9,66.7217,3.17997,32,4.22042,0,105,132,7,125,6,0.99102,60.24919,0.0,0.0,4.71429,4.024,2.6064,0.0,0.0,126.0,58.679,0.00021,0.29,1.377,-1.0,7.435143,1.8834374139603427,531.2356261303419,0.2222714905543585,0.2702234896020336,0.03649450388924379,0.15274511251463752,33.1936749116874,0.11713178451270811,0.2209821982036053,0.005217444000261085,93.63793561951915,59526.708249956886,0.14629433120306923,0.24546682098765432,0.8560031372549021,2.353966143268051,90.19304287846995,0.1059432909621367,68699.89912345215,0.005818765047515706,0.2238610272520044,162.30157442433372
