,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,fft,movement,saturation,noise,cubrow.0.6,temporal,cubrow.0.5,cubcol.0.6,tone,color_fulness,cubrow.0,cubcol.0.5,cubcol.0.3,cubcol.1.0,uhdhdsim,cubrow.0.3,cubrow.1.0,cubcol.0,contrast,blur,blockiness,staticness
10,10,71.1089,12.6817,68,16.401,0,115,121,18,131,21,1.04079,67.79599,0.0,0.0,1.14286,3.361,10.76223,0.0,0.0,125.0,58.80281,0.00059,0.43,1.905,-1.0,0.304756,78537.55563112162,2.8463059413580245,40.28347985538436,0.6750907647286072,0.22584611842137506,4.365702900841471,0.2228604842019822,0.20627573900804097,0.8962490196078432,145.9801121148165,0.25292816708954463,0.2871202782560408,0.14262596441833872,0.12664235887086156,82.43859796079337,0.1884915884722646,0.2845592574187727,0.08170210400688183,98.21190508199396,41057.75126475333,2.4812821601838415,466.4844128157536
11,11,70.7103,12.7481,68,16.6596,0,115,121,18,131,21,1.04222,67.40083,0.0,0.0,1.35714,3.378,10.89751,0.0,0.0,125.0,58.73442,0.00057,0.43,1.89,-1.0,0.293564,78442.82459001348,3.048418209876543,40.31311072832273,0.6730323570717377,0.22589218835193534,4.418325360414683,0.22329387879966145,0.20340497284927112,0.8953823529411765,146.41181805323927,0.24923001840804054,0.2851380901192853,0.14547598110547988,0.12645851927706325,82.50235169334562,0.18897067879366952,0.2833491049556584,0.08169489860398066,97.70001743842292,40349.23583707323,2.6326819500546343,465.5510309552528
12,12,70.7137,12.812,67,17.2974,0,115,121,18,131,21,1.03804,67.37469,0.0,0.0,1.21429,3.352,10.96571,0.0,0.0,125.0,58.6834,0.00061,0.43,1.898,-1.0,0.288137,78545.78672400286,2.7686149691358026,40.468202379014755,0.6728731386853776,0.22605784948798016,4.46187327013035,0.22366573059166614,0.20211421941056806,0.8953674509803922,146.15081521172831,0.24344547508863565,0.28381009868093876,0.14731847365742118,0.12636644230919403,82.45481486889737,0.1893647848739978,0.2821029890897001,0.08171418602007324,97.5796217399716,40396.09348844443,2.64846082506089,464.59979571750046
13,13,70.6938,12.9184,67,16.9378,0,114,121,17,131,21,1.04467,67.3227,0.0,0.0,1.14286,3.349,11.00589,0.0,0.0,125.0,58.61369,0.00058,0.43,2.086,-1.0,0.297423,78625.95531600174,2.4738618827160495,40.35742922182436,0.6750907647286075,0.22625921675384544,4.491459140943328,0.22375936951036798,0.2010610627192921,0.8949788235294118,146.0726720415484,0.23867207508858157,0.2805423813202548,0.14825529172394972,0.1263695675600663,82.45844869596468,0.19004239684944518,0.2805199959643215,0.08170379455756449,98.09669916692512,40543.56576215578,2.5310394149155795,463.5239329977032
14,14,70.992,13.0125,67,18.1743,0,114,121,17,131,20,1.04794,67.56658,0.0,0.0,0.67857,3.326,11.09663,0.0,0.0,125.0,58.56639,0.00061,0.43,1.905,-1.0,0.287144,78817.29077187218,3.429880401234568,40.43501771526572,0.6728731386853779,0.22643210801749813,4.49888342771775,0.2239576944850253,0.19958597290653132,0.8952090196078432,145.99624145237732,0.23497210177491165,0.2803574824375662,0.14897494552842805,0.1263005235906538,82.4126218697564,0.19069339096965005,0.2789587944212796,0.08162466067246094,97.74400181384694,41086.62656372117,2.214186028402191,462.3880364239859
15,15,70.6806,13.1714,67,17.8763,0,114,121,17,131,20,1.04065,67.26724,0.0,0.0,0.85714,3.302,11.17862,0.0,0.0,125.0,58.49488,0.0006,0.43,1.913,-1.0,0.313045,79188.86946688952,4.848813657407407,40.40163939676167,0.6712497237495461,0.22656965721407415,4.508611765722609,0.2242038232732298,0.19725343611854723,0.8950580392156862,146.08339927482587,0.23162545865453535,0.2815748997337463,0.14934464563408012,0.12616130614672863,82.43920304083213,0.19104595000381286,0.27738597981377017,0.08164747141610762,96.56354682034227,40493.06920411311,2.2928609581886383,461.2045034590941
16,16,70.2006,13.391,66,18.6377,0,114,121,17,131,20,1.03108,66.81306,0.0,0.0,0.85714,3.319,11.31529,0.0,0.0,125.0,58.409,0.00061,0.43,2.014,0.17091,0.302871,78924.13017674765,5.6628086419753085,40.30695408950618,0.6706555126421451,0.22638538632449418,4.541993348201083,0.22439789324867102,0.19502036361156302,0.8937156862745098,146.16086571790132,0.2292399987519482,0.2821024647198409,0.14872495546740727,0.12612278400659468,82.54612386534598,0.19150162725688422,0.2763078052043905,0.081590988588362,97.74863452656805,39805.88202515997,1.936367991130512,459.9932023648247
17,17,69.9728,13.5829,66,19.8215,0,114,121,17,131,20,1.03006,66.59986,0.0,0.0,0.60714,3.301,11.50638,0.0,0.0,125.0,58.3469,0.00061,0.43,2.127,-1.0,0.28241,78693.78102196763,5.601466049382716,40.40417536982784,0.6728731386853767,0.22618316774927202,4.60032580633526,0.22447118978889055,0.19377686930716348,0.8926678431372549,146.29501368875702,0.22633617616490623,0.28077859752827233,0.1484616260954475,0.12618326578400516,82.58940466667846,0.1919982833454795,0.2762869245400067,0.08156253230365387,95.64887205762467,39114.03926809126,2.2204184442486623,458.7757843671887
18,18,70.3398,14.0679,66,19.3462,0,114,121,17,131,20,1.03336,66.96477,0.0,0.0,0.53571,3.274,11.66817,0.0,0.0,125.0,58.28384,0.00054,0.43,2.037,-1.0,0.314376,78613.9181750356,5.659481095679013,40.51173400878906,0.6712497237495443,0.2260408424157339,4.629731219950191,0.22466289028059244,0.1931275773954882,0.8926407843137255,146.36168770390793,0.22481528660114278,0.28011899570949117,0.1488795492963699,0.12621918082162445,82.47662337665288,0.19231964864819623,0.27655288256547655,0.08158197882156656,95.13634997938499,39316.49742207836,3.399901724239909,457.5776739529952
19,19,70.7934,14.3585,67,20.0535,0,114,121,17,131,20,1.03552,67.42739,0.0,0.0,1.03571,3.284,12.0881,0.0,0.0,125.0,58.21698,0.00049,0.43,2.094,-1.0,0.296382,78579.55379390826,5.714988425925926,40.35488232271171,0.6756849758360025,0.22588856396236792,4.6738666280379935,0.2247384802963704,0.1912049247353837,0.8928709803921568,146.43816800871528,0.2247249345029288,0.27923797283470736,0.14855749758089246,0.1261674743555126,82.41766082608513,0.19294516487639912,0.27581493124348605,0.08163369024397837,97.15704558412683,39556.412785064625,3.137674902375163,456.3538508557939
20,20,71.0025,14.5775,67,22.2067,0,114,121,17,131,20,1.01698,67.61732,0.0,0.0,1.35714,3.26,12.33692,0.0,0.0,125.0,58.1343,0.00045,0.44,2.088,-1.0,0.261733,78470.61973215282,6.626687885802469,40.47091316882475,0.6750907647286013,0.22586553984013802,4.70024144526382,0.22488229037393395,0.18943166394441416,0.8928823529411765,146.55644143558573,0.22338647327037336,0.27891400045246434,0.14855538806571436,0.12610528028619955,82.34511667585951,0.19369864187041316,0.2750557760563179,0.08163428841058068,95.43993798142878,39539.57741462631,2.0048914011896537,455.14159035494515
21,21,71.0367,15.0839,66,23.1612,0,114,121,17,131,20,1.02838,67.62291,0.0,0.0,0.85714,3.254,12.52775,0.0,0.0,125.0,58.01851,0.00059,0.43,2.061,-1.0,0.337704,79049.91362651502,6.408179012345679,40.1101121313778,0.6728731386853757,0.22575899701045288,4.743102241378609,0.22493350955932057,0.18772279778930218,0.8918053725490195,146.57023224368814,0.2214367549518421,0.27889303484676337,0.1483244959842405,0.1260959479101946,82.25807913972875,0.19419551487565895,0.2743846199301236,0.08163141635486798,97.66712053357818,39062.23351955589,2.2176207924928812,453.9470351612267
22,22,71.2174,15.8785,67,21.0785,0,114,121,17,131,20,1.02437,67.80768,0.0,0.0,1.89286,3.248,12.95531,0.0,0.0,125.0,57.91047,0.0006,0.43,2.222,-1.0,0.299981,78887.52219303642,6.44994212962963,40.14865846987124,0.6712497237495435,0.22588010680787987,4.788510501077558,0.2248811820646637,0.18639354230467406,0.8905101960784314,146.62552998023358,0.2202800258502136,0.278576786976858,0.14826400634257034,0.1260975078409863,82.22166337141053,0.19471334705237398,0.2738581886739607,0.08162165162692349,97.86828143012495,39032.26239583041,2.6563212115118318,452.8612975571265
23,23,71.3588,17.2557,67,22.0507,0,115,121,17,131,20,1.03469,67.9773,0.0,0.0,1.32143,3.262,13.63504,0.0,0.0,125.0,57.88745,0.00063,0.43,2.194,-1.0,0.291299,77982.20572837378,5.989679783950617,40.04809268904321,0.6746557720075703,0.22589329178516063,4.821907008413587,0.2247734679000801,0.18547617820560722,0.8911282352941177,146.66426260302285,0.218951335140467,0.2758902515369375,0.14873066233755458,0.12605062188896576,82.19424382552248,0.19503292298093305,0.2737059942412285,0.08163133402469766,98.06248211682839,38949.351753786796,2.1642009514631497,451.8181719569209
24,24,71.4733,17.0038,67,23.6795,0,115,121,17,131,20,1.02753,68.1324,0.0,0.0,2.14286,3.281,14.8238,0.0,0.0,125.0,57.95834,0.00069,0.43,2.33,0.17297,0.296962,77494.91717409506,5.923659336419753,39.7882920253424,0.6728731386853773,0.22589490962685843,4.808181400315885,0.22473901723236966,0.18521109899448254,0.8919282352941177,146.91212331388314,0.2172295492680674,0.2738952641727006,0.14853442868890054,0.12602159323519035,82.214419476946,0.19527835560719348,0.2737746186325734,0.08163817083319186,98.03123250465939,39091.470094272954,1.9460493168022492,450.80342535733416
25,25,70.7235,15.1459,67,21.5291,0,115,121,17,131,20,1.03035,67.45316,0.0,0.0,2.32143,3.26,14.60485,0.0,0.0,125.0,57.90221,0.00059,0.43,2.108,-1.0,0.307053,77596.26244132772,6.046344521604938,39.894904431001635,0.6728731386853758,0.225889201044058,4.717439145588991,0.22477004187760072,0.18496189728689552,0.8913741176470589,146.89747420855167,0.21487862539042227,0.27115022678310546,0.14822995335732955,0.1260712261248278,82.32122997612444,0.19572372460452234,0.2742880634232152,0.0816820743861158,95.5045903102273,37386.48290769742,1.9133372249178433,449.8637855216566
26,26,69.9247,14.4562,66,21.1254,0,115,121,17,131,20,1.03096,66.75751,0.0,0.0,3.39286,3.242,13.0084,0.0,0.0,125.0,57.86613,0.00057,0.43,2.142,-1.0,0.325362,77168.2352706609,6.0101755401234565,40.11371979890047,0.6706555126421437,0.22601117636238982,4.640528184653308,0.22469552363626727,0.1840280489905812,0.8926145098039215,147.0057274373474,0.21289047770367903,0.2690988008858245,0.1477932816351322,0.12602270549471417,82.34233358025664,0.1961011346040664,0.2732802659288343,0.08171050127496894,95.95578229358176,35420.43836557786,2.7106597452481593,448.9699249240464
27,27,69.5881,14.5608,66,19.4569,0,115,121,17,131,20,1.0289,66.48701,0.0,0.0,2.0,3.261,12.41735,0.0,0.0,125.0,58.00139,0.00057,0.43,1.916,-1.0,0.303206,77011.8602669098,6.515576774691358,40.04290959864487,0.6750907647286084,0.2258671441854175,4.624762794912602,0.22475396569526007,0.18320753970921477,0.8943152941176471,147.0720972860949,0.21048484684267446,0.2672373280751836,0.14794739327299253,0.1259580572649288,82.37502266966389,0.1964301651731557,0.27254231744339097,0.08169707180284329,97.98021025680157,34389.987509322025,2.206115695037089,448.0588570264213
28,28,69.4289,14.3961,66,20.503,0,115,121,17,131,20,1.03011,66.37957,0.0,0.0,0.92857,3.251,12.5043,0.0,0.0,125.0,57.92757,0.00071,0.43,1.979,-1.0,0.302509,76792.09635814217,7.228491512345679,39.917291335117675,0.6728731386853761,0.2257889377183283,4.669463051745375,0.22474245971792667,0.18314471757958914,0.8932062745098039,147.26165982812236,0.208647359031985,0.2655309676268091,0.14890477941287658,0.1259467628647532,82.3672912695826,0.1967374621021798,0.2712387317591075,0.08168966160430137,95.74966017539505,33798.505978502166,2.330555503783032,447.1754400131627
29,29,69.9653,14.5302,66,21.1377,0,115,121,17,131,20,1.03795,66.9291,0.0,0.0,0.89286,3.221,12.36316,0.0,0.0,125.0,57.80877,0.00056,0.43,2.132,-1.0,0.30974,76480.03432559664,8.091242283950617,39.69201923888407,0.675090764728616,0.22567035718939826,4.736205908956771,0.22464629161243868,0.18283166070223522,0.8935764705882353,147.2871176672857,0.20912199668006837,0.26340247818757184,0.1497160010309196,0.1259047733042413,82.27300652449402,0.1971454419803539,0.27067356229315365,0.0816657642816135,98.2213754097516,33851.93345598796,2.387235540598679,446.3833970980708
30,30,70.1635,13.8302,66,20.2522,0,115,121,17,131,20,1.04201,67.11308,0.0,0.0,0.60714,3.22,12.48194,0.0,0.0,125.0,57.92878,0.00064,0.43,1.989,-1.0,0.295508,76575.0443300361,8.444251543209877,39.86044160819348,0.672873138685377,0.2256315452918191,4.773952327000475,0.22467650717504833,0.18230606764383547,0.8960686274509804,147.33761387400818,0.20743039723884935,0.26094346745787483,0.15023190417811524,0.1259392391503077,82.23372796773367,0.1975657070298506,0.27049432177085286,0.08166270940841272,97.00710242431319,34373.25597170343,2.4250365183475213,445.6436081951558
31,31,70.2972,13.62,66,18.8393,0,115,121,17,131,20,1.02577,67.23743,0.0,0.0,1.21429,3.216,11.8828,0.0,0.0,125.0,57.93218,0.00069,0.43,2.271,-1.0,0.27754,76737.3102225382,7.76929012345679,39.85988193088107,0.6728731386853787,0.22559313635218786,4.749149195516574,0.22465383599025177,0.18200145045853075,0.8966576470588236,147.61041383859992,0.20550835067748435,0.2585432592619677,0.15141040209339304,0.12594114752295543,82.29513392386748,0.1977674284291343,0.27024437564752823,0.08166133492471316,95.75012710303069,34581.754078013444,2.9562173308500235,445.0355126886938
32,32,71.0352,13.594,67,18.8602,0,115,121,17,131,20,1.02703,67.93777,0.0,0.0,0.67857,3.202,11.70356,0.0,0.0,125.0,57.89716,0.0006,0.43,2.299,0.17425,0.283894,76863.65940481464,7.195264274691358,39.77010411392023,0.6789318057076659,0.22568468255072463,4.720743300548207,0.22467444966114117,0.18210751620146626,0.8980407843137255,147.75094182390876,0.20457475494587227,0.25659627361960347,0.15308095286018017,0.125938358611018,82.1006876267589,0.1980425196514618,0.2695134947348569,0.08167781045077416,96.09656218345856,35591.94297959444,3.0329304039156484,444.5782224430758
33,33,71.109,14.1716,67,19.8342,0,115,121,17,131,20,1.03922,67.99545,0.0,0.0,0.85714,3.192,11.68335,0.0,0.0,125.0,57.90053,0.0007,0.43,2.191,-1.0,0.296446,77080.02801001968,6.963734567901234,39.789167804482545,0.6773083907718377,0.2258112092126,4.71457622419719,0.22467005900481524,0.18223752975055466,0.8974560784313725,148.0294860535899,0.2039918788926165,0.2546237507027657,0.15508180827019563,0.12597073930819955,82.0863330863545,0.1982760376637319,0.2690255836346642,0.08168510178896868,96.08833289629123,36092.247616912224,3.1909311224297374,444.26289418370703
34,34,70.9882,14.5155,68,20.3169,0,115,121,17,131,20,1.03906,67.88682,0.0,0.0,0.78571,3.195,12.1739,0.0,0.0,125.0,57.79675,0.00069,0.43,2.294,-1.0,0.27161,77056.35472385239,7.039158950617284,39.85989511748891,0.6811494317509007,0.22589942747847647,4.754904317185196,0.22462633795396356,0.18217229072234445,0.8948807843137255,148.11871118583662,0.20428536093332259,0.2526882482007782,0.1561034850325333,0.1260030463694887,82.10672443136647,0.19851254136670837,0.26877483586207307,0.08163620585500439,98.13009986194919,36215.14235937213,3.2128824380153143,444.0084304087803
35,35,70.6424,14.2741,67,21.0927,0,115,121,17,131,20,1.02239,67.54936,0.0,0.0,0.42857,3.205,12.46963,0.0,0.0,125.0,57.68491,0.00061,0.43,2.372,-1.0,0.268152,76757.7013617956,7.1432773919753085,40.032995718496814,0.679526016815069,0.22598277367315933,4.779714814459303,0.22464586093596134,0.18221454155938324,0.8917619607843137,147.99710410408784,0.20365210392323235,0.25103259013510043,0.15666533725798343,0.12603932059967432,82.1727367358414,0.19881478287646284,0.268205692919385,0.0816409212494681,95.58840857897609,35404.61700235331,3.4696287752631623,443.82181969562515
36,36,69.8251,14.5083,67,20.7351,0,115,121,17,131,20,1.03702,66.86103,0.0,0.0,0.57143,3.222,12.2643,0.0,0.0,125.0,57.66521,0.00069,0.43,2.246,-1.0,0.281207,76485.26238810067,6.730034722222222,39.993418752411266,0.687208098773192,0.22611677555546225,4.840563932903769,0.22460557604542852,0.18180172904410669,0.8904917647058824,147.74681527869492,0.20315587256729079,0.24940361190286908,0.15667186744468067,0.12607577372666143,82.32711832778968,0.1990463164314734,0.26822458984542713,0.08162086208114028,95.95359667170504,34847.68615094981,3.030959705582784,443.6396880586038
37,37,69.2145,13.8313,67,20.2774,0,115,121,17,131,20,1.03637,66.32365,0.0,0.0,0.82143,3.214,12.46688,0.0,0.0,125.0,57.61118,0.00059,0.43,2.172,-1.0,0.273322,76597.28635339878,6.133150077160494,40.09124134205006,0.6910491397522581,0.22623399784592535,4.821558684107259,0.22445957439663727,0.1815971041254392,0.8892671960784312,147.7031363314656,0.2017696107235059,0.2479268499718287,0.1569253789013221,0.1260869033656396,82.42415015727538,0.19921440244145236,0.26826286935754623,0.08162644234481904,95.51996964793523,34214.944102909,2.86066122509258,443.4653593474816
38,38,68.895,13.3794,67,19.6545,0,115,121,17,131,20,1.0391,66.00237,0.0,0.0,1.28571,3.247,11.88214,0.0,0.0,125.0,57.55859,0.00066,0.43,2.172,-1.0,0.286525,76512.93608256991,5.584442515432099,40.04274570794753,0.6872080987732,0.22619983275000108,4.752932428837665,0.22419792645745865,0.1807567343817401,0.8868003921568628,147.55973355976946,0.20018401799895413,0.24659364142893384,0.15712621203628796,0.12612456437567335,82.47442820777397,0.19928989439862724,0.2688731819805273,0.08162913911455351,98.06033606801726,33866.38805518526,3.080060996591347,443.2272566392562
39,39,68.7783,13.1686,66,19.9315,0,115,121,17,131,20,1.04727,65.85427,0.0,0.0,0.60714,3.191,11.49359,0.0,0.0,125.0,57.62198,0.00075,0.43,2.35,-1.0,0.28717,76675.42022581703,5.727334104938271,40.087627081223474,0.690019935923818,0.226309572318668,4.710134669211598,0.2239984959793282,0.17997492775014268,0.8867706862745098,147.5597153379571,0.1989882475042223,0.2458855671355872,0.15749708325674633,0.1261416966508711,82.4510321758091,0.1994605881009084,0.26936555933590445,0.08166006653626207,95.39395456191146,34026.10150534259,2.5619291074973902,442.891847780187
40,40,69.0896,12.6547,66,20.0536,0,115,121,16,131,20,1.0434,66.12841,0.0,0.0,1.35714,3.197,11.3094,0.0,0.0,125.0,57.69294,0.00065,0.43,2.033,0.1713,0.310507,76800.51807995362,6.012683256172839,39.988195537049094,0.6894257248164194,0.22638097382411151,4.666990850043849,0.2238083305374262,0.1796342271381253,0.8868180392156862,147.22152655611987,0.19753656565085023,0.24554457844159458,0.1583874769778016,0.12611433915519343,82.42368678899541,0.19961970275693192,0.2698212449767092,0.08165502821006052,97.79795827163238,34133.781042780254,2.468332828165865,442.4861604769914
41,41,68.677,12.9583,66,18.4478,0,115,121,16,131,19,1.04359,65.75169,0.0,0.0,0.89286,3.22,10.8728,0.0,0.0,125.0,57.57247,0.00064,0.43,1.823,-1.0,0.303103,76569.40488963724,6.174864969135802,39.80963963638117,0.6839612689015292,0.22639866421371072,4.644310582672421,0.22356262624861922,0.17884491272135625,0.8853984313725489,147.4401832303173,0.19613069706028183,0.24529610756908385,0.1591765098493284,0.12612651448532358,82.50780528380723,0.19982903707659286,0.27043719211990436,0.08162671634681723,97.788991017822,33434.634633298076,2.7016776846585704,442.0927643685243
42,42,68.2759,12.6483,66,21.1375,0,115,121,16,131,19,1.03515,65.38941,0.0,0.0,0.57143,3.253,11.13361,0.0,0.0,125.0,57.5625,0.00076,0.43,1.893,-1.0,0.289027,76733.99869867352,6.237220293209877,39.74528917854215,0.685584683837353,0.22643472456656247,4.664373161884966,0.22344188207154045,0.17802925187768628,0.8852921568627451,147.65709928706963,0.1947644279386338,0.24457553097808385,0.15993181506754733,0.12610995452793972,82.59774855823382,0.20003103521668603,0.2710267561852178,0.0816230100002725,96.22765630910726,33016.27362200161,2.698750779350463,441.7254434605704
43,43,68.6552,12.4648,66,18.769,0,115,121,16,131,19,1.04342,65.70544,0.0,0.0,0.57143,3.244,10.86696,0.0,0.0,125.0,57.65491,0.00064,0.43,1.814,-1.0,0.299481,76614.43935042738,6.247781635802469,39.748265772690004,0.6795260168150724,0.22647351605620458,4.6400057392239145,0.22333587905433405,0.17735743363595635,0.8851435294117648,147.482250103827,0.19352547032057843,0.24387916205315913,0.16131520651817888,0.1260965267112176,82.49481687017172,0.20017635483597057,0.2717862387385395,0.0816079429008515,96.56170172620517,33401.84982364446,2.388819330601246,441.3468587466961
44,44,68.9849,13.1353,66,17.7896,0,115,121,17,130,19,1.0367,66.02636,0.0,0.0,0.32143,3.231,10.71038,0.0,0.0,125.0,57.62068,0.00063,0.43,2.103,-1.0,0.28246,76497.49281302905,6.4245273919753085,39.49471424244068,0.6795260168150684,0.22652429449488684,4.6389914084091854,0.22327531131376713,0.17675767703510534,0.883681568627451,147.88757637802195,0.19225472667257376,0.2430277262426162,0.16229872340233828,0.12608851999832052,82.5204573285209,0.20037192207995286,0.2729296298337589,0.08160577320625026,98.17126435253239,33407.03935601534,2.844389147034933,440.9544610607947
