,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubrow.0.3,tone,temporal,color_fulness,blockiness,uhdhdsim,cubrow.1.0,cubcol.1.0,staticness,cubrow.0,saturation,movement,noise,blur,fft,cubrow.0.5,cubrow.0.6,cubcol.0.5,contrast,cubcol.0.6,cubcol.0.3,cubcol.0
0,300,40.0952,21.0542,23,0.0,0,108,122,6,130,5,0.9882,37.92713,0.0,0.0,4.53571,8.572,0.0,0.0,0.0,125.0,36.4466,0.00038,0.3,2.288,0.0,3.348574,0.12012711428328095,0.5234286666666635,0.0,90.18794947370756,3.1263227746780773,97.28266562519595,0.09043536730995405,0.1177211679998626,315.4124566868646,0.05301950306200828,32.09849849748023,0.0,0.2553766628164585,10541.06400984972,63345.549815149425,0.08413376392643773,0.09078499901139948,0.04178248551669776,91.28306632858491,0.1409363110148597,0.08628388498671842,0.13534242044717715
1,301,40.2459,21.0286,23,26.5877,0,108,122,6,130,5,0.9968,38.0258,0.0,0.0,4.10714,8.618,18.06861,0.0,0.0,125.0,36.44983,0.00039,0.3,2.059,-1.0,3.312803,0.095014659167705,0.5230556862745099,6.206287621778311,90.46759200623302,2.9144883872425993,97.33770914791508,0.07539290084252104,0.08962985414576292,311.23259750116637,0.03986552873848079,32.132538783697434,15.244839891975309,0.2553766628164605,10672.603285950834,63306.788910820374,0.06473475504738282,0.06801737700908037,0.04376608040714172,86.66509706128572,0.1243656371936058,0.07226680386307154,0.1248099350762198
2,302,40.5354,21.0036,23,26.9969,0,108,122,6,130,5,0.98831,38.2808,0.0,0.0,4.75,8.65,18.04548,0.0,0.0,125.0,36.57846,0.00044,0.3,2.055,-1.0,3.274256,0.08913687057214419,0.5257203921568627,6.179954220642632,90.44369214604366,3.0651032381116887,97.26386556051169,0.07035259048305348,0.09443929586509889,307.0551422331451,0.03645091889699319,32.304357081283754,14.322964891975309,0.25921770379551984,10936.931434321896,63745.07003397294,0.0596291920980896,0.061333764293377384,0.04421414471602738,90.9875846609032,0.12128748849862817,0.06620165985436856,0.1282957122148613
3,303,40.6766,20.9578,23,27.1215,0,108,122,6,130,5,0.99783,38.39937,0.0,0.0,4.5,8.556,18.022,0.0,0.0,125.0,36.62389,0.00046,0.3,2.102,-1.0,3.370435,0.08689256457727847,0.5277879803921569,6.183054491171187,89.63824686379704,3.6486080225654436,97.15387422370227,0.06460356267185048,0.0927666142400621,302.58291647560173,0.03463683023184765,32.223699499059606,12.72950424382716,0.2553766628164575,10978.034720485583,63719.11561125447,0.05660883633084441,0.05852981056541386,0.04184737621740805,91.82207442698814,0.11848669783588806,0.058102547192484554,0.1279583904044594
4,304,40.6927,20.9056,23,24.9063,0,108,122,6,130,5,0.99581,38.40539,0.0,0.0,6.17857,8.505,17.98655,0.0,0.0,125.0,36.61786,0.00039,0.3,2.216,-1.0,3.357688,0.08447851185623131,0.5286019607843137,6.176528156197493,90.81877856124902,4.111833338315223,97.25498197041212,0.06132912530406135,0.09725090901190582,298.4038472054422,0.03353498488703893,32.307034339433834,11.336467978395062,0.2553766628164588,10947.06217320507,63747.15661906212,0.054408886687261536,0.05683506882421177,0.039324942328593855,89.85104680296496,0.11376931452882802,0.05545210541396658,0.12621787885641272
5,305,40.6749,20.8652,23,26.1121,0,108,122,6,130,5,1.0051,38.4032,0.0,0.0,3.21429,8.502,17.94383,0.0,0.0,125.0,36.71762,0.00051,0.3,2.177,-1.0,3.309886,0.0823977895272246,0.5326647058823529,6.175185140757623,90.0092762794554,2.519605740944137,97.20303789592039,0.059211546034719856,0.09836719783876975,294.7123053790764,0.032879630939898714,32.44660045482494,10.253327546296296,0.2553766628164584,10842.109208590475,63736.68451165465,0.053149019964269184,0.05689423653219159,0.037301499415394755,86.72169773750437,0.10773623321893645,0.05361436266062732,0.12645541334707897
6,306,40.9645,20.7402,23,29.2243,0,108,122,6,130,5,0.98937,38.66054,0.0,0.0,4.35714,8.477,17.9058,0.0,0.0,125.0,36.75546,0.00049,0.3,2.532,-1.0,3.333583,0.0819372829910854,0.5345219607843137,6.157964917499475,90.90120403934783,4.267271784092095,97.17387604941622,0.05700637032210271,0.09371396663797715,291.17201908600623,0.03220957856634125,32.28610342520255,9.454619984567902,0.25921770379552206,11169.174799922173,63786.66315950663,0.05207975549246429,0.056773070466156,0.035756426346156965,91.44752000699816,0.10476453640659263,0.05198149232691783,0.1287847689003594
7,307,41.2096,20.6572,23,25.0391,0,108,122,6,130,5,0.99248,38.88121,0.0,0.0,3.46429,8.399,17.79797,0.0,0.0,125.0,36.75848,0.00051,0.29,2.606,-1.0,3.332775,0.08164537593349526,0.5376933333333334,6.1445131716653965,91.84243577057171,3.610067114738479,97.05144714368527,0.0556518499074051,0.09046251825226194,287.8925085160145,0.031669947205235895,32.32132278254003,8.52758487654321,0.25921770379552145,11403.707039178244,63964.55641941133,0.05108658359522489,0.054910158088499306,0.03492768374199619,88.55631242831801,0.10202526988187227,0.05109355293562688,0.12880649595222438
8,308,41.3175,20.6075,23,24.8495,0,108,122,5,130,5,0.98432,38.96696,0.0,0.0,3.46429,8.314,17.73069,0.0,0.0,125.0,36.92016,0.00054,0.3,2.947,0.39622,3.275193,0.08084411777803018,0.5410918431372531,6.120702555667001,91.73744948590766,3.2260610961304526,97.02272120282947,0.05442462425234093,0.090833550278876,284.96067025394717,0.03135443099375283,32.31174553765191,7.82764274691358,0.26143532983874845,11486.85729154515,63956.47382172706,0.05019181594984108,0.05375634949344577,0.03601572581697663,91.50529627597811,0.09768486551764688,0.051420370806111046,0.13216591378037607
9,309,41.3928,20.6483,24,26.2263,0,108,122,5,130,5,1.00511,39.03727,0.0,0.0,3.64286,8.278,17.68687,0.0,0.0,125.0,36.98447,0.00045,0.3,2.847,-1.0,3.186507,0.08006057122591574,0.5430360784313725,6.112274273774002,91.90553228260931,3.051957294868274,96.99384223041565,0.053659165971995944,0.09043146540119426,282.0448490467696,0.0310035259012514,32.07783301082658,7.347800925925926,0.2592177037955221,11595.48339453566,64050.91921205609,0.04957146348230827,0.0531291126719108,0.046530002437818296,91.51906128867732,0.09697337446739354,0.05131224967792031,0.1345791092488746
