,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubcol.0.3,noise,contrast,cubcol.0,temporal,cubrow.1.0,blockiness,tone,cubrow.0.3,fft,cubrow.0,staticness,uhdhdsim,saturation,blur,cubrow.0.5,cubrow.0.6,cubcol.1.0,cubcol.0.5,color_fulness,cubcol.0.6,movement
0,200,65.649,8.21434,30,0.0,0,106,131,7,125,5,0.98948,58.69266,0.0,0.0,3.35714,3.926,0.0,0.0,0.0,126.0,59.73891,0.00041,0.29,1.411,0.0,7.666944,0.07675212314317613,0.20187786344424938,93.24158408209114,0.0077111179165379054,0.0,0.105821184491067,1.6728349840140546,0.8551698039215687,0.2646459742174185,70720.35792126934,0.10267212236643813,534.4812060735948,89.44942528311499,31.286401254159436,60601.45428398874,0.1475696401244622,0.13715716910006723,0.00822898156253594,0.22001238360221606,160.17947544585883,0.22127619749702818,0.0
1,201,65.6722,7.54648,30,5.31106,0,106,131,7,125,5,0.98402,58.70802,0.0,0.0,3.82143,3.958,7.04161,0.0,0.0,126.0,59.83221,0.0004,0.29,1.517,-1.0,7.560518,0.06242480418261429,0.20793653046653768,93.51536426609259,0.006134438510893618,2.301422870454768,0.1031213800064407,1.9204630508706357,0.855667843137255,0.26138913560923766,70648.41631907265,0.10203009262551324,534.1911230857692,89.4709756260699,31.411856003749516,60678.014370351084,0.14550200590046955,0.13588306215331583,0.006377405307849899,0.22054308318738433,161.89329791246496,0.22056269581291138,1.138695987654321
2,202,65.6919,6.70801,30,5.029,0,106,131,7,125,5,0.9833,58.72278,0.0,0.0,3.28571,3.951,6.46562,0.0,0.0,126.0,59.80975,0.00042,0.29,1.384,-1.0,7.60155,0.05782746006818019,0.2018778634442484,91.33174855132724,0.005756453848296241,2.2133277583644277,0.10098362130728072,1.767865416121114,0.8551698039215687,0.2604501708300319,70755.10017777742,0.10222508099713604,533.012973700263,89.4663497899222,31.30150971589265,60759.30519392979,0.14515100283777296,0.13513137354848287,0.006209384056428093,0.21987016399199685,160.27033361911523,0.22085258769220123,0.8051215277777778
3,203,65.6581,6.15967,30,4.63478,0,106,131,7,125,5,0.98668,58.6965,0.0,0.0,3.39286,3.943,5.74477,0.0,0.0,126.0,59.71761,0.00042,0.28,1.524,-1.0,7.526493,0.055207536733070516,0.2040954894874766,93.95872159278859,0.005544760232900885,2.135604741792995,0.09846924598953206,1.7171681874000855,0.8545737254901962,0.2597095842183773,70640.12403661794,0.10227616298497026,532.4005251548399,89.43751348520783,31.513794510452836,60584.06063300687,0.14500231610468414,0.13496301886461856,0.005901284876336141,0.21992473373255134,161.48098293162158,0.2204307474242373,0.5730131172839507
4,204,65.6343,5.54724,30,4.24186,0,106,131,7,125,5,0.98458,58.66239,0.0,0.0,3.21429,3.936,5.27278,0.0,0.0,126.0,59.59381,0.00042,0.28,1.418,-1.0,7.565542,0.053475529567947,0.20571890442331134,92.21294404661282,0.005349094631868009,2.065306498716831,0.09795026249018625,1.8259187708485436,0.8529972549019609,0.25953844435859236,70647.84969936384,0.10163190771791109,531.5342625962414,89.4442734271724,31.36137691544898,60462.11689041063,0.14473170622640222,0.13474910904286372,0.005754783280213658,0.2197271156085264,160.2955105913855,0.2203921563311213,0.4305555555555556
5,205,65.7104,4.54886,30,4.3845,0,106,131,7,125,5,0.98944,58.74698,0.0,0.0,3.35714,3.922,4.74853,0.0,0.0,126.0,59.56809,0.00042,0.29,1.605,-1.0,7.47126,0.052732302690903954,0.2079365304665417,93.24902724443469,0.005407662672580394,2.0132722555325495,0.09841493200060025,1.7886088274361083,0.8532274509803923,0.2595976608181603,70860.8133680898,0.1017289994564844,530.9599506733665,89.4177722115475,31.554937103648246,60644.942569054074,0.1445395058035913,0.1349136381122593,0.005620641700815064,0.2195092304026407,161.38273649536472,0.22024936146869048,0.3404706790123457
6,206,65.6358,3.29749,30,3.88619,0,106,131,7,125,5,0.98954,58.68202,0.0,0.0,3.0,3.941,3.87934,0.0,0.0,126.0,59.50661,0.00039,0.28,1.392,-1.0,7.476559,0.05275717714766101,0.20409548948747988,91.21283260367419,0.005300267779806061,1.959048168720273,0.09847403397053733,1.6926019597759117,0.8529525490196079,0.2593578294366797,70786.24854617675,0.10159955665596165,530.3121432854449,89.4418436411366,31.52799498004678,60503.98635561923,0.1446332014921985,0.1349075809441647,0.005609691387176894,0.21942899880501168,160.901225203615,0.22002402400435753,0.2667824074074074
7,207,65.7472,2.56907,30,3.93834,0,106,131,7,125,5,0.98502,58.77408,0.0,0.0,3.32143,3.883,2.79626,0.0,0.0,126.0,59.55755,0.00041,0.29,1.488,-1.0,7.398216,0.052935213006558464,0.20571890442331284,93.79634688011473,0.005365195039048383,1.9256538742370597,0.09815356950094109,1.7962551001090434,0.8529525490196079,0.2593418376877762,70895.89218669414,0.10158355055305389,529.9595775101668,89.43035451219734,31.594045003255207,60784.35471921015,0.14441326326792064,0.13512866154923256,0.005584229461752565,0.21968658017109055,161.4525480178351,0.2203367059871099,0.19984567901234568
8,208,65.7241,2.4403,30,3.49439,0,106,131,7,125,5,0.97902,58.77538,0.0,0.0,3.53571,3.878,2.15781,0.0,0.0,126.0,59.56288,0.00041,0.28,1.455,0.45628,7.419554,0.055118944632314544,0.2079365304665403,93.27495775377729,0.005352920584348264,1.8767519678468096,0.09905762060762602,1.577504228071631,0.8526619607843138,0.25953351547274206,70798.81574914587,0.10164652119358947,529.5565621213018,89.42858166573849,31.519443653247976,60700.33664571614,0.14432235716077052,0.13532239848839162,0.005614341074971514,0.2198778711535807,161.17617671133186,0.22135675649348022,0.1697048611111111
9,209,65.8124,2.47923,30,3.33252,0,106,131,7,125,5,0.9769,58.84055,0.0,0.0,3.35714,3.895,2.04553,0.0,0.0,126.0,59.63434,0.00047,0.28,1.402,-1.0,7.372903,0.05830977689418575,0.20793653046654068,93.19722443816227,0.005378106834948307,1.846216526913615,0.09983495516936433,1.7586462951428152,0.8532203921568629,0.2593278890782772,70813.94952445023,0.10171380806648811,529.3678065926783,89.40342196883745,31.536751829547647,60853.58532278824,0.14434438496155194,0.13586866938087905,0.005586462710246757,0.2199804753583039,160.8706391541118,0.22293336606118452,0.15475501543209877
