crf	TP	FP	FN	total	precision	recall
10	497	88	341	585	0.8495726495726496	0.5930787589498807
12	507	86	331	593	0.8549747048903878	0.6050119331742243
14	498	74	340	572	0.8706293706293706	0.594272076372315
16	491	75	347	566	0.8674911660777385	0.5859188544152745
18	492	80	346	572	0.8601398601398601	0.5871121718377088
20	486	81	352	567	0.8571428571428571	0.5799522673031027
22	486	81	352	567	0.8571428571428571	0.5799522673031027
24	495	79	343	574	0.8623693379790941	0.5906921241050119
26	496	87	342	583	0.8507718696397941	0.5918854415274463
28	494	78	344	572	0.8636363636363636	0.5894988066825776
30	486	81	352	567	0.8571428571428571	0.5799522673031027
32	494	69	344	563	0.8774422735346359	0.5894988066825776
34	477	81	361	558	0.8548387096774194	0.5692124105011933
36	448	80	390	528	0.8484848484848485	0.5346062052505967
38	456	76	382	532	0.8571428571428571	0.5441527446300716
40	409	85	429	494	0.8279352226720648	0.4880668257756563
42	383	78	455	461	0.8308026030368764	0.45704057279236276
