crf	TP	FP	FN	total	precision	recall
10	28	192	272	220	0.12727272727272726	0.09333333333333334
12	28	192	272	220	0.12727272727272726	0.09333333333333334
14	28	194	272	222	0.12612612612612611	0.09333333333333334
16	28	191	272	219	0.1278538812785388	0.09333333333333334
18	29	183	271	212	0.13679245283018868	0.09666666666666666
20	27	190	273	217	0.12442396313364056	0.09
22	29	190	271	219	0.1324200913242009	0.09666666666666666
24	30	189	270	219	0.136986301369863	0.1
26	26	190	274	216	0.12037037037037036	0.08666666666666667
28	26	188	274	214	0.12149532710280374	0.08666666666666667
30	25	183	275	208	0.1201923076923077	0.08333333333333333
32	22	204	278	226	0.09734513274336283	0.07333333333333333
34	28	182	272	210	0.13333333333333333	0.09333333333333334
36	28	187	272	215	0.13023255813953488	0.09333333333333334
38	30	179	270	209	0.14354066985645933	0.1
40	30	176	270	206	0.14563106796116504	0.1
42	32	159	268	191	0.16753926701570682	0.10666666666666667
