crf	TP	FP	FN	total	precision	recall
10	191	35	87	226	0.8451327433628318	0.6870503597122302
12	191	35	87	226	0.8451327433628318	0.6870503597122302
14	189	35	89	224	0.84375	0.6798561151079137
16	187	36	91	223	0.8385650224215246	0.6726618705035972
18	185	32	93	217	0.8525345622119815	0.6654676258992805
20	188	30	90	218	0.8623853211009175	0.6762589928057554
22	187	27	91	214	0.8738317757009346	0.6726618705035972
24	190	25	88	215	0.8837209302325582	0.6834532374100719
26	181	32	97	213	0.8497652582159625	0.6510791366906474
28	188	23	90	211	0.8909952606635071	0.6762589928057554
30	190	10	88	200	0.95	0.6834532374100719
32	189	11	89	200	0.945	0.6798561151079137
34	189	11	89	200	0.945	0.6798561151079137
36	169	13	109	182	0.9285714285714286	0.6079136690647482
38	179	16	99	195	0.9179487179487179	0.6438848920863309
40	148	12	130	160	0.925	0.5323741007194245
42	133	21	145	154	0.8636363636363636	0.4784172661870504
