crf	TP	FP	FN	total	precision	recall
10	1293	534	9853	1827	0.7077175697865353	0.11600574197021353
12	1293	532	9853	1825	0.7084931506849315	0.11600574197021353
14	1296	534	9850	1830	0.7081967213114754	0.11627489682397273
16	1298	529	9848	1827	0.7104542966611932	0.11645433339314552
18	1284	538	9862	1822	0.7047200878155873	0.11519827740893594
20	1286	529	9860	1815	0.7085399449035813	0.11537771397810874
22	1274	519	9872	1793	0.7105409927495817	0.11430109456307196
24	1280	509	9866	1789	0.7154835103409726	0.11483940427059035
26	1297	515	9849	1812	0.7157836644591612	0.11636461510855912
28	1247	527	9899	1774	0.7029312288613303	0.11187870087923919
30	1248	503	9898	1751	0.7127355796687607	0.11196841916382559
32	1283	557	9863	1840	0.6972826086956522	0.11510855912434954
34	1251	499	9895	1750	0.7148571428571429	0.11223757401758479
36	1203	491	9943	1694	0.7101534828807556	0.10793109635743764
38	1129	428	10017	1557	0.7251123956326269	0.10129194329804414
40	1022	353	10124	1375	0.7432727272727273	0.09169208684729949
42	998	344	10148	1342	0.7436661698956781	0.0895388480172259
