crf	TP	FP	FN	total	precision	recall
10	219	11	-19	230	0.9521739130434783	1.095
12	224	9	-24	233	0.9613733905579399	1.12
14	223	9	-23	232	0.9612068965517241	1.115
16	226	6	-26	232	0.9741379310344828	1.13
18	228	9	-28	237	0.9620253164556962	1.14
20	220	4	-20	224	0.9821428571428571	1.1
22	225	6	-25	231	0.974025974025974	1.125
24	236	4	-36	240	0.9833333333333333	1.18
26	226	11	-26	237	0.9535864978902954	1.13
28	235	11	-35	246	0.9552845528455285	1.175
30	239	6	-39	245	0.9755102040816327	1.195
32	248	8	-48	256	0.96875	1.24
34	234	8	-34	242	0.9669421487603306	1.17
36	232	7	-32	239	0.9707112970711297	1.16
38	213	8	-13	221	0.9638009049773756	1.065
40	195	4	5	199	0.9798994974874372	0.975
42	173	3	27	176	0.9829545454545454	0.865
