crf	TP	FP	FN	total	precision	recall
10	47	650	1151	697	0.06743185078909612	0.03923205342237062
12	45	654	1153	699	0.06437768240343347	0.037562604340567615
14	45	646	1153	691	0.06512301013024602	0.037562604340567615
16	44	630	1154	674	0.06528189910979229	0.03672787979966611
18	44	641	1154	685	0.06423357664233577	0.03672787979966611
20	42	650	1156	692	0.06069364161849711	0.035058430717863104
22	40	646	1158	686	0.05830903790087463	0.0333889816360601
24	43	639	1155	682	0.06304985337243402	0.03589315525876461
26	41	629	1157	670	0.06119402985074627	0.034223706176961605
28	36	643	1162	679	0.053019145802650956	0.03005008347245409
30	39	618	1159	657	0.0593607305936073	0.0325542570951586
32	37	572	1161	609	0.060755336617405585	0.030884808013355594
34	23	568	1175	591	0.038917089678511	0.019198664440734557
36	22	504	1176	526	0.04182509505703422	0.018363939899833055
38	16	440	1182	456	0.03508771929824561	0.01335559265442404
40	13	359	1185	372	0.03494623655913978	0.010851419031719533
42	6	245	1192	251	0.02390438247011952	0.005008347245409015
