crf	TP	FP	FN	total	precision	recall
10	1649	430	13792	2079	0.7931697931697932	0.10679360145068324
12	1658	444	13783	2102	0.7887725975261656	0.10737646525484101
14	1643	438	13798	2081	0.7895242671792407	0.10640502558124473
16	1647	444	13794	2091	0.787661406025825	0.10666407616087041
18	1651	439	13790	2090	0.7899521531100478	0.10692312674049609
20	1615	434	13826	2049	0.7881893606637385	0.10459167152386503
22	1649	439	13792	2088	0.7897509578544061	0.10679360145068324
24	1605	421	13836	2026	0.7922013820335637	0.10394404507480086
26	1597	401	13844	1998	0.7992992992992993	0.10342594391554952
28	1531	428	13910	1959	0.7815211842776927	0.09915160935172593
30	1515	381	13926	1896	0.7990506329113924	0.09811540703322323
32	1438	361	14003	1799	0.7993329627570873	0.09312868337542905
34	1431	343	14010	1774	0.8066516347237881	0.09267534486108413
36	1323	319	14118	1642	0.8057247259439708	0.08568097921119099
38	1191	297	14250	1488	0.8004032258064516	0.0771323100835438
40	1083	285	14358	1368	0.7916666666666666	0.07013794443365066
42	913	240	14528	1153	0.7918473547267997	0.05912829479955961
