crf	TP	FP	FN	total	precision	recall
10	325	66	1247	391	0.8312020460358056	0.20674300254452926
12	322	66	1250	388	0.8298969072164949	0.20483460559796438
14	320	66	1252	386	0.8290155440414507	0.2035623409669211
16	325	64	1247	389	0.8354755784061697	0.20674300254452926
18	331	65	1241	396	0.8358585858585859	0.21055979643765904
20	334	66	1238	400	0.835	0.21246819338422393
22	323	65	1249	388	0.8324742268041238	0.205470737913486
24	335	66	1237	401	0.8354114713216958	0.21310432569974555
26	335	65	1237	400	0.8375	0.21310432569974555
28	336	68	1236	404	0.8316831683168316	0.21374045801526717
30	332	65	1240	397	0.836272040302267	0.21119592875318066
32	306	67	1266	373	0.8203753351206434	0.1946564885496183
34	333	152	1239	485	0.6865979381443299	0.21183206106870228
36	269	69	1303	338	0.7958579881656804	0.17111959287531806
38	256	130	1316	386	0.6632124352331606	0.1628498727735369
40	208	235	1364	443	0.46952595936794583	0.13231552162849872
42	248	160	1324	408	0.6078431372549019	0.15776081424936386
