crf	TP	FP	FN	total	precision	recall
10	24	1170	4103	1194	0.020100502512562814	0.005815362248606736
12	20	1191	4107	1211	0.016515276630883566	0.00484613520717228
14	21	1172	4106	1193	0.01760268231349539	0.005088441967530894
16	23	1168	4104	1191	0.019311502938706968	0.005573055488248122
18	23	1173	4104	1196	0.019230769230769232	0.005573055488248122
20	18	1113	4109	1131	0.015915119363395226	0.004361521686455052
22	16	1092	4111	1108	0.01444043321299639	0.003876908165737824
24	17	1050	4110	1067	0.015932521087160263	0.004119214926096438
26	15	1040	4112	1055	0.014218009478672985	0.00363460140537921
28	23	1022	4104	1045	0.02200956937799043	0.005573055488248122
30	20	951	4107	971	0.02059732234809475	0.00484613520717228
32	17	798	4110	815	0.020858895705521473	0.004119214926096438
34	20	770	4107	790	0.02531645569620253	0.00484613520717228
36	27	561	4100	588	0.04591836734693878	0.006542282529682578
38	14	395	4113	409	0.034229828850855744	0.003392294645020596
40	25	247	4102	272	0.09191176470588236	0.00605766900896535
42	14	174	4113	188	0.07446808510638298	0.003392294645020596
