crf	TP	FP	FN	total	precision	recall
10	55	41	45	96	0.5729166666666666	0.55
12	54	52	46	106	0.5094339622641509	0.54
14	58	44	42	102	0.5686274509803921	0.58
16	56	44	44	100	0.56	0.56
18	53	49	47	102	0.5196078431372549	0.53
20	57	47	43	104	0.5480769230769231	0.57
22	58	49	42	107	0.5420560747663551	0.58
24	53	60	47	113	0.4690265486725664	0.53
26	59	45	41	104	0.5673076923076923	0.59
28	55	45	45	100	0.55	0.55
30	55	51	45	106	0.5188679245283019	0.55
32	57	38	43	95	0.6	0.57
34	52	62	48	114	0.45614035087719296	0.52
36	53	43	47	96	0.5520833333333334	0.53
38	32	57	68	89	0.3595505617977528	0.32
40	39	31	61	70	0.5571428571428572	0.39
42	22	34	78	56	0.39285714285714285	0.22
