crf	TP	FP	FN	total	precision	recall
10	13	481	575	494	0.02631578947368421	0.022108843537414966
12	8	456	580	464	0.017241379310344827	0.013605442176870748
14	13	464	575	477	0.027253668763102725	0.022108843537414966
16	10	467	578	477	0.020964360587002098	0.017006802721088437
18	15	455	573	470	0.031914893617021274	0.025510204081632654
20	10	443	578	453	0.02207505518763797	0.017006802721088437
22	12	444	576	456	0.02631578947368421	0.02040816326530612
24	9	426	579	435	0.020689655172413793	0.015306122448979591
26	12	394	576	406	0.029556650246305417	0.02040816326530612
28	12	384	576	396	0.030303030303030304	0.02040816326530612
30	13	366	575	379	0.03430079155672823	0.022108843537414966
32	11	334	577	345	0.03188405797101449	0.01870748299319728
34	5	333	583	338	0.014792899408284023	0.008503401360544218
36	7	274	581	281	0.02491103202846975	0.011904761904761904
38	6	206	582	212	0.02830188679245283	0.01020408163265306
40	3	139	585	142	0.02112676056338028	0.00510204081632653
42	0	71	588	71	0.0	0.0
