crf	TP	FP	FN	total	precision	recall
10	1741	502	13700	2243	0.7761925991975034	0.1127517647820737
12	1739	509	13702	2248	0.7735765124555161	0.11262223949226087
14	1757	492	13684	2249	0.7812361049355269	0.11378796710057638
16	1756	504	13685	2260	0.7769911504424779	0.11372320445566997
18	1754	501	13687	2255	0.7778270509977827	0.11359367916585714
20	1730	482	13711	2212	0.7820976491862568	0.1120393756881031
22	1720	475	13721	2195	0.7835990888382688	0.11139174923903893
24	1696	474	13745	2170	0.7815668202764977	0.10983744576128489
26	1660	468	13781	2128	0.7800751879699248	0.10750599054465385
28	1637	443	13804	2080	0.7870192307692307	0.10601644971180622
30	1579	406	13862	1985	0.7954659949622166	0.10226021630723399
32	1509	404	13932	1913	0.788813382122321	0.09772683116378474
34	1408	351	14033	1759	0.8004548038658329	0.09118580402823652
36	1279	327	14162	1606	0.7963885429638854	0.08283142283530859
38	1147	314	14294	1461	0.78507871321013	0.07428275370766142
40	993	278	14448	1271	0.7812745869394178	0.06430930639207305
42	814	241	14627	1055	0.771563981042654	0.05271679295382423
