crf	TP	FP	FN	total	precision	recall
10	9	604	807	613	0.01468189233278956	0.011029411764705883
12	10	606	806	616	0.016233766233766232	0.012254901960784314
14	13	614	803	627	0.02073365231259968	0.015931372549019607
16	10	599	806	609	0.016420361247947456	0.012254901960784314
18	9	598	807	607	0.014827018121911038	0.011029411764705883
20	10	588	806	598	0.016722408026755852	0.012254901960784314
22	9	599	807	608	0.014802631578947368	0.011029411764705883
24	6	591	810	597	0.010050251256281407	0.007352941176470588
26	5	593	811	598	0.008361204013377926	0.006127450980392157
28	5	607	811	612	0.008169934640522876	0.006127450980392157
30	8	573	808	581	0.013769363166953529	0.00980392156862745
32	9	551	807	560	0.01607142857142857	0.011029411764705883
34	2	491	814	493	0.004056795131845842	0.0024509803921568627
36	3	431	813	434	0.0069124423963133645	0.003676470588235294
38	2	300	814	302	0.006622516556291391	0.0024509803921568627
40	3	263	813	266	0.011278195488721804	0.003676470588235294
42	0	108	816	108	0.0	0.0
