crf	TP	FP	FN	total	precision	recall
10	24	1306	1906	1330	0.01804511278195489	0.012435233160621761
12	23	1302	1907	1325	0.017358490566037735	0.011917098445595855
14	24	1295	1906	1319	0.01819560272934041	0.012435233160621761
16	21	1293	1909	1314	0.01598173515981735	0.010880829015544042
18	20	1275	1910	1295	0.015444015444015444	0.010362694300518135
20	24	1282	1906	1306	0.018376722817764167	0.012435233160621761
22	23	1246	1907	1269	0.018124507486209612	0.011917098445595855
24	21	1231	1909	1252	0.016773162939297124	0.010880829015544042
26	28	1198	1902	1226	0.022838499184339316	0.014507772020725389
28	30	1168	1900	1198	0.025041736227045076	0.015544041450777202
30	21	1158	1909	1179	0.017811704834605598	0.010880829015544042
32	28	1130	1902	1158	0.024179620034542316	0.014507772020725389
34	24	1075	1906	1099	0.02183803457688808	0.012435233160621761
36	22	1038	1908	1060	0.020754716981132074	0.011398963730569948
38	38	940	1892	978	0.03885480572597137	0.019689119170984457
40	25	922	1905	947	0.026399155227032733	0.012953367875647668
42	26	867	1904	893	0.029115341545352745	0.013471502590673576
