crf	TP	FP	FN	total	precision	recall
10	535	375	565	910	0.5879120879120879	0.4863636363636364
12	529	380	571	909	0.581958195819582	0.4809090909090909
14	529	388	571	917	0.5768811341330425	0.4809090909090909
16	528	382	572	910	0.5802197802197803	0.48
18	539	369	561	908	0.5936123348017621	0.49
20	527	366	573	893	0.5901455767077267	0.47909090909090907
22	519	389	581	908	0.5715859030837004	0.4718181818181818
24	464	374	636	838	0.5536992840095465	0.4218181818181818
26	455	300	645	755	0.6026490066225165	0.41363636363636364
28	421	336	679	757	0.5561426684280053	0.38272727272727275
30	404	342	696	746	0.5415549597855228	0.36727272727272725
32	470	276	630	746	0.6300268096514745	0.42727272727272725
34	378	303	722	681	0.5550660792951542	0.34363636363636363
36	319	171	781	490	0.6510204081632653	0.29
38	465	142	635	607	0.7660626029654036	0.42272727272727273
40	338	125	762	463	0.7300215982721382	0.30727272727272725
42	319	110	781	429	0.7435897435897436	0.29
