crf	TP	FP	FN	total	precision	recall
10	591	368	509	959	0.616266944734098	0.5372727272727272
12	570	364	530	934	0.6102783725910065	0.5181818181818182
14	556	395	544	951	0.5846477392218717	0.5054545454545455
16	568	419	532	987	0.5754812563323202	0.5163636363636364
18	565	411	535	976	0.5788934426229508	0.5136363636363637
20	503	371	597	874	0.5755148741418764	0.4572727272727273
22	499	406	601	905	0.5513812154696133	0.4536363636363636
24	448	361	652	809	0.553770086526576	0.4072727272727273
26	554	426	546	980	0.5653061224489796	0.5036363636363637
28	552	286	548	838	0.6587112171837709	0.5018181818181818
30	379	342	721	721	0.5256588072122053	0.34454545454545454
32	548	285	552	833	0.6578631452581032	0.49818181818181817
34	432	256	668	688	0.627906976744186	0.3927272727272727
36	405	269	695	674	0.6008902077151336	0.36818181818181817
38	300	347	800	647	0.46367851622874806	0.2727272727272727
40	312	127	788	439	0.7107061503416856	0.28363636363636363
42	386	180	714	566	0.6819787985865724	0.3509090909090909
