crf	TP	FP	FN	total	precision	recall
10	41	3	59	44	0.9318181818181818	0.41
12	40	5	60	45	0.8888888888888888	0.4
14	39	5	61	44	0.8863636363636364	0.39
16	41	5	59	46	0.8913043478260869	0.41
18	36	7	64	43	0.8372093023255814	0.36
20	35	6	65	41	0.8536585365853658	0.35
22	36	5	64	41	0.8780487804878049	0.36
24	33	2	67	35	0.9428571428571428	0.33
26	33	3	67	36	0.9166666666666666	0.33
28	18	10	82	28	0.6428571428571429	0.18
30	27	3	73	30	0.9	0.27
32	31	5	69	36	0.8611111111111112	0.31
34	36	3	64	39	0.9230769230769231	0.36
36	38	1	62	39	0.9743589743589743	0.38
38	41	1	59	42	0.9761904761904762	0.41
40	34	3	66	37	0.918918918918919	0.34
42	3	1	97	4	0.75	0.03
