crf	TP	FP	FN	total	precision	recall
10	418	44	167	462	0.9047619047619048	0.7145299145299145
12	417	45	168	462	0.9025974025974026	0.7128205128205128
14	412	43	173	455	0.9054945054945055	0.7042735042735043
16	413	42	172	455	0.9076923076923077	0.705982905982906
18	420	37	165	457	0.9190371991247265	0.717948717948718
20	407	43	178	450	0.9044444444444445	0.6957264957264957
22	421	40	164	461	0.913232104121475	0.7196581196581197
24	413	40	172	453	0.9116997792494481	0.705982905982906
26	406	33	179	439	0.9248291571753986	0.694017094017094
28	403	33	182	436	0.9243119266055045	0.6888888888888889
30	397	29	188	426	0.931924882629108	0.6786324786324787
32	416	34	169	450	0.9244444444444444	0.7111111111111111
34	381	21	204	402	0.9477611940298507	0.6512820512820513
36	382	24	203	406	0.9408866995073891	0.652991452991453
38	362	15	223	377	0.9602122015915119	0.6188034188034188
40	330	12	255	342	0.9649122807017544	0.5641025641025641
42	220	3	365	223	0.9865470852017937	0.37606837606837606
