crf	TP	FP	FN	total	precision	recall
10	46	475	963	521	0.08829174664107485	0.04558969276511397
12	44	462	965	506	0.08695652173913043	0.04360753221010902
14	41	464	968	505	0.08118811881188119	0.040634291377601585
16	37	451	972	488	0.07581967213114754	0.036669970267591674
18	44	440	965	484	0.09090909090909091	0.04360753221010902
20	34	434	975	468	0.07264957264957266	0.03369672943508424
22	43	431	966	474	0.09071729957805907	0.04261645193260654
24	38	421	971	459	0.08278867102396514	0.03766105054509415
26	34	402	975	436	0.0779816513761468	0.03369672943508424
28	30	373	979	403	0.07444168734491315	0.02973240832507433
30	32	374	977	406	0.07881773399014778	0.031714568880079286
32	31	361	978	392	0.07908163265306123	0.030723488602576808
34	30	301	979	331	0.09063444108761329	0.02973240832507433
36	17	271	992	288	0.059027777777777776	0.01684836471754212
38	10	247	999	257	0.038910505836575876	0.009910802775024777
40	1	144	1008	145	0.006896551724137931	0.0009910802775024777
42	2	90	1007	92	0.021739130434782608	0.0019821605550049554
