crf	TP	FP	FN	total	precision	recall
10	22	631	761	653	0.033690658499234305	0.0280970625798212
12	21	628	762	649	0.032357473035439135	0.02681992337164751
14	19	631	764	650	0.02923076923076923	0.024265644955300127
16	19	616	764	635	0.029921259842519685	0.024265644955300127
18	23	635	760	658	0.034954407294832825	0.02937420178799489
20	19	617	764	636	0.029874213836477988	0.024265644955300127
22	18	621	765	639	0.028169014084507043	0.022988505747126436
24	20	609	763	629	0.03179650238473768	0.02554278416347382
26	20	628	763	648	0.030864197530864196	0.02554278416347382
28	23	600	760	623	0.03691813804173355	0.02937420178799489
30	23	600	760	623	0.03691813804173355	0.02937420178799489
32	19	606	764	625	0.0304	0.024265644955300127
34	12	571	771	583	0.02058319039451115	0.01532567049808429
36	18	544	765	562	0.03202846975088968	0.022988505747126436
38	13	531	770	544	0.02389705882352941	0.016602809706257982
40	1	488	782	489	0.002044989775051125	0.001277139208173691
42	0	470	783	470	0.0	0.0
