crf	TP	FP	FN	total	precision	recall
10	400	60	554	460	0.8695652173913043	0.4192872117400419
12	395	55	559	450	0.8777777777777778	0.4140461215932914
14	396	50	558	446	0.8878923766816144	0.41509433962264153
16	389	56	565	445	0.8741573033707866	0.4077568134171908
18	391	52	563	443	0.8826185101580135	0.40985324947589097
20	382	54	572	436	0.8761467889908257	0.40041928721174
22	369	53	585	422	0.8744075829383886	0.3867924528301887
24	378	54	576	432	0.875	0.39622641509433965
26	357	40	597	397	0.8992443324937027	0.3742138364779874
28	329	54	625	383	0.8590078328981723	0.3448637316561845
30	302	54	652	356	0.848314606741573	0.3165618448637317
32	280	55	674	335	0.835820895522388	0.29350104821802936
34	253	53	701	306	0.826797385620915	0.26519916142557654
36	198	44	756	242	0.8181818181818182	0.20754716981132076
38	144	50	810	194	0.7422680412371134	0.1509433962264151
40	96	35	858	131	0.732824427480916	0.10062893081761007
42	45	22	909	67	0.6716417910447762	0.04716981132075472
