crf	TP	FP	FN	total	precision	recall
10	1323	560	9823	1883	0.7026022304832714	0.11869729050780549
12	1338	556	9808	1894	0.706441393875396	0.12004306477660147
14	1321	559	9825	1880	0.7026595744680851	0.11851785393863269
16	1331	543	9815	1874	0.7102454642475987	0.11941503678449668
18	1318	560	9828	1878	0.7018104366347178	0.1182486990848735
20	1310	551	9836	1861	0.7039226222461042	0.1175309528081823
22	1325	561	9821	1886	0.7025450689289502	0.11887672707697829
24	1320	542	9826	1862	0.7089151450053706	0.1184281356540463
26	1306	566	9840	1872	0.6976495726495726	0.11717207966983671
28	1283	555	9863	1838	0.6980413492927094	0.11510855912434954
30	1297	549	9849	1846	0.7026002166847237	0.11636461510855912
32	1293	528	9853	1821	0.7100494233937397	0.11600574197021353
34	1252	517	9894	1769	0.7077444884115319	0.11232729230217119
36	1222	531	9924	1753	0.6970907016543069	0.10963574376457923
38	1195	464	9951	1659	0.7203134418324292	0.10721335008074645
40	1064	421	10082	1485	0.7164983164983165	0.09546025479992823
42	1073	376	10073	1449	0.7405106970324362	0.09626771936120582
