crf	TP	FP	FN	total	precision	recall
10	79	47	21	126	0.626984126984127	0.79
12	81	43	19	124	0.6532258064516129	0.81
14	79	45	21	124	0.6370967741935484	0.79
16	80	48	20	128	0.625	0.8
18	81	41	19	122	0.6639344262295082	0.81
20	84	35	16	119	0.7058823529411765	0.84
22	84	27	16	111	0.7567567567567568	0.84
24	85	26	15	111	0.7657657657657657	0.85
26	84	30	16	114	0.7368421052631579	0.84
28	80	32	20	112	0.7142857142857143	0.8
30	77	29	23	106	0.7264150943396226	0.77
32	81	28	19	109	0.7431192660550459	0.81
34	78	23	22	101	0.7722772277227723	0.78
36	80	19	20	99	0.8080808080808081	0.8
38	81	23	19	104	0.7788461538461539	0.81
40	81	20	19	101	0.801980198019802	0.81
42	83	10	17	93	0.8924731182795699	0.83
