crf	TP	FP	FN	total	precision	recall
10	12	459	506	471	0.025477707006369428	0.023166023166023165
12	9	456	509	465	0.01935483870967742	0.017374517374517374
14	10	465	508	475	0.021052631578947368	0.019305019305019305
16	10	460	508	470	0.02127659574468085	0.019305019305019305
18	10	434	508	444	0.02252252252252252	0.019305019305019305
20	8	422	510	430	0.018604651162790697	0.015444015444015444
22	7	426	511	433	0.016166281755196306	0.013513513513513514
24	6	407	512	413	0.014527845036319613	0.011583011583011582
26	9	414	509	423	0.02127659574468085	0.017374517374517374
28	8	400	510	408	0.0196078431372549	0.015444015444015444
30	6	395	512	401	0.014962593516209476	0.011583011583011582
32	6	384	512	390	0.015384615384615385	0.011583011583011582
34	4	337	514	341	0.011730205278592375	0.007722007722007722
36	2	304	516	306	0.006535947712418301	0.003861003861003861
38	4	267	514	271	0.014760147601476014	0.007722007722007722
40	1	209	517	210	0.004761904761904762	0.0019305019305019305
42	2	101	516	103	0.019417475728155338	0.003861003861003861
