crf	TP	FP	FN	total	precision	recall
10	389	8	1111	397	0.9798488664987406	0.25933333333333336
12	390	8	1110	398	0.9798994974874372	0.26
14	391	10	1109	401	0.9750623441396509	0.26066666666666666
16	382	8	1118	390	0.9794871794871794	0.25466666666666665
18	385	15	1115	400	0.9625	0.25666666666666665
20	395	5	1105	400	0.9875	0.2633333333333333
22	390	10	1110	400	0.975	0.26
24	390	10	1110	400	0.975	0.26
26	395	5	1105	400	0.9875	0.2633333333333333
28	385	14	1115	399	0.9649122807017544	0.25666666666666665
30	413	22	1087	435	0.9494252873563218	0.2753333333333333
32	366	42	1134	408	0.8970588235294118	0.244
34	359	38	1141	397	0.9042821158690176	0.23933333333333334
36	356	119	1144	475	0.7494736842105263	0.23733333333333334
38	258	128	1242	386	0.6683937823834197	0.172
40	286	79	1214	365	0.7835616438356164	0.19066666666666668
42	257	125	1243	382	0.6727748691099477	0.17133333333333334
