crf	TP	FP	FN	total	precision	recall
10	21	680	653	701	0.029957203994293864	0.03115727002967359
12	21	675	653	696	0.03017241379310345	0.03115727002967359
14	23	674	651	697	0.03299856527977044	0.03412462908011869
16	28	667	646	695	0.04028776978417266	0.04154302670623145
18	27	670	647	697	0.03873744619799139	0.040059347181008904
20	29	662	645	691	0.041968162083936326	0.04302670623145401
22	33	657	641	690	0.04782608695652174	0.04896142433234421
24	26	651	648	677	0.03840472673559823	0.03857566765578635
26	28	654	646	682	0.04105571847507331	0.04154302670623145
28	26	661	648	687	0.03784570596797671	0.03857566765578635
30	27	648	647	675	0.04	0.040059347181008904
32	27	631	647	658	0.041033434650455926	0.040059347181008904
34	28	579	646	607	0.04612850082372323	0.04154302670623145
36	31	596	643	627	0.049441786283891544	0.04599406528189911
38	26	575	648	601	0.04326123128119801	0.03857566765578635
40	17	486	657	503	0.033797216699801194	0.025222551928783383
42	3	300	671	303	0.009900990099009901	0.004451038575667656
