crf	TP	FP	FN	total	precision	recall
10	13	636	881	649	0.020030816640986132	0.0145413870246085
12	15	634	879	649	0.023112480739599383	0.016778523489932886
14	14	629	880	643	0.02177293934681182	0.015659955257270694
16	15	644	879	659	0.02276176024279211	0.016778523489932886
18	16	635	878	651	0.02457757296466974	0.017897091722595078
20	13	628	881	641	0.0202808112324493	0.0145413870246085
22	14	629	880	643	0.02177293934681182	0.015659955257270694
24	14	628	880	642	0.021806853582554516	0.015659955257270694
26	14	619	880	633	0.022116903633491312	0.015659955257270694
28	14	609	880	623	0.02247191011235955	0.015659955257270694
30	13	626	881	639	0.02034428794992175	0.0145413870246085
32	14	615	880	629	0.022257551669316374	0.015659955257270694
34	13	610	881	623	0.02086677367576244	0.0145413870246085
36	15	585	879	600	0.025	0.016778523489932886
38	15	601	879	616	0.024350649350649352	0.016778523489932886
40	16	549	878	565	0.02831858407079646	0.017897091722595078
42	12	545	882	557	0.02154398563734291	0.013422818791946308
