crf	TP	FP	FN	total	precision	recall
10	1	138	200	139	0.007194244604316547	0.004975124378109453
12	0	135	201	135	0.0	0.0
14	1	138	200	139	0.007194244604316547	0.004975124378109453
16	1	134	200	135	0.007407407407407408	0.004975124378109453
18	1	137	200	138	0.007246376811594203	0.004975124378109453
20	1	141	200	142	0.007042253521126761	0.004975124378109453
22	1	129	200	130	0.007692307692307693	0.004975124378109453
24	1	135	200	136	0.007352941176470588	0.004975124378109453
26	1	142	200	143	0.006993006993006993	0.004975124378109453
28	0	132	201	132	0.0	0.0
30	0	136	201	136	0.0	0.0
32	0	135	201	135	0.0	0.0
34	0	120	201	120	0.0	0.0
36	0	118	201	118	0.0	0.0
38	0	111	201	111	0.0	0.0
40	0	108	201	108	0.0	0.0
42	0	106	201	106	0.0	0.0
