crf	TP	FP	FN	total	precision	recall
10	224	125	293	349	0.6418338108882522	0.4332688588007737
12	224	125	293	349	0.6418338108882522	0.4332688588007737
14	226	121	291	347	0.6512968299711815	0.437137330754352
16	226	122	291	348	0.6494252873563219	0.437137330754352
18	217	122	300	339	0.640117994100295	0.4197292069632495
20	220	120	297	340	0.6470588235294118	0.425531914893617
22	214	122	303	336	0.6369047619047619	0.41392649903288203
24	221	123	296	344	0.6424418604651163	0.4274661508704062
26	215	117	302	332	0.6475903614457831	0.4158607350096712
28	215	117	302	332	0.6475903614457831	0.4158607350096712
30	198	116	319	314	0.6305732484076433	0.3829787234042553
32	207	119	310	326	0.6349693251533742	0.40038684719535783
34	175	121	342	296	0.5912162162162162	0.33849129593810445
36	155	120	362	275	0.5636363636363636	0.29980657640232106
38	157	115	360	272	0.5772058823529411	0.3036750483558994
40	161	122	356	283	0.568904593639576	0.3114119922630561
42	104	110	413	214	0.48598130841121495	0.2011605415860735
