crf	TP	FP	FN	total	precision	recall
10	1295	552	9851	1847	0.7011369788846779	0.11618517853938633
12	1286	569	9860	1855	0.6932614555256065	0.11537771397810874
14	1305	553	9841	1858	0.7023681377825619	0.11708236138525031
16	1299	547	9847	1846	0.7036836403033586	0.11654405167773192
18	1303	566	9843	1869	0.6971642589620117	0.11690292481607752
20	1285	555	9861	1840	0.6983695652173914	0.11528799569352234
22	1280	529	9866	1809	0.7075732448866777	0.11483940427059035
24	1265	545	9881	1810	0.6988950276243094	0.11349363000179437
26	1282	545	9864	1827	0.7016967706622879	0.11501884083976315
28	1261	542	9885	1803	0.6993899057127011	0.11313475686344877
30	1230	519	9916	1749	0.7032590051457976	0.11035349004127042
32	1181	472	9965	1653	0.7144585601935874	0.10595729409653687
34	1208	456	9938	1664	0.7259615384615384	0.10837968778036965
36	1185	488	9961	1673	0.7083084279737	0.10631616723488246
38	1130	467	10016	1597	0.7075767063243582	0.10138166158263054
40	1019	404	10127	1423	0.7160927617709065	0.09142293199354028
42	962	403	10184	1365	0.7047619047619048	0.08630898977211555
