crf	TP	FP	FN	total	precision	recall
10	52	21	48	73	0.7123287671232876	0.52
12	55	18	45	73	0.7534246575342466	0.55
14	51	20	49	71	0.7183098591549296	0.51
16	49	19	51	68	0.7205882352941176	0.49
18	52	19	48	71	0.7323943661971831	0.52
20	52	14	48	66	0.7878787878787878	0.52
22	51	16	49	67	0.7611940298507462	0.51
24	48	9	52	57	0.8421052631578947	0.48
26	46	15	54	61	0.7540983606557377	0.46
28	46	11	54	57	0.8070175438596491	0.46
30	40	22	60	62	0.6451612903225806	0.4
32	45	8	55	53	0.8490566037735849	0.45
34	41	6	59	47	0.8723404255319149	0.41
36	34	14	66	48	0.7083333333333334	0.34
38	40	3	60	43	0.9302325581395349	0.4
40	33	4	67	37	0.8918918918918919	0.33
42	20	8	80	28	0.7142857142857143	0.2
