crf	TP	FP	FN	total	precision	recall
10	400	0	1100	400	1.0	0.26666666666666666
12	400	0	1100	400	1.0	0.26666666666666666
14	396	4	1104	400	0.99	0.264
16	400	0	1100	400	1.0	0.26666666666666666
18	400	0	1100	400	1.0	0.26666666666666666
20	400	0	1100	400	1.0	0.26666666666666666
22	400	0	1100	400	1.0	0.26666666666666666
24	400	0	1100	400	1.0	0.26666666666666666
26	400	0	1100	400	1.0	0.26666666666666666
28	399	1	1101	400	0.9975	0.266
30	400	0	1100	400	1.0	0.26666666666666666
32	381	22	1119	403	0.9454094292803971	0.254
34	384	21	1116	405	0.9481481481481482	0.256
36	367	122	1133	489	0.7505112474437627	0.24466666666666667
38	365	107	1135	472	0.7733050847457628	0.24333333333333335
40	254	131	1246	385	0.6597402597402597	0.16933333333333334
42	281	96	1219	377	0.7453580901856764	0.18733333333333332
