crf	TP	FP	FN	total	precision	recall
10	7	502	581	509	0.0137524557956778	0.011904761904761904
12	12	500	576	512	0.0234375	0.02040816326530612
14	8	511	580	519	0.015414258188824663	0.013605442176870748
16	9	483	579	492	0.018292682926829267	0.015306122448979591
18	11	484	577	495	0.022222222222222223	0.01870748299319728
20	8	478	580	486	0.01646090534979424	0.013605442176870748
22	12	467	576	479	0.025052192066805846	0.02040816326530612
24	11	455	577	466	0.023605150214592276	0.01870748299319728
26	8	412	580	420	0.01904761904761905	0.013605442176870748
28	14	393	574	407	0.0343980343980344	0.023809523809523808
30	12	389	576	401	0.029925187032418952	0.02040816326530612
32	12	367	576	379	0.0316622691292876	0.02040816326530612
34	7	342	581	349	0.02005730659025788	0.011904761904761904
36	10	301	578	311	0.03215434083601286	0.017006802721088437
38	4	237	584	241	0.016597510373443983	0.006802721088435374
40	2	167	586	169	0.011834319526627219	0.003401360544217687
42	2	107	586	109	0.01834862385321101	0.003401360544217687
